strain,role,growth_scale,thermal_limit_C,peak_mu,peak_T_C,peak_mu_model,pool_binds,mu_pool_free_model,pool_binding_ratio,mu_all_caps_free_model,all_caps_ratio,fit_r2,descr_Topt_C,descr_rmax,descr_CTmax_C,descr_CTmin_C,descr_Ea_eV,median_enzyme_Tm_C,pheno_sigma,pheno_w,pool_budget,mu_22C,mu_24C,mu_26C,mu_28C,mu_30C,mu_32C,mu_34C,mu_36C,mu_38C,mu_40C,mu_42C,mu_44C,model_mu_22C,model_mu_24C,model_mu_26C,model_mu_28C,model_mu_30C,model_mu_32C,model_mu_34C,model_mu_36C,model_mu_38C,model_mu_40C,model_mu_42C,model_mu_44C
cauris_iRV973,calibrate_on,2.0741244879538137,54.5283203125,0.7987999999999544,34.0,0.38512635313803883,True,2.0449914850925386,5.309923531407008,2.0449914850925386,5.309923531407008,0.9007429920852622,34.5,0.8015541980412428,55.25552269544375,17.498021641782717,1.312495616861252,53.68015200000002,10.231397335263933,8.788454874341648,0.3569742369684501,0.18712541299405003,0.30234272453087424,0.43504957364411945,0.5660151630450817,0.6785425342306228,0.7595218976704969,0.7987999999999544,0.7930540996791723,0.7452183940596814,0.6635309821868148,0.5598882706904657,0.44739056001355454,0.09021898833982472,0.14576884188332614,0.2097509460839108,0.27289353475763295,0.3271464842980691,0.3661891569583599,0.38512635313803883,0.3823560756767999,0.3592929924832341,0.3199089476260936,0.2699395691735033,0.2157009198878505
chaemulonii_draft,predict,2.0741244879538137,53.5576171875,0.7304977220741969,34.0,0.3521956981448375,True,2.0449914850918045,5.806406767213898,2.0449914850918045,5.806406767213898,-0.6681293940979822,34.5,0.7316136198516691,54.55725538104522,15.340752527446906,1.1874211196106033,53.53632600000003,10.231397335263933,8.788454874341648,0.3569742369684501,0.2212987060709116,0.3190770240509867,0.4293606537190098,0.538847463774443,0.6313748757361113,0.6996078033772875,0.7304977220741969,0.7192024056487663,0.6688878464237682,0.588410818459606,0.48909408272826993,0.383336967515383,0.1066949970246142,0.15383696875676242,0.20700814064568854,0.2597951409879126,0.30440548742519385,0.3373027064867604,0.3521956981448375,0.34674987438110866,0.3224916586774626,0.2836911775917997,0.235807486758317,0.18481868843540653
cduobushaemulonii_draft,predict,2.0741244879538137,52.7099609375,0.5536769372990493,34.0,0.2669448919361963,True,2.044991485091774,7.660725291497881,2.044991485091774,7.660725291497881,0.25507150339204554,34.0,0.553676937299047,54.70133788809486,15.0,1.156194252417553,53.52176400000002,10.231397335263933,8.788454874341648,0.3569742369684501,0.2132044702677251,0.2931445899350985,0.375400354472116,0.44949729817104717,0.5073655122841936,0.5423626500801868,0.5536769372990493,0.5380969388831442,0.4962336704928549,0.4346495628102891,0.3611441087724917,0.2843035520066611,0.10279251390453316,0.14133413478199397,0.18099220015596063,0.21671664395346385,0.2446167118853724,0.261489921762239,0.2669448919361963,0.259433289567876,0.23924970433303372,0.20955808840533194,0.17411882019134312,0.13707159510330796
cparapsilosis_iDC1003,predict,2.0741244879538137,55.1708984375,0.7861069474627813,34.0,0.3790066372719506,True,2.836721790301638,7.484622988980022,2.836721790301638,7.484622988980022,-0.3226684316543078,33.5,0.7875658395443582,55.98689231179098,15.28403185741566,1.2766874739437244,54.206860000000006,10.231397335263933,8.788454874341648,0.3569742369684501,0.2921606849456912,0.41829394545474136,0.5452060679091888,0.6561744075165599,0.737675912698771,0.7808023367855973,0.7861069474627813,0.7824725135991122,0.742265568366021,0.6662041978073685,0.5652349218289836,0.4496146812090863,0.14085976354963944,0.20167253599488666,0.2628608220363142,0.31636211390758695,0.3556565273603758,0.3764491192888245,0.3790066372719506,0.3772543635368024,0.3578693432708508,0.32119778811569744,0.2725173561720998,0.2167732379711908
