temp_C,growth,mu_pred,mu_measured
22.0,0.007086970526994919,0.054359226788079286,0.2984
24.0,0.012702898517108659,0.09743510837631013,0.4086
26.0,0.02125491128052721,0.16303165622851923,0.4879
28.0,0.03291576599439963,0.2524739706165566,0.5949
30.0,0.04693973692686442,0.3600421075917976,0.6167
32.0,0.061424444543275274,0.4711442355434102,0.6033
34.0,0.07412718030269486,0.5685780955185737,0.5387
36.0,0.08367603695300549,0.6418207402063025,0.4686
38.0,0.08865096310333553,0.6799799420584384,0.153
40.0,0.08916893816193161,0.6839529688367411,0.0
42.0,0.08597634489313535,0.6594648041294752,0.0
44.0,0.08002427346940044,0.6138105998190126,0.0
