strain,role,growth_scale,thermal_limit_C,peak_mu,peak_T_C,peak_mu_model,pool_binds,mu_pool_free_model,pool_binding_ratio,mu_all_caps_free_model,all_caps_ratio,fit_r2,descr_Topt_C,descr_rmax,descr_CTmax_C,descr_CTmin_C,descr_Ea_eV,median_enzyme_Tm_C,mu_22C,mu_24C,mu_26C,mu_28C,mu_30C,mu_32C,mu_34C,mu_36C,mu_38C,mu_40C,mu_42C,mu_44C,model_mu_22C,model_mu_24C,model_mu_26C,model_mu_28C,model_mu_30C,model_mu_32C,model_mu_34C,model_mu_36C,model_mu_38C,model_mu_40C,model_mu_42C,model_mu_44C
cauris_iRV973,calibrate_on,9.00967724755215,53.527587890625,0.7988000000000159,36.0,0.08866022367416579,True,2.0449914850918103,23.065489803041704,2.0449914850918103,23.065489803041704,0.47273267797121055,36.5,0.7992300913159365,53.65826604859285,18.816982784868785,1.4353826954481848,53.68015200000002,0.1156258754506821,0.20401162386257196,0.3275485885967592,0.476378273760859,0.6303736913058483,0.7262835040549057,0.7794983581324305,0.7988000000000159,0.7912381076334901,0.7620200721524976,0.717028606107048,0.6628369502555187,0.012833520255356166,0.022643610670737415,0.03635519670649149,0.05287406648115912,0.069966290021889,0.0806114896349068,0.08651790033258,0.08866022367416579,0.08782091587669942,0.08457795448327872,0.07958427215601518,0.07356944450319856
chaemulonii_draft,predict,9.00967724755215,53.13916015625,0.7621084873343251,38.0,0.08458776784056092,True,2.0449914850918103,24.175971742704068,2.0449914850918103,24.175971742704068,-2.469524850719353,38.5,0.7638365663651011,53.30286162152214,20.463825284721082,1.3426912885670075,53.53632600000003,0.06385131711113887,0.11444901574755793,0.19149989056290573,0.29656042796549376,0.4229118797960547,0.5534144204450765,0.6586664244044109,0.7312962478334405,0.7621084873343251,0.7547856553958455,0.7200182666556136,0.6673920737090354,0.0070869705269949275,0.01270289851710867,0.02125491128052723,0.0329157659943997,0.04693973692686452,0.06142444454327533,0.07310655046864913,0.08116786292562558,0.08458776784056092,0.0837749937824814,0.07991609986375886,0.07407502570531703
cduobushaemulonii_draft,predict,9.00967724755215,53.738525390625,0.6458851519709096,36.0,0.07168793445363328,True,2.0449914850918103,28.5262994488214,2.0449914850918103,28.5262994488214,-0.4885915182243039,35.5,0.6458935156542165,53.920317680328246,17.101763342805956,1.3582293283721267,53.52176400000002,0.16385008418565403,0.26390935819500044,0.37642541864241735,0.481741661921517,0.5664018674157163,0.6187546866496649,0.6411498444528428,0.6458851519709096,0.6341763043696415,0.6065198800749609,0.5663017452821238,0.5170160322649547,0.018186010406773524,0.02929176605817953,0.041780122450522726,0.05346935841152379,0.06286594423452879,0.06867667616148794,0.07116235430376129,0.07168793445363328,0.07038834876598289,0.06731871335787828,0.06285483150198116,0.057384523114346137
cparapsilosis_iDC1003,predict,9.00967724755215,50.5771484375,0.4957419734781487,34.0,0.05502327773315492,True,2.8367217903016537,51.55494014840171,2.8367217903016537,51.55494014840171,0.17660334991061,34.5,0.4968226073713963,51.20508543762267,17.28973929273643,1.2884900619315522,54.206860000000006,0.12884566539159972,0.21424439626801683,0.30158947812966547,0.37325881644837844,0.4340051199648071,0.4767976994570346,0.4957419734781487,0.49162694560565634,0.46637194731026577,0.4249451054188512,0.3699695666668154,0.30462748074039214,0.014300808103487387,0.023779364163818983,0.03347394915967769,0.04142865567684898,0.048170995257651714,0.05292061928040501,0.05502327773315492,0.054566543517330444,0.05176344662479169,0.047165408231943616,0.04106357603068777,0.033811142438332824
