experiment,strain,param,required,permissive_preserved,permissive_growth,permissive_baseline,baseline_fail
candida_K4_etc_area,chaemulonii_draft,dTm,13.5,True,0.6562,0.6587,0.7548
candida_K4_etc_area,chaemulonii_draft,dTopt,23.62,False,0.1744,0.6587,0.7548
candida_K4_etc_area,cduobushaemulonii_draft,dTm,14.12,True,0.6365,0.6411,0.6065
candida_K4_etc_area,cduobushaemulonii_draft,dTopt,22.52,False,0.153,0.6411,0.6065
candida_K4_etc_area,cparapsilosis_iDC1003,dTm,13.57,True,0.4923,0.4957,0.4249
candida_K4_etc_area,cparapsilosis_iDC1003,dTopt,12.0,False,0.3001,0.4957,0.4249
