strain,T_C,metabolite,rxn,name,net_flux,role
cauris_iRV973,30.0,M8428__mito,R02164__mito,Ubiquinone-9 + Succinate <=> Ubiquinol-9 + Fumarate,-0.003242093953719495,consumes
cauris_iRV973,30.0,M8428__mito,R01868__cyto,Ubiquinone-9 (mito) + (S)-Dihydroorotate (cyto) => Orotate (cyto) + Ubiquinol-9 (mito),0.004075569134304531,produces
cauris_iRV973,30.0,M8428__mito,R02161__mito,1.5 H+ (cyto) + 2 Ferricytochrome c (mito) + Ubiquinol-9 (mito) => Ubiquinone-9 (mito) + 1.5 H+ (mito) + 2 Ferrocytochrome c (mito),-0.00047908244882790386,consumes
cauris_iRV973,30.0,M8428__mito,R08657__mito,sn-Glycerol 3-phosphate + Ubiquinone <=> Glycerone phosphate + Ubiquinol,-0.0003543927317571324,consumes
cauris_iRV973,30.0,M8416__mito,R08774__mito,"2-Polyprenyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-methionine <=> 2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-homocysteine",-2.3717387088467413e-05,consumes
cauris_iRV973,30.0,M8416__mito,R12658__mito,"2-methoxy-6-(all-trans-nonaprenyl)phenol + Oxygen + NADPH => NADP+ + H2O + 2-Methoxy-6-all-trans-nonaprenyl-1,4-benzoquinone + H2O",2.3717387088467413e-05,produces
cauris_iRV973,40.0,M8428__mito,R01868__cyto,Ubiquinone-9 (mito) + (S)-Dihydroorotate (cyto) => Orotate (cyto) + Ubiquinol-9 (mito),0.005950894362894634,produces
cauris_iRV973,40.0,M8428__mito,R02161__mito,1.5 H+ (cyto) + 2 Ferricytochrome c (mito) + Ubiquinol-9 (mito) => Ubiquinone-9 (mito) + 1.5 H+ (mito) + 2 Ferrocytochrome c (mito),-0.005433431981527323,consumes
cauris_iRV973,40.0,M8428__mito,R08657__mito,sn-Glycerol 3-phosphate + Ubiquinone <=> Glycerone phosphate + Ubiquinol,-0.000517462381367311,consumes
cauris_iRV973,40.0,M8416__mito,R08774__mito,"2-Polyprenyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-methionine <=> 2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-homocysteine",-3.463066395791471e-05,consumes
cauris_iRV973,40.0,M8416__mito,R12658__mito,"2-methoxy-6-(all-trans-nonaprenyl)phenol + Oxygen + NADPH => NADP+ + H2O + 2-Methoxy-6-all-trans-nonaprenyl-1,4-benzoquinone + H2O",3.463066395791471e-05,produces
chaemulonii_draft,30.0,M8428__mito,R08657__mito,sn-Glycerol 3-phosphate + Ubiquinone <=> Glycerone phosphate + Ubiquinol,-0.00023775880630898645,consumes
chaemulonii_draft,30.0,M8428__mito,R01868__cyto,Ubiquinone-9 (mito) + (S)-Dihydroorotate (cyto) => Orotate (cyto) + Ubiquinol-9 (mito),0.002734261641308337,produces
chaemulonii_draft,30.0,M8428__mito,R02161__mito,1.5 H+ (cyto) + 2 Ferricytochrome c (mito) + Ubiquinol-9 (mito) => Ubiquinone-9 (mito) + 1.5 H+ (mito) + 2 Ferrocytochrome c (mito),-0.00032141198436094444,consumes
chaemulonii_draft,30.0,M8428__mito,R02164__mito,Ubiquinone-9 + Succinate <=> Ubiquinol-9 + Fumarate,-0.0021750908506384063,consumes
chaemulonii_draft,30.0,M8416__mito,R12658__mito,"2-methoxy-6-(all-trans-nonaprenyl)phenol + Oxygen + NADPH => NADP+ + H2O + 2-Methoxy-6-all-trans-nonaprenyl-1,4-benzoquinone + H2O",1.5911775659063553e-05,produces
