strain,T_C,mu_base,etc_H_to_cytosol,atp_synthase_H_used,chain_supplies_frac,mu_ko::complex I (NADH dehydrogenase),mu_ko::complex II (succinate dehydrogenase),mu_ko::complex III (cytochrome bc1),mu_ko::complex IV (cytochrome c oxidase),mu_ko::complex V (ATP synthase),o2_uptake,mu_anaerobic,mu_ko::alternative chain (plasma membrane)
cauris_iRV973,30.0,0.06996629002188899,0.0007186236732417188,21.942529177933658,3.27502662712372e-05,0.06996629002188903,0.06996515606654627,0.0699648423576324,0.06996484235763244,0.033010072807626786,0.27140003506181193,0.0,
cauris_iRV973,40.0,0.10216045591751613,0.008150147972290918,31.03999733457136,0.00026256922268525916,0.10216045591751614,0.10216045591751614,0.10215618335458791,0.10215618335458974,0.034002364778595674,0.39870696466288,0.0,
chaemulonii_draft,30.0,0.046939736926864546,0.00048211797653938604,18.554916332096603,2.5983301024398064e-05,0.046939736926864574,0.04693911325849848,0.04693889754709446,0.04693889754709455,0.028576927738757484,0.1820797736132314,0.0,
chaemulonii_draft,40.0,0.08916893816193147,0.007113711798022639,29.063203723018155,0.0002447669522540819,0.08916893816193144,0.08916893816193144,0.08916512420015639,0.0891651242001564,0.03698423747656841,0.34795327826577044,0.0,
cduobushaemulonii_draft,30.0,0.06286594423452774,0.005015313834766681,21.041456031629114,0.00023835393459595937,0.06286594423452893,0.06286594423452893,0.06286296897783547,0.06286296897783547,0.03847587010269661,0.24531425223381023,0.0,
cduobushaemulonii_draft,40.0,0.06978492627820926,0.00556729578284218,26.301942812766747,0.00021166861408199322,0.06978492627820924,0.06978492627820924,0.06978079288185546,0.06978079288185546,0.0340749111316526,0.2723133680020043,0.0,
cparapsilosis_iDC1003,30.0,0.06664646140641432,20.645119266475028,22.296921978029452,0.9259179041312496,0.06664646140641549,0.06009394902657931,0.04197827395315777,0.04197827395315859,0.03818512054154651,6.95946057337132,0.0,0.06664646140641406
cparapsilosis_iDC1003,40.0,0.08301797244476557,33.63275631328814,30.02191386966215,1.1202735594839885,0.06342226749367118,0.0774494607637763,0.04021626999586059,0.04021626999586028,0.03736094869177679,4.949495230274465,0.0,0.08301797244476584
