strain,complex,rxn,in_model,name,ec_code,lb,ub,n_genes,gpr,enzyme_costed,kcat_s,mw_kDa,kcat_source,h_cyto,h_mito,equation,flux_30C,flux_40C
chaemulonii_draft,complex IV (cytochrome c oxidase),R00081__mito,True,Oxygen + 4 Ferrocytochrome c + 6 H+ => 4 Ferricytochrome c + 2 H2O + 6 H+,,0.0,999999.0,0,,False,,,,6.0,-6.0,C00007__mito + 6.0 C00080__mito + 4.0 C00126__mito --> 2.0 C00001__mito + 6.0 C00080__cyto + 4.0 C00125__mito,0.00016070599217979535,0.002371237266007547
chaemulonii_draft,complex V (ATP synthase),T_ATP_synthase__mito,True,Orthophosphate (mito) + ADP (mito) + 3 H+ (cyto) <=> ATP (mito) + H2O (mito) + 3 H+ (mito),7.1.1.2,-999999.0,999999.0,7,XP_025340306.1 or XP_025340447.1 or XP_025340557.1 or XP_025340818.1 or XP_025341271.1 or XP_025343428.1 or XP_025344565.1,True,13.7,41.93,default_13.7,-3.0,3.0,C00008__mito + C00009__mito + 3.0 C00080__cyto <=> C00001__mito + C00002__mito + 3.0 C00080__mito,6.184972110698868,9.687734574339386
cduobushaemulonii_draft,complex I (NADH dehydrogenase),R11945__mito,True,Ubiquinone-9 + NADH + H+ => NAD+ + Ubiquinol-9,7.1.1.2,0.0,999999.0,7,XP_025335822.1 or XP_025337523.1 or XP_025338162.1 or XP_025338616.1 or XP_025338954.1 or XP_025339094.1 or XP_025339197.1,True,50.7309,43.441429,dlkcat,0.0,-1.0,C00004__mito + C00080__mito + C01967__mito --> C00003__mito + M8428__mito,0.0,0.0
cduobushaemulonii_draft,complex I (NADH dehydrogenase),R11945__cyto,True,Ubiquinone-9 + NADH + H+ => NAD+ + Ubiquinol-9,7.1.1.2,0.0,999999.0,7,XP_025335822.1 or XP_025337523.1 or XP_025338162.1 or XP_025338616.1 or XP_025338954.1 or XP_025339094.1 or XP_025339197.1,True,50.7309,43.441429,dlkcat,-1.0,0.0,C00004__cyto + C00080__cyto + C01967__mito --> C00003__cyto + M8428__mito,0.0,0.0
cduobushaemulonii_draft,complex II (succinate dehydrogenase),R02164__mito,True,Ubiquinone-9 + Succinate <=> Ubiquinol-9 + Fumarate,,-999999.0,999999.0,5,XP_025334470.1 or XP_025335144.1 or XP_025335211.1 or XP_025335538.1 or XP_025338553.1,True,29.9873,30.4,dlkcat,0.0,0.0,C00042__mito + C01967__mito <=> C00122__mito + M8428__mito,0.0,0.0
cduobushaemulonii_draft,complex III (cytochrome bc1),R02161__mito,True,1.5 H+ (cyto) + 2 Ferricytochrome c (mito) + Ubiquinol-9 (mito) => Ubiquinone-9 (mito) + 1.5 H+ (mito) + 2 Ferrocytochrome c (mito),7.1.1.2,0.0,999999.0,7,XP_025335822.1 or XP_025337523.1 or XP_025338162.1 or XP_025338616.1 or XP_025338954.1 or XP_025339094.1 or XP_025339197.1,True,13.7,43.441429,default_13.7,-1.5,1.5,1.5 C00080__cyto + 2.0 C00125__mito + M8428__mito --> 1.5 C00080__mito + 2.0 C00126__mito + C01967__mito,0.0033435425565111203,0.003711530521894741
cduobushaemulonii_draft,complex IV (cytochrome c oxidase),R00081__mito,True,Oxygen + 4 Ferrocytochrome c + 6 H+ => 4 Ferricytochrome c + 2 H2O + 6 H+,,0.0,999999.0,0,,False,,,,6.0,-6.0,C00007__mito + 6.0 C00080__mito + 4.0 C00126__mito --> 2.0 C00001__mito + 6.0 C00080__cyto + 4.0 C00125__mito,0.0016717712782555602,0.0018557652609473706
cduobushaemulonii_draft,complex V (ATP synthase),T_ATP_synthase__mito,True,Orthophosphate (mito) + ADP (mito) + 3 H+ (cyto) <=> ATP (mito) + H2O (mito) + 3 H+ (mito),7.1.1.2,-999999.0,999999.0,7,XP_025335822.1 or XP_025337523.1 or XP_025338162.1 or XP_025338616.1 or XP_025338954.1 or XP_025339094.1 or XP_025339197.1,True,13.7,43.441429,default_13.7,-3.0,3.0,C00008__mito + C00009__mito + 3.0 C00080__cyto <=> C00001__mito + C00002__mito + 3.0 C00080__mito,7.013818677209705,8.767314270922245
cparapsilosis_iDC1003,complex I (NADH dehydrogenase),R11945__mito,True,Ubiquinone-9 + NADH + 5 H+ (Mito) <=> Ubiquinol-9 + NAD+ 4 H+ (Cyto),7.1.1.2,-999999.0,999999.0,1,CPAR2_103910,True,5.6955,54.02,dlkcat,4.0,-5.0,C00004__mito + 5.0 C00080__mito + C01967__mito <=> C00003__mito + 4.0 C00080__cyto + M8416__mito,0.0,4.774017856543145
cparapsilosis_iDC1003,complex II (succinate dehydrogenase),R02164__mito,True,Ubiquinone-9 + Succinate <=> Ubiquinol-9 + Fumarate,,-999999.0,999999.0,0,,False,,,,0.0,0.0,C00042__mito + C01967__mito <=> C00122__mito + M8416__mito,2.5248735276379413,1.0321711713871093
cparapsilosis_iDC1003,complex III (cytochrome bc1),T02161__mito,True,1.5 H+ (mito) + 2 Ferricytochrome c (mito) + Ubiquinol-9 (mito) => Ubiquinone-9 (mito) + 1.5 H+ (cyto) + 2 Ferrocytochrome c (mito),7.1.1.8,0.0,999999.0,2,CPAR2_806050 or CPAR2_210070,True,13.7,27.69,default_13.7,1.5,-1.5,1.5 C00080__mito + 2.0 C00125__mito + M8416__mito --> 1.5 C00080__cyto + 2.0 C00126__mito + C01967__mito,8.25804770659001,5.814673954846241
cparapsilosis_iDC1003,complex IV (cytochrome c oxidase),R00081__mito,True,Oxygen + 4 Ferrocytochrome c + 4 H+ => 4 Ferricytochrome c + 2 H2O,7.1.1.9,0.0,999999.0,0,,False,,,,2.0,-6.0,C00007__mito + 6.0 C00080__mito + 4.0 C00126__mito --> 2.0 C00001__mito + 2.0 C00080__cyto + 4.0 C00125__mito,4.129023853295005,2.9073369774231206
cparapsilosis_iDC1003,complex V (ATP synthase),T00485__cyto,True,Orthophosphate (mito) + ADP (mito) + 3 H+ (cyto) => ATP (mito) + H2O (mito) + 3 H+ (mito),"['7.2.2.19', '7.1.2.1', '7.1.2.2']",0.0,999999.0,3,CPAR2_502950 or CPAR2_402220 or CPAR2_503580,True,13.7,72.966667,default_13.7,-3.0,3.0,C00008__mito + C00009__mito + 3.0 C00080__cyto --> C00001__mito + C00002__mito + 3.0 C00080__mito,7.432307326009818,10.007304623220731
cparapsilosis_iDC1003,alternative chain (plasma membrane),TI6900005_CYTMEM__plas,True,1.0 NADH (cyto) + 1.0 Ubiquinone (cyto) + 1.0 H+ (cyto) => 1.0 NAD+ (cyto) + 1.0 Ubiquinol (cyto) + 1.0 H+ (extr),,0.0,999999.0,16,CPAR2_109970 or CPAR2_105870 or CPAR2_300360 or CPAR2_213390 or CPAR2_201110 or CPAR2_200690 or CPAR2_801570 or CPAR2_206680 or CPAR2_209300 or CPAR2_503600 or CPAR2_703410 or CPAR2_102040 or CPAR2_210820 or CPAR2_103910 or CPAR2_103790 or CPAR2_808860,True,179.5016,29.689375,dlkcat,-1.0,0.0,C00004__cyto + C00080__cyto + C00399__cyto --> C00003__cyto + C00080__extr + C00390__cyto,0.0,0.0
cparapsilosis_iDC1003,alternative chain (plasma membrane),TI6900007_CYTMEM__plas,True,1.0 Ferricytochrome c (cyto) + 1.0 H+ (cyto) + 1.0 Ubiquinol (cyto) => 1.0 Ferrocytochrome c (cyto) + 1.0 Ubiquinone (cyto) + 1.0 H+ (extr),,0.0,999999.0,2,CPAR2_806050 or CPAR2_210070 or CPAR2_210070,True,13.1699,27.69,dlkcat,-1.0,0.0,C00080__cyto + C00125__cyto + C00390__cyto --> C00080__extr + C00126__cyto + C00399__cyto,0.0,0.0
