variant,A_ETC_level,A_ETC_nm2_per_gDW,strain,T_C,mu_model,mu_scaled,area_used,binds,frac_of_budget,area::complex I,area::complex II,area::complex III,area::complex IV,area::ATP synthase
full,unconstrained,,cauris_iRV973,22.0,0.012833520255356593,0.0984370169726315,1.1918655723250794e+17,False,,0.0,-15319749822199.342,10025360343193.584,3307486916742.7515,1.1918854413507019e+17
full,unconstrained,,cauris_iRV973,26.0,0.036355196706482566,0.2788554538452274,1.709059870138848e+17,False,,0.0,-43398265417291.33,28400153666183.848,9369552162597.31,1.709116155734733e+17
full,unconstrained,,cauris_iRV973,30.0,0.06996629002188898,0.5366627972182504,2.623679009837914e+17,False,,0.0,-83520814070917.31,54656653465921.2,18031887140516.527,2.6237873325725587e+17
full,unconstrained,,cauris_iRV973,34.0,0.09600400259084041,0.7363799989742198,3.33233401992924e+17,False,,0.0,-114602795831315.81,74996937801174.2,24742391503319.938,3.332482654594509e+17
full,unconstrained,,cauris_iRV973,38.0,0.10414187970394363,0.7988000000000002,3.676533818087383e+17,False,,0.0,0.0,631901812060945.4,208472005445326.56,3.66813007991232e+17
full,unconstrained,,cauris_iRV973,40.0,0.1021604559175162,0.7836018748547873,3.719864834229018e+17,False,,0.0,0.0,619879124505626.1,204505576266518.9,3.7116209872212966e+17
full,unconstrained,,cauris_iRV973,44.0,0.08987122906367988,0.6893397543826837,3.632004677171316e+17,False,,0.0,0.0,545311767551408.1,179904908649658.12,3.624752510409305e+17
full,unconstrained,,chaemulonii_draft,22.0,0.007086970526994921,0.05435922678807929,1.0887834979465221e+17,False,,0.0,-8459924736984.447,5536238838675.484,1826471757627.5427,1.088794470087929e+17
full,unconstrained,,chaemulonii_draft,26.0,0.021254911280527252,0.1630316562285195,1.4355107970502531e+17,False,,0.0,-25372611476166.79,16604029168158.145,5477868860462.731,1.4355437041847286e+17
full,unconstrained,,chaemulonii_draft,30.0,0.04693973692686446,0.36004210759179783,2.218639401640038e+17,False,,0.0,-56033341758999.33,36668643345150.484,12097426323546.713,2.218712074360941e+17
full,unconstrained,,chaemulonii_draft,34.0,0.07412718030269504,0.568578095518575,2.942308077800711e+17,False,,0.0,-88487790930816.44,57907080751992.38,19104242183575.203,2.9424228424806637e+17
full,unconstrained,,chaemulonii_draft,38.0,0.0886509631033352,0.6799799420584357,3.3950511912614944e+17,False,,0.0,0.0,537907558277193.44,177462170985877.62,3.387897493968864e+17
