strain,T_C,mu,rxn,flux_at_optimum,fva_min,fva_max
cauris_iRV973,30.0,0.06996629002188899,R11945__mito,0.0,0.0,0.4069825151461859
cauris_iRV973,30.0,0.06996629002188899,R11945__cyto,0.0,0.0,0.40698251514622125
cauris_iRV973,30.0,0.06996629002188899,R02164__mito,-0.003242093953719615,-0.13600095756250083,0.21232433911445808
cauris_iRV973,30.0,0.06996629002188899,R02161__mito,0.00047908244882781257,0.0,0.41001346186837717
cauris_iRV973,30.0,0.06996629002188899,R00081__mito,0.00023954122441390628,0.0,0.2050067309379351
cauris_iRV973,30.0,0.06996629002188899,T_ATP_synthase__mito,7.314176392644553,7.039854413514413,8.279912014350518
cauris_iRV973,30.0,0.06996629002188899,EX_C00007__extr,-0.27140003506181193,-0.4734556198379437,-0.268448888899024
cauris_iRV973,40.0,0.10216045591751614,R11945__mito,0.0,0.0,0.36635694452769774
cauris_iRV973,40.0,0.10216045591751614,R11945__cyto,0.0,0.0,0.3663569445279676
cauris_iRV973,40.0,0.10216045591751614,R02164__mito,0.0,-0.12896957530258796,0.20202347984532104
cauris_iRV973,40.0,0.10216045591751614,R02161__mito,0.0054334319815272794,0.0,0.371780901843286
cauris_iRV973,40.0,0.10216045591751614,R00081__mito,0.0027167159907636397,0.0,0.185890450921643
cauris_iRV973,40.0,0.10216045591751614,T_ATP_synthase__mito,10.346665778190456,9.934361901610878,11.272794893035732
cauris_iRV973,40.0,0.10216045591751614,EX_C00007__extr,-0.39870696466287986,-0.5779207971069771,-0.39197248949308405
chaemulonii_draft,30.0,0.046939736926864546,R11945__mito,0.0,0.0,0.4039345504230462
chaemulonii_draft,30.0,0.046939736926864546,R11945__cyto,0.0,0.0,0.4039345504230242
chaemulonii_draft,30.0,0.046939736926864546,R02164__mito,-0.002175090850639737,-0.1340845382579836,0.0783321710246596
chaemulonii_draft,30.0,0.046939736926864546,R02161__mito,0.0003214119843595907,0.0,0.4059290887222919
chaemulonii_draft,30.0,0.046939736926864546,R00081__mito,0.00016070599217979535,0.0,0.20296454436114594
chaemulonii_draft,30.0,0.046939736926864546,T_ATP_synthase__mito,6.184972110698868,5.578804701403648,7.150467433684689
chaemulonii_draft,30.0,0.046939736926864546,EX_C00007__extr,-0.1820797736132314,-0.38306442130596213,-0.1800998769448413
