strain,T_C,n_carriers,n_uncosted,mu_base,mu_carriers_closed,mu_proton_uncoupled,base::R11945__mito,base::R11945__cyto,base::R02164__mito,base::R02161__mito,base::R00081__mito,base::T_ATP_synthase__mito,closed::R11945__mito,closed::R11945__cyto,closed::R02164__mito,closed::R02161__mito,closed::R00081__mito,closed::T_ATP_synthase__mito,uncoupled::R11945__mito,uncoupled::R11945__cyto,uncoupled::R02164__mito,uncoupled::R02161__mito,uncoupled::R00081__mito,uncoupled::T_ATP_synthase__mito,base::T02161__mito,base::T00485__cyto,base::TI6900005_CYTMEM__plas,base::TI6900007_CYTMEM__plas,closed::T02161__mito,closed::T00485__cyto,closed::TI6900005_CYTMEM__plas,closed::TI6900007_CYTMEM__plas,uncoupled::T02161__mito,uncoupled::T00485__cyto,uncoupled::TI6900005_CYTMEM__plas,uncoupled::TI6900007_CYTMEM__plas
cauris_iRV973,30.0,11,11,0.06996629002188899,0.0,0.05044588788156921,0.0,0.0,-0.003242093953719615,0.00047908244882781257,0.00023954122441390628,7.314176392644553,0.0,4.322221886874234,0.0,4.322221886874234,2.161110943437117,2.161110943437117,0.7358497050553735,6.167842728038742,0.0,6.906375411533185,3.4531877057665925,3.4531649053646745,,,,,,,,,,,,
cauris_iRV973,40.0,11,11,0.10216045591751623,0.0,0.0658916921916838,0.0,0.0,0.0,0.005433431981527285,0.0027167159907636423,10.34666577819045,1.0361518938702068,7.358541321609369,0.0,8.394693215479576,4.197346607739788,4.197346607739788,0.9432021006113009,8.307596446669542,0.0,9.254636769184842,4.627318384592421,4.627288603035825,,,,,,,,,,,,
chaemulonii_draft,30.0,11,11,0.046939736926864546,0.0,0.03689737271878727,0.0,0.0,-0.002175090850639737,0.0003214119843595907,0.00016070599217979535,6.184972110698868,2.0462224482016795,2.038909721015033,0.0,4.085132169216712,2.042566084608356,2.0425660846083566,2.441512129553295,3.3911967421608074,-0.0017097483511306427,5.832961520292038,2.916480760146019,2.916464083366939,,,,,,,,,,,,
chaemulonii_draft,40.0,11,11,0.08916893816193126,0.0,0.06060875533517389,0.0,0.0,0.0,0.004742474532015042,0.002371237266007521,9.68773457433938,0.0,7.9455928922968795,0.0,7.9455928922968795,3.9727964461484397,3.9727964461484397,0.0,8.335129053757104,0.0,8.338352547100405,4.169176273550202,4.169148879761741,,,,,,,,,,,,
cduobushaemulonii_draft,30.0,11,11,0.06286594423452774,0.0,0.0461243305060803,0.0,0.0,0.0,0.0033435425565111203,0.0016717712782555602,7.013818677209705,0.0,4.792722430008826,0.0,4.792722430008826,2.396361215004413,2.396361215004413,0.0,6.127413457869242,0.0,6.129866593089201,3.0649332965446003,3.064912449389006,,,,,,,,,,,,
cduobushaemulonii_draft,40.0,11,11,0.06978492627820909,0.0,0.04547701332153674,0.0,0.0,0.0,0.0037115305218947594,0.0018557652609473797,8.767314270922238,0.7448131070461469,5.382125029937409,0.0,6.126938136983557,3.0634690684917785,3.063469068491778,3.2221702149586373,4.616639526950543,0.0,7.841228449386417,3.9206142246932085,3.9205936701103608,,,,,,,,,,,,
cparapsilosis_iDC1003,30.0,4,3,0.06664646140641432,0.037416086001430704,0.07969545867317028,0.0,,2.5248735276379413,,4.129023853295005,,-0.02323206304687585,,0.045221321541069455,,0.012906701692708807,,0.0,,1.0837131649662768,,2.708255530742976,,8.25804770659001,7.432307326009818,0.0,0.0,0.025813403385417613,0.0,0.0,0.0,5.416511061485952,8.124830756636614,0.0,0.0
cparapsilosis_iDC1003,40.0,4,3,0.08301797244476632,0.03736082103147116,0.09583595228008497,4.774017856543145,,1.0321711713871093,,2.9073369774231206,,-0.18313471122202066,,0.38279922720591875,,0.10174150623445592,,2.8572927443648317,,1.1275785967974845,,1.9973331706469515,,5.814673954846241,10.007304623220731,0.0,0.0,0.20348301246891184,0.0,1.7177826829953902,1.7177826829953902,3.994666341293903,10.754231245324142,0.0,0.0
