key,growth_term,peak_growth,logl_current,resp_current,logl_clamp,resp_clamp,logl_impute,resp_impute,d_clamp,d_impute
worst(b5),-15.798734892357773,0.9701129647307124,-25.964338959824275,-10.165604067466502,-36.44265150949081,-20.643916617133037,-149.5011803077538,-133.70244541539603,-10.478312549666533,-123.53684134792952
B(b3),-18.859630544795294,0.00010000000007131235,-18.87686280902222,-0.017232264226926475,-20.582856966260863,-1.7232264214655686,-1563.2092651058751,-1544.34963456108,-1.7059941572386421,-1544.332402296853
"big(b6,n=2)",-12.143341385654333,1.2821496871583422,-23.790998381063677,-11.647656995409344,-31.89249190479228,-19.74915051913795,-31.892491930458412,-19.74915054480408,-8.101493523728603,-8.101493549394736
Bstar(b8),5.326227578094485,1.7139571633964328,-8.310937716094614,-13.6371652941891,-11.728539625013042,-17.054767203107527,-123.40581180560078,-128.73203938369525,-3.417601908918428,-115.09487408950616
P4(b13),3.5090316642279866,1.6689067722457411,-11.447068165678278,-14.956099829906265,-12.631094789223619,-16.140126453451607,-12.6310947913881,-16.140126455616087,-1.184026623545341,-1.1840266257098229
p81(b7),5.401509194745859,1.746043576679392,-8.29182294975536,-13.69333214450122,-10.738061853418152,-16.13957104816401,-122.83953330496954,-128.2410424997154,-2.446238903662792,-114.54771035521418
A(b20),6.286753665093009,1.7446628326676001,-7.213070074062501,-13.49982373915551,-10.002884962352274,-16.289638627445285,-10.002884965589677,-16.28963863068269,-2.789814888289773,-2.7898148915271763
"big(b9,n=3)",2.5090459146971646,1.6382620956722207,-12.359970906980354,-14.86901682167752,-13.490900243494265,-15.99994615819143,-13.490900239944573,-15.999946154641737,-1.1309293365139101,-1.130929332964218
p50(b19),6.804242602552436,1.7143086034249753,-8.116550992086271,-14.920793594638706,-9.338188203509274,-16.14243080606171,-9.338188203590283,-16.14243080614272,-1.221637211423003,-1.221637211504012
p38(b22),6.3629775784107485,1.7133155653277794,-7.1859751439001975,-13.548952722310947,-9.989389795112972,-16.35236737352372,-122.38498670599313,-128.74796428440388,-2.8034146512127744,-115.19901156209293
"big(b10,n=64)",3.0063514709297436,1.6499899004616887,-11.98646503353853,-14.992816504468273,-13.130378433143388,-16.136729904073132,-13.130378436392625,-16.13672990732237,-1.143913399604859,-1.1439134028540963
p83(b21),6.404826490013852,1.7336605684435769,-8.432798901996069,-14.83762539200992,-9.639062184753051,-16.043888674766905,-9.639062184809958,-16.043888674823812,-1.2062632827569821,-1.2062632828138895
thetaA_P11median,2.9505593506225005,1.6266365148640896,-10.42222523531659,-13.37278458593909,-11.685363492444248,-14.635922843066748,-125.75892516843743,-128.70948451905994,-1.2631382571276575,-115.33669993312084
