line,scheme,step_sd,logL,min_growth,n_infeasible,n_below_mask,T_min_growth
axis:f_maint,current,-1.0,-7.502968433263122,0.000874190860286754,0,0,50.0
axis:f_maint,current,-0.9500000000000001,-7.4785745050974155,0.0008741076764307394,0,0,50.0
axis:f_maint,current,-0.9,-7.454238227199657,0.0008740244925554959,0,0,50.0
axis:f_maint,current,-0.8500000000000001,-7.429959441634652,0.0008739413086677211,0,0,50.0
axis:f_maint,current,-0.8,-7.405737992275429,0.0008738581248133335,0,0,50.0
axis:f_maint,current,-0.75,-7.381573724002766,0.0008737749409408622,0,0,50.0
axis:f_maint,current,-0.7000000000000001,-7.357466482341963,0.0008736917570683945,0,0,50.0
axis:f_maint,current,-0.65,-7.333416114216023,0.0008736085731769583,0,0,50.0
axis:f_maint,current,-0.6000000000000001,-7.309422465995701,0.0008735253893234557,0,0,50.0
axis:f_maint,current,-0.55,-7.285485386988861,0.0008734422054544613,0,0,50.0
axis:f_maint,current,-0.5,-7.261604726698741,0.0008733590215739224,0,0,50.0
axis:f_maint,current,-0.45,-7.237780334775909,0.0008732758376927802,0,0,50.0
axis:f_maint,current,-0.4,-7.214012062555122,0.0008731926538238812,0,0,50.0
axis:f_maint,current,-0.35000000000000003,-7.198898777711207,0.000873109469947107,0,0,50.0
axis:f_maint,current,-0.30000000000000004,-7.197956564385094,0.0008730262860886669,0,0,50.0
axis:f_maint,current,-0.25,-7.197773465154004,0.0008729431022161719,0,0,50.0
axis:f_maint,current,-0.2,-7.198193717397569,0.0008728599183437024,0,0,50.0
axis:f_maint,current,-0.15000000000000002,-7.1988980519923595,0.000688426782149226,0,0,15.0
axis:f_maint,current,-0.1,-7.199933072880029,0.0004922845209657894,0,0,15.0
axis:f_maint,current,-0.05,-7.201296595995234,0.00029614225978223706,0,0,15.0
axis:f_maint,current,0.0,-7.185975143950628,9.999999859862579e-05,0,1,15.0
axis:f_maint,current,0.05,-7.22549343585881,0.0,1,1,15.0
axis:f_maint,current,0.1,-7.265087480769352,0.0,1,1,15.0
axis:f_maint,current,0.15000000000000002,-7.305320101158372,0.0,1,1,15.0
