T,growth_A,growth_B,o2_A,o2_B,gterm_A,gterm_B,rterm_A,rterm_B,d_growth_term,d_resp_term,d_total,o2_ratio
15.0,0.0,0.0,,,0.9371564483329158,0.9371564483329158,0.0,0.0,0.0,0.0,0.0,
20.0,0.02019226125303761,0.018738782059062518,1.6055511247209988,1.5693365237553272,-1.1897149182432136,-1.2209445199164703,-1.8829563565294087,-1.89992649368082,-0.031229601673256724,-0.01697013715141127,-0.04819973882466799,0.9774441309229784
25.0,0.0861304851870781,0.05386646094598225,4.455168506127685,3.346336859274859,-9.879206464012228,-11.374798264579837,-1.5793898836831746,-1.7444886697341753,-1.4955918005676097,-0.1650987860510007,-1.6606905866186104,0.7511134213379971
27.0,0.2224408682821398,0.15124087886097648,6.026781472229588,4.627327972838781,-9.453754819000554,-12.713186496613066,-1.5339577017200479,-1.6739390896256852,-3.259431677612511,-0.1399813879056373,-3.3994130655181483,0.7677942188812956
30.0,0.6226415157284575,0.5185188442780344,15.04723626375076,12.95137335485295,-4.312603589360897,-7.241555683192857,-1.362932630720934,-1.4030959104081802,-2.9289520938319598,-0.0401632796872462,-2.969115373519206,0.86071442807429
35.0,1.3852606938742114,1.3591859381265645,26.573160243082025,25.22661516418798,0.2840172395029028,0.07378576693914574,-1.3664170664291089,-1.3761133807976564,-0.21023147256375707,-0.009696314368547565,-0.21992778693230464,0.9493268746894867
37.0,1.5221507177676286,1.5076851515728065,33.80710952878662,33.08366759242063,-0.9880418619181291,-1.1506653404765332,-1.319959661278759,-1.322721489597016,-0.1626234785584041,-0.002761828318257109,-0.1653853068766612,0.9786008935265531
40.0,1.664178372918946,1.657887176354447,40.72354989825161,40.493783908313,-2.156529730656378,-2.2496293946043746,-1.3210289104245128,-1.3206889240905253,-0.09309966394799662,0.00033998633398746314,-0.09275967761400916,0.9943579086176748
43.0,1.6425995732495766,1.639592484525324,40.09607305483937,39.92351101352799,0.8636339165873222,0.869116085867984,-1.318503738446505,-1.3190759685648885,0.005482169280661697,-0.0005722301183834766,0.004909939162278221,0.9956962857416145
45.0,1.2226937835815441,1.2227848462859443,29.972193926758674,29.95711641303167,-0.28643289882110295,-0.2868742856759134,-1.4780378410869177,-1.47824269799712,-0.0004413868548104327,-0.0002048569102022224,-0.0006462437650126551,0.9994969499475465
47.0,0.4692647452096216,0.47116234722253697,20.160300561393438,20.220098353033762,1.0928394592520392,1.091429949409138,-1.3892274360008368,-1.3883904186076652,-0.0014095098429012243,0.0008370173931715463,-0.0005724924497296779,1.00296611607839
50.0,0.0008822573138988826,0.0008827970802090276,7.609732531054342,7.60727122879413,0.4815488720477349,0.4815498564859464,-0.11911890026375442,-0.11918694215543078,9.844382115042905e-07,-6.804189167636254e-05,-6.705745346485825e-05,0.9996765586372232
