key,logl,growth_term,resp_term,peak_growth,n_scored,mean_weight,dTm,dTopt
p38(b22),-7.185975143913574,6.3629775784556815,-13.564657239833462,1.7133155653277787,12,0.8414377265563205,-4.021352847306332,1.9127077887257669
A(b20),-7.197362472591727,6.286753665158689,-13.484116163126048,1.7446628326676115,11,0.9173046344310539,-3.8074469034138265,2.5720083226838195
p50(b19),-8.11655099203537,6.804242602552085,-14.92079359382636,1.7143086034249748,12,0.9227430423525078,-3.069462247602748,2.8203037384167167
p81(b7),-8.291822949684983,5.40150919474581,-13.693332144452228,1.7460435766793918,11,0.9276877850372464,-4.078356296326304,1.9073097554912477
Bstar(b8),-8.310937716239376,5.326227578093965,-13.637165294036494,1.713957163396423,11,0.9257160595228616,-4.079364688948881,4.1911510250718615
p83(b21),-8.432798857688514,6.404826534528302,-14.83762539229498,1.7336605716302325,12,0.9236748462319476,-4.494750855944323,4.567033876945952
P4(b13),-11.447068165628673,3.509031664228142,-14.956099829853176,1.668906772245736,12,0.9255780746474319,-4.071241579533303,4.241543634661337
"big(b10,n=64)",-11.986465035397387,3.0063514709296624,-14.992816506555211,1.6499899004616907,12,0.9279889400383707,-4.091209431216172,5.930407322577409
"big(b9,n=3)",-12.3599709045748,2.5090459146959683,-14.869016821738782,1.6382620956722118,12,0.9286537452671176,-4.050144536821803,-0.8107718315994084
B(b3),-18.87686280902222,-18.859630544795294,-0.01723226422692516,0.00010000000007120056,1,0.010000000007120056,0.0003563439327363,13.87315712135784
"big(b6,n=2)",-23.790998384338813,-12.143341385654466,-11.647656993526033,1.2821496871583413,12,0.6962403977270615,-10.179061835989929,1.0727092442743311
worst(b5),-25.964338959744147,-15.798734892357773,-10.16560406745514,0.9701129647307124,11,0.6623367442054389,-13.069266875965187,0.6891994070853076
