scheme,line,max_step_feasible,at_step_sd,max_step_any,n_transitions,T_at_max,rng,p11_at_thetaA,sampleable
clamp,PC1,0.7111013401454915,-0.8500000000000001,1.63667703020967,1,50.0,8.771454558303333,0.7086956805160654,True
clamp,PC2,0.6839354839563434,-0.95,1.4982171041580816,1,15.0,4.4088527356061125,0.8336663085238634,True
clamp,PC3,0.7894617086640245,0.95,1.3963371533793207,1,15.0,10.764714346737493,0.653728924358802,True
clamp,axis:clearance_mult,0.26055770460558314,-1.0,1.5716636981141168,1,15.0,2.7284191963215942,0.0945040783796162,True
clamp,axis:dCp_scale,4.815570258204076,0.95,4.815570258204076,2,15.0,33.700315075624616,3.5289760838305995,True
clamp,axis:f_maint,0.05663669003691929,0.95,1.5302226746922418,1,15.0,1.5302226746922418,0.0641948791952202,True
clamp,axis:kcat_scale,2.7260262140160663,0.95,2.7260262140160663,1,50.0,29.492917220820395,1.5035982117008049,True
clamp,axis:ngam_scale,0.06391262027302602,0.95,1.540013297520252,1,15.0,1.540013297520252,0.2187295121666945,True
clamp,axis:topt_scale,8.55174457252265,0.9,8.55174457252265,1,15.0,48.97054756334899,3.1973181383830713,False
clamp,random1,2.5010108719463027,0.8,2.5010108719463027,1,15.0,19.916185443158227,1.2118213379002505,True
clamp,random2,1.1992864414872244,0.95,1.429705870673052,1,15.0,14.28886195266477,0.8740684142075033,True
clamp,random3,0.3682466307491623,-1.0,1.5507036084158639,1,50.0,5.587993078183295,0.2504982025170061,True
current,PC1,0.6131116576296503,-0.8500000000000001,0.6131116576296503,1,50.0,7.6427359409260935,0.7086956805160654,True
current,PC2,0.6851941152671372,-0.95,0.6851941152671372,1,15.0,4.50816284266458,0.8336663085238634,True
current,PC3,0.7886301381303831,0.95,0.7886301381303831,1,15.0,10.923686652356782,0.653728924358802,True
current,axis:clearance_mult,0.26084228391803066,-1.0,0.26084228391803066,1,15.0,1.927804223206957,0.0945040783796162,True
current,axis:dCp_scale,4.81551427449179,0.95,4.81551427449179,2,15.0,33.98685418488007,3.5289760838305995,True
current,axis:f_maint,0.05584340584564984,0.95,0.05584340584564984,1,15.0,0.9371798129031959,0.0641948791952202,True
current,axis:kcat_scale,2.73198564510799,0.95,2.73198564510799,1,50.0,29.70057139867209,1.5035982117008049,True
current,axis:ngam_scale,0.1206896136353599,-0.1,0.13806980626427112,1,50.0,1.3478358351559194,0.2187295121666945,True
current,axis:topt_scale,8.551867392036634,0.9,8.551867392036634,1,15.0,49.102490955698926,3.1973181383830713,False
current,random1,2.499242368040303,0.8,2.499242368040303,1,15.0,20.07358022366337,1.2118213379002505,True
current,random2,1.1986792103249044,0.95,1.1986792103249044,1,15.0,14.420765993517115,0.8740684142075033,True
current,random3,0.3792473530059066,-0.8,0.3792473530059066,1,50.0,5.586361837169763,0.2504982025170061,True
