scheme,line,max_step,at_step_sd,rng,T_at_max_step,n_infeasible_max,n_below_mask_max,p11_max_jump_at_thetaA,sampleable
current,axis:topt_scale,8.551867392036634,0.9,49.102490955698926,15.0,1,1,3.1973181383830713,False
current,axis:dCp_scale,4.81551427449179,0.9500000000000001,33.98685418488007,15.0,2,2,3.5289760838305995,True
current,axis:kcat_scale,2.73198564510799,0.9500000000000001,29.70057139867209,50.0,1,1,1.5035982117008049,True
current,axis:f_maint,0.05584340584564984,0.9500000000000001,0.9371798129031959,15.0,1,1,0.0641948791952202,True
current,axis:ngam_scale,0.13806980626427112,-0.05,1.3478358351559194,50.0,1,1,0.2187295121666945,True
current,axis:clearance_mult,0.26084228391803066,-1.0,1.9278042232069552,15.0,1,1,0.0945040783796162,True
current,PC1,0.6131116576296503,-0.8500000000000001,7.642735940926095,50.0,1,1,0.7086956805160654,True
current,PC2,0.6851941152671372,-0.9500000000000001,4.50816284266458,15.0,1,1,0.8336663085238634,True
current,PC3,0.7886301381303831,0.9500000000000001,10.923686652356782,15.0,1,1,0.653728924358802,True
current,random1,2.4992423680403064,0.8,20.07358022366337,15.0,1,1,1.2118213379002505,True
current,random2,1.1986792103249044,0.9500000000000001,14.420765993517115,15.0,1,1,0.8740684142075033,True
current,random3,0.3792473530059084,-0.8,5.586361837169765,50.0,1,1,0.2504982025170061,True
clamp,axis:topt_scale,8.55174457252265,0.9,48.97054756334899,15.0,1,1,3.1973181383830713,False
clamp,axis:dCp_scale,4.815570258204069,0.9500000000000001,33.70031507562461,15.0,2,2,3.5289760838305995,True
clamp,axis:kcat_scale,2.7260262140160663,0.9500000000000001,29.492917220820395,50.0,1,1,1.5035982117008049,True
clamp,axis:f_maint,1.53022267469224,0.0,1.53022267469224,15.0,1,1,0.0641948791952202,True
clamp,axis:ngam_scale,1.5400132975202503,0.0,1.5400132975202503,15.0,1,1,0.2187295121666945,True
clamp,axis:clearance_mult,1.571663698114115,-0.05,2.7284191963215942,15.0,1,1,0.0945040783796162,True
clamp,PC1,1.6366770302096683,0.0,8.771454558303333,15.0,1,1,0.7086956805160654,True
clamp,PC2,1.4982171041580798,-0.05,4.408852735606114,15.0,1,1,0.8336663085238634,True
clamp,PC3,1.396337153379319,0.0,10.76471434673749,15.0,1,1,0.653728924358802,True
clamp,random1,2.501010871946299,0.8,19.916185443158227,15.0,1,1,1.2118213379002505,True
clamp,random2,1.4297058706730503,0.0,14.28886195266477,15.0,1,1,0.8740684142075033,True
clamp,random3,1.550703608415862,0.0,5.587993078183295,15.0,1,1,0.2504982025170061,True
