epsilon,p38,b3,gap
1e-06,-63.18172351601412,-837.6653134851515,774.4835899691374
1e-09,-9.989389794537129,-1563.2092651058751,1553.219875311338
1e-12,-9.989389794793533,-2520.73380387604,2510.7444140812463
