key,T,growth,o2,status
worst(b5),50.0,4.706913251047868e-05,5.673827154130322,FEASIBLE-NOT-GROWING
B(b3),15.0,0.0,,INFEASIBLE
B(b3),20.0,0.0,,INFEASIBLE
B(b3),25.0,0.0,,INFEASIBLE
B(b3),27.0,0.0,,INFEASIBLE
B(b3),30.0,0.0,,INFEASIBLE
B(b3),35.0,0.0,,INFEASIBLE
B(b3),37.0,0.0,,INFEASIBLE
B(b3),40.0,0.0,,INFEASIBLE
B(b3),43.0,0.0,,INFEASIBLE
B(b3),45.0,0.0,,INFEASIBLE
B(b3),47.0,0.0,,INFEASIBLE
Bstar(b8),15.0,9.999999654741265e-05,0.5253006962622073,FEASIBLE-NOT-GROWING
p81(b7),15.0,9.956801660073911e-05,2.237236465170728,FEASIBLE-NOT-GROWING
A(b20),15.0,9.99999966199862e-05,1.5702041498661778,FEASIBLE-NOT-GROWING
