,Topt_C,rmax,CTmin_C,CTmax_C,niche_width_C,B80_C,Ea_eV,Ea_kJmol,skewness
dTopt,0.9277246699037374,0.06362060536023824,0.7559464865105117,0.8360742184570403,0.008716831859193742,0.07817769678652385,-0.0037511336840195903,-0.0037511336840195903,-0.24374238855060226
topt_scale,0.34363722727631063,-0.5892226321169831,0.47587003866838523,0.09150998933238819,-0.4028641272945464,-0.3465096226498956,0.3079920188645021,0.3079920188645021,-0.1955269123072137
dCp_scale,-0.053752662387674684,-0.4817831903640162,0.4011182719231966,-0.4959150268460984,-0.8661060491577403,-0.8979261300502244,0.8424596408489027,0.8424596408489027,0.07791457398106584
budget_scale,0.09324277829088566,0.504543313036135,-0.02271212053869061,0.15457594792292786,0.15594826436730522,0.15508778167918574,-0.22250317431525485,-0.22250317431525485,-0.4327819014178408
