Topt_C,rmax,CTmin_C,CTmax_C,niche_width_C,B80_C,Ea_eV,Ea_kJmol,skewness
43.0,0.09207548317909937,29.078529668165356,53.0,23.921470331834644,10.959996706114723,1.5545912429009507,149.99473607129823,-0.08703153735219527
43.0,0.08241829365246324,34.305177194812636,50.35452362185159,16.049346427038955,6.709113862091506,2.305336973105403,222.4304378500748,-0.05551877397518912
29.0,0.0671886543917052,19.022323413628197,39.12342452073062,20.101101107102426,8.289791640443752,1.8370260266233127,177.24545617875032,0.013956390282980635
46.0,0.09161556047303765,32.025380242539526,53.0,20.974619757460474,11.645655937468462,1.4361063239540115,138.5627186667028,-0.2550932227600166
40.0,0.07067162486486188,32.977210598662225,44.72806089612902,11.750850297466798,4.601859603467659,2.560546949801202,247.05437245156898,-0.10885562513200543
31.0,0.05646507730869254,25.28509159588195,38.46868016504938,13.183588569167426,5.333674532982307,3.958950801736377,381.9793681055343,0.055329918901094156
31.0,0.08558960338396494,22.591670505882043,37.90815738961474,15.3164868837327,6.162592900115111,1.9557158297920003,188.69724183748116,-0.07225572473568857
33.0,0.08797382154112969,23.57723704810455,40.68454239569319,17.107305347588643,7.086757439716504,1.9824985363209848,191.28137127693023,-0.06658306793376888
32.0,0.0614044008945621,25.282711263577756,38.97467719518995,13.691965931612192,5.706259690815877,3.094558333683537,298.57846082545603,0.04150056926243476
39.0,0.02800718380477355,35.02365305375858,43.87052372540106,8.846870671642478,3.8576891204122603,3.3526635201008372,323.4817397369293,-0.0047921835052200535
37.0,0.07703810128719618,27.40449492874177,46.73620316113788,19.33170823239611,7.9045027807555925,2.4651213562098797,237.84723405391026,0.02014115673123926
34.0,0.08703272485042948,25.109055268597334,42.7963892007643,17.68733393216697,7.2723692420435135,2.021673173445316,195.06113613987134,-0.03790649924354993
39.0,0.06804066202942807,31.969526526629142,46.71045516284979,14.740928636220648,6.003546029385504,2.555437516669956,246.5613887959007,0.0007245798354029844
42.0,0.09290664335499826,25.2284062277331,53.0,27.7715937722669,12.100360760034462,1.2570842187722067,121.28977084823636,-0.09499820592542343
37.0,0.08624956489945054,25.59829718785592,48.23358307727955,22.635285889423628,9.103697263120083,1.6103838810839237,155.37788876638237,-0.01174285212624168
30.0,0.06647402536773014,22.38735788545507,37.728388087943145,15.341030202488074,6.2742758496404605,2.8266328014344255,272.72766584640055,0.0004461929711229306
34.0,0.08623523924756077,25.43819888157451,40.6400237988339,15.20182491725939,6.049699308111531,2.556271798099511,246.64188443963133,-0.06665187196787845
35.0,0.08949934436074457,25.078121188116448,44.5221954268751,19.444074238758652,7.566264683028475,1.8009188269959164,173.76165302270098,-0.04032398786120041
42.0,0.05978736313108048,36.231301472514645,46.80277213800703,10.571470665492384,3.720608833854861,3.7559085880550804,362.38884011849444,-0.022420117526838177
34.0,0.08076842617666265,24.728027981883294,42.396274038608404,17.66824605672511,7.465078142962081,1.8255360141357588,176.1368423238887,-0.07651734318520187
32.0,0.07728590227659451,22.519730984343123,41.33906116239622,18.819330178053097,7.547791582831813,1.6549057100133686,159.67357743063988,0.005039795582087477
29.0,0.07298537076566716,21.648012367330185,36.81675100690303,15.168738639572847,6.093508308618176,2.2585660107798944,217.9177415500981,-0.004826311369787203
39.0,0.08248064163268212,30.69454613060905,45.780930931262766,15.086384800653715,6.38035587944654,2.117981118269626,204.35340819624486,-0.09082553564047462
43.0,0.05242912372928711,37.38450545031877,48.778426108614575,11.393920658295805,4.353754965142109,5.151841890784562,497.0754648323484,0.03245257739125269
38.0,0.08910982493030474,29.326781120174413,46.189423205418535,16.862642085244122,6.940050667506782,2.284648376976155,220.4342986525443,-0.03989539443300233
35.0,0.03809202252759306,32.102970624061676,40.63601175097441,8.533041126912735,3.231201321062116,,,0.12513294846134027
29.0,0.09373659959787335,18.33072913486918,39.32695241066382,20.99622327579464,8.346111960518861,1.9088624282745619,184.1765913920711,0.013493435898980392
44.0,0.0868777432397733,35.52221717957133,51.297019976274896,15.774802796703568,6.038057977393571,2.0779543657609176,200.49142698044213,-0.053446106833086454
41.0,0.061023027385796444,34.74793159466401,45.39531312726969,10.647381532605678,3.686366176672607,2.9583654519574205,285.4378906321117,-0.11743974619524364
39.0,0.05081233418746728,31.207462683691055,46.200616289845925,14.99315360615487,6.318928689425093,2.7821457990011336,268.43533741662435,0.024345714306251993
43.0,0.05760958588703108,31.952320536156222,53.0,21.047679463843778,9.345490421670931,1.7545057053930333,169.2834829848468,-0.010518812422315942
43.0,0.044584387740258476,38.17526585881076,47.821226593650785,9.645960734840024,4.104000568148884,4.8293872097897,465.9634249365592,0.06938848866036934
34.0,0.08983097411135631,26.31459061494573,42.68797302245677,16.373382407511038,6.514886301214904,2.5909279532732916,249.98568357157353,0.006352867501187752
40.0,0.08957185221688498,26.220734619372973,53.0,26.779265380627027,10.938861000318227,1.4523604548574105,140.13099848691726,0.010038775306287303
30.0,0.0482366891036594,25.17223400299087,35.64488821215887,10.472654209167999,4.341650909786669,4.039985980182635,389.7980472979216,0.06551122126164202
35.0,0.047760085992103844,30.075367578440073,40.929162197369166,10.853794618929093,4.719210644633272,2.751740129372393,265.5016463824953,0.0346101783225267
36.0,0.09553766809408049,22.236784341307285,49.71710941457287,27.480325073265583,10.963670713225788,1.4273960412701,137.72230704194558,0.018221247618673535
32.0,0.09232912488544454,19.51575851851858,44.19471709841217,24.67895857989359,9.700878154050763,1.3735212600147615,132.52419877252427,-0.001258906502220531
43.0,0.08944597984253928,34.44979214513699,50.83399303069674,16.38420088555975,6.542891528430715,2.7301349439577733,263.41707006776574,-0.019994927124914855
32.0,0.09441101803527709,19.830159721044875,43.51523810246975,23.685078381424876,9.459484059028412,1.5019759706860867,144.91815153164708,0.00787699746543576
47.0,0.06861161445082085,40.552581383131304,52.581402894639,12.028821511507694,4.1953158512449775,2.4552584975871388,236.89561613969508,-0.08394029872695391
31.0,0.08412449021037521,17.32666947146817,45.711114344756766,28.384444873288597,11.64923420164546,1.3981840503255136,134.90378809565718,0.01493166877246627
42.0,0.08384117698177719,32.3986520087073,49.56058670063495,17.161934691927648,7.224245836875184,2.522668891207493,243.39970796815496,-0.06838564166596048
46.0,0.04443802073517748,38.40313910867319,52.75882261804719,14.355683509374003,5.942293126013411,3.2147108409868665,310.1713754926178,0.0011707507735004693
43.0,0.09433282297658466,29.339441071069,53.0,23.660558928931,10.915278538723065,1.5445898211852491,149.02974889705877,-0.08955979650145066
44.0,0.08924178744499607,32.24046306763541,53.0,20.75953693236459,9.554730588402087,1.820865436825124,175.6862016720721,-0.09590458175583595
44.0,0.060064105275116436,37.23849147841124,51.341104590255505,14.102613111844263,5.866702054534024,3.0183967084869323,291.23000641836165,0.05216606581564856
43.0,0.07139427230091328,36.66804619420545,48.99104414071295,12.322997946507499,4.382305703362562,3.034838534969713,292.81639604655277,-0.013836336709859462
37.0,0.08429586664775619,24.495315682146042,48.641244874813616,24.145929192667573,9.9497176078169,1.7374441085808978,167.63729481642793,-0.027527636159018605
44.0,0.05105212436815089,37.0009895553043,50.67433274817366,13.67334319286936,5.715954019661503,2.3797173026212923,229.60702394341538,0.028977482128720526
37.0,0.08948442112094294,24.99743002122334,50.421570725250206,25.424140704026865,10.243569389233329,1.633900048345852,157.64684616464953,-0.0011621581144693914
37.0,0.08072668939264542,29.29844596779793,43.74090231856193,14.442456350763997,5.978817931056781,2.581197159003373,249.04680788644046,-0.0814812763447781
46.0,0.09099635831903995,31.708361225879262,53.0,21.291638774120738,11.568514917415108,1.337817634532087,129.0793344678284,-0.24149072832366678
41.0,0.09403082780375586,28.607866220562727,52.77808633623114,24.170220115668414,9.643802998607562,1.5008539334049256,144.80989176457425,0.012033468468458743
33.0,0.09078681771442444,18.737418083136053,46.90610569914595,28.168687616009894,11.552112458744567,1.2373943267197705,119.38999161355706,-0.019017189330473052
41.0,0.09394177863122193,30.578286082503034,52.32487830164533,21.746592219142293,8.718487445377697,1.654679270456676,159.65172941001236,-0.000448051154585588
