temp_C,growth,mu_pred,mu_measured
22.0,0.09021898833982472,0.18712541299405003,0.2607
24.0,0.14576884188332614,0.30234272453087424,0.3367
26.0,0.2097509460839108,0.43504957364411945,0.434
28.0,0.27289353475763295,0.5660151630450817,0.5233
30.0,0.3271464842980691,0.6785425342306228,0.6482
32.0,0.3661891569583599,0.7595218976704969,0.7478
34.0,0.38512635313803883,0.7987999999999544,0.7761
36.0,0.3823560756767999,0.7930540996791723,0.7988
38.0,0.3592929924832341,0.7452183940596814,0.7486
40.0,0.3199089476260936,0.6635309821868148,0.6639
42.0,0.2699395691735033,0.5598882706904657,0.6082
44.0,0.2157009198878505,0.44739056001355454,0.2721
