medium,Topt_C,rmax,o2_at_Topt,co2_at_Topt,glc__D_at_Topt,pyr_at_Topt,lac__D_at_Topt,ac_at_Topt,co2_release_at_Topt,RQ_at_Topt
glucose_minimal,38.0,1.1705709097097368,30.377674395761073,-1.5857660903009967,98.98997422786528,-66.47203913719761,-113.21283209419816,-0.6811843595757474,1.5857660903009967,0.05220169489084641
NLDM,38.5,1.6171456648592621,48.19681588284582,-54.84379127069699,4.375,2.625,-1.1210903925977496,-50.554104432677136,54.84379127069699,1.1379131643054652
LB,39.0,2.1555072917104328,1.3139335282311364,-1.0837976883011733,0.0,-94.30782203542347,0.0,0.0,1.0837976883011733,0.8248497089196133
BHI,39.0,2.1557848581744015,1.3141027245426975,-1.0839372498295219,0.0,-94.31935931364406,0.0,0.0,1.0839372498295219,0.8248497089196187
