temp_C,growth,mu_pred,mu_measured
22.0,0.028072424515973277,0.05400532584853742,0.2984
24.0,0.05016780023967682,0.09651209134096936,0.4086
26.0,0.08402913468423907,0.16165403871015216,0.4879
28.0,0.13058633117004717,0.2512201025668662,0.5949
30.0,0.1867471365415689,0.35926145084013517,0.6167
32.0,0.24498725958464448,0.47130296049351544,0.6033
34.0,0.2960821131723312,0.569598503709465,0.5387
36.0,0.33460590233939486,0.6437100143024964,0.4686
38.0,0.3546550673227287,0.6822803090520624,0.153
40.0,0.3546146290490917,0.6822025144838277,0.0
42.0,0.3248199658046306,0.6248839705814655,0.0
44.0,0.05676957558729519,0.10921249164391092,0.0
