temp_C,growth,mu_pred
15.0,0.0006097847505520924,0.0046772351346617115
15.5,0.0007403703989103644,0.005678866910515234
16.0,0.0008964067906986681,0.006875713655694288
16.5,0.001082286751808976,0.00830146968542041
17.0,0.001303049092926143,0.00999478421542222
17.5,0.0015644164033380658,0.011999551251993505
18.0,0.0018728643983102673,0.014365441507520147
18.5,0.002235670209522401,0.017148272802865686
19.0,0.002660953727892382,0.02041032717944967
19.5,0.0031577040193687647,0.02422055351643692
20.0,0.003735784818762487,0.02865460967010366
20.5,0.004405912087450083,0.033794690334572094
21.0,0.005179595695831671,0.0397290797284654
21.5,0.006069036592849286,0.046551362853730974
22.0,0.00708697052699289,0.054359226788062265
22.5,0.008246449700888583,0.06325278590895436
23.0,0.009560556510532246,0.07333238618626316
23.5,0.011042037349009924,0.08469579634498267
24.0,0.01270289851711102,0.09743510837632563
24.5,0.014553901713808581,0.11163286779573797
25.0,0.016603840695242768,0.12735652539654826
25.5,0.018827711221902042,0.1444142910307527
26.0,0.021254911280527526,0.16303165622851729
26.5,0.023884668514741483,0.18320269678071222
27.0,0.02671198845788125,0.20488910360379226
27.5,0.029727218936834013,0.22801684158427157
28.0,0.03291576599439974,0.25247397061655064
28.5,0.03625800463604624,0.27810996100328894
29.0,0.0397294160989285,0.30473674635067566
29.5,0.043300968305255705,0.332131641761864
30.0,0.04693973692686441,0.3600421075917878
30.5,0.05060974339707985,0.38819217725388744
31.0,0.05427296599517649,0.4162902125464914
31.5,0.05789057352317878,0.444038366330379
32.0,0.061424444543274885,0.4711442355433946
32.5,0.06483675885693939,0.49731772772064314
33.0,0.06809262267367379,0.5222911968398959
33.5,0.07116043196436384,0.545822230352731
34.0,0.07412718030269493,0.568578095518559
34.5,0.07691306089282472,0.5899466498573314
35.0,0.07944346525807927,0.6093556235834772
35.5,0.08170165274572982,0.6266766107815497
36.0,0.08367603695300517,0.6418207402062828
36.5,0.08535930147287389,0.6547318927828786
37.0,0.08674832999100446,0.6653861654293579
37.5,0.08784408459992002,0.6737909376889908
38.0,0.08865096310333544,0.6799799420584194
38.5,0.08917635600694429,0.6840098659717944
39.0,0.08942983104986735,0.6859540969081145
39.5,0.08942299719867508,0.6859016791838722
40.0,0.0891689381619312,0.6839529688367195
40.5,0.08868229534670806,0.6802202699272576
41.0,0.08797811248503862,0.6748189724713193
41.5,0.08707099120453472,0.6678610754089039
42.0,0.08597634489313621,0.659464804129464
42.5,0.08470950960671299,0.6497477908618753
43.0,0.08328555371809476,0.6388256146244021
43.5,0.08171912127612736,0.6268105997408543
44.0,0.08002427346940015,0.6138105998189939
44.5,0.0782143098813654,0.5999276267227499
45.0,0.07630169100854864,0.5852572562632457
45.5,0.07429774664714589,0.5698863914350025
46.0,0.07221250262006379,0.5538919333594579
46.5,0.07005431803305147,0.5373379989287919
47.0,0.06782957116130842,0.5202735114603464
47.5,0.06554150500733437,0.5027233457730143
48.0,0.06318902451390158,0.4846791024436623
48.5,0.06076773411115094,0.46610706611000347
49.0,0.05826066982790592,0.4468771179359431
49.5,0.055639122994984094,0.42676905366736045
50.0,0.052854362204023696,0.4054090885299646
50.5,0.049821690017516934,0.38214756732957667
51.0,0.04637631094181333,0.3557204583365771
51.5,0.04210162759989687,0.3229323325294579
52.0,0.03564109616825518,0.2733780847833437
52.5,0.02362296956090027,0.18119538593782525
53.0,0.008394436398760289,0.06438788904513713
53.5,0.0015341122059448987,0.011767108809563262
54.0,0.00020440968333240646,0.0015678846541862333
54.5,2.3768024781200915e-05,0.0001823080037463913
55.0,2.1916001457146064e-06,1.681024196388197e-05
55.5,0.0,0.0
56.0,0.0,0.0
56.5,0.0,0.0
57.0,0.0,0.0
57.5,0.0,0.0
58.0,0.0,0.0
58.5,0.0,0.0
59.0,0.0,0.0
59.5,0.0,0.0
60.0,0.0,0.0
60.5,0.0,0.0
61.0,0.0,0.0
61.5,0.0,0.0
62.0,0.0,0.0
62.5,0.0,0.0
63.0,0.0,0.0
63.5,0.0,0.0
64.0,0.0,0.0
64.5,0.0,0.0
65.0,0.0,0.0
65.5,0.0,0.0
66.0,0.0,0.0
66.5,0.0,0.0
67.0,0.0,0.0
67.5,0.0,0.0
68.0,0.0,0.0
68.5,0.0,0.0
69.0,0.0,0.0
69.5,0.0,0.0
70.0,0.0,0.0
70.5,0.0,0.0
71.0,0.0,0.0
71.5,0.0,0.0
72.0,0.0,0.0
72.5,0.0,0.0
73.0,0.0,0.0
73.5,0.0,0.0
74.0,0.0,0.0
74.5,0.0,0.0
75.0,0.0,0.0
