temp_C,growth,mu_pred,mu_measured
22.0,0.007089299192799267,0.05437708836547399,0.2984
24.0,0.012707063385905968,0.09746705419104361,0.4086
26.0,0.021262500378194944,0.1630898669237147,0.4879
28.0,0.03292804389066258,0.25256814582793186,0.5949
30.0,0.046957154882928745,0.3601757086305221,0.6167
32.0,0.06142444454328063,0.47114423554343865,0.6033
34.0,0.07412718030269554,0.5685780955185636,0.5387
36.0,0.08367603695300492,0.6418207402062809,0.4686
38.0,0.08865096310333569,0.6799799420584213,0.153
40.0,0.08916893816193126,0.6839529688367201,0.0
42.0,0.08597634489313606,0.6594648041294628,0.0
44.0,0.08002427346940011,0.6138105998189936,0.0
