temp_C,growth,mu_pred,mu_measured
22.0,0.019558096318993433,0.22329335076534396,0.289
24.0,0.03162197071715304,0.36102571968518077,0.3675
26.0,0.044988684758411904,0.5136325132255284,0.4785
28.0,0.05710993834753889,0.6520199761589308,0.5453
30.0,0.06664646140641604,0.7608977602610412,0.578
32.0,0.06664646140641288,0.7608977602610051,0.8002
34.0,0.06664646140641281,0.7608977602610042,0.6742
36.0,0.06664646140641281,0.7608977602610042,0.6231
38.0,0.06664646140641281,0.7608977602610042,0.4819
40.0,0.06664646140641282,0.7608977602610044,0.0
42.0,0.06664646140641281,0.7608977602610042,0.0
44.0,0.06664646140641281,0.7608977602610042,0.0
