reaction,name,bounds_changed,stoich_changed,lb_before,lb_after,ub_before,ub_after,costed,moves_proton
r_0063No1,3-methyl-2-oxobutanoate hydroxymethyltransferase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0064No1,3-methyl-2-oxopentanoate decarboxylase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0064No2,3-methyl-2-oxopentanoate decarboxylase (No2),False,True,0.0,0.0,inf,inf,True,False
r_0064No3,3-methyl-2-oxopentanoate decarboxylase (No3),False,True,0.0,0.0,inf,inf,True,False
r_0064No4,3-methyl-2-oxopentanoate decarboxylase (No4),False,True,0.0,0.0,inf,inf,True,False
r_0065No1,3-phosphoshikimate 1-carboxyvinyltransferase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0066No1,4-amino-4-deoxychorismate synthase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0067No1,4-aminobenzoate synthase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0068No1,4-aminobutyrate transaminase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0069No1,4-hydroxy-L-threonine synthase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0072No1,4-methyl-2-oxopentanoate decarboxylase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0073No1,4PP-IP5 depyrophosphorylation to IP6 (No1),False,True,0.0,0.0,inf,inf,True,True
r_0073No2,4PP-IP5 depyrophosphorylation to IP6 (No2),False,True,0.0,0.0,inf,inf,True,True
r_0074No1,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4 (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0075No1,5'-methylthioadenosine phosphorylase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0077No1,5'-nucleotidase (IMP) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0079No1,5'-phosphoribosylformyl glycinamidine synthetase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0080No1,"5,10-methylenetetrahydrofolate reductase (NADPH) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0080No2,"5,10-methylenetetrahydrofolate reductase (NADPH) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0081No1,5-aminolevulinate synthase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0082No1,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0083No1,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0084No1,5-formethyltetrahydrofolate cyclo-ligase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0085No1,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0088No1,"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4 (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0089No1,"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4 (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0090No1,6-phosphofructo-2-kinase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0090No2,6-phosphofructo-2-kinase (No2),False,True,0.0,0.0,inf,inf,True,True
r_0091No1,6-phosphogluconolactonase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0091No2,6-phosphogluconolactonase (No2),False,True,0.0,0.0,inf,inf,True,True
r_0092No1,6PP-IP5 depyrophosphorylation to IP6 (No1),False,True,0.0,0.0,inf,inf,True,True
r_0092No2,6PP-IP5 depyrophosphorylation to IP6 (No2),False,True,0.0,0.0,inf,inf,True,True
r_0093No1,"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4 (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0095No1,acetaldehyde condensation (No1),False,True,0.0,0.0,inf,inf,True,False
r_0095No2,acetaldehyde condensation (No2),False,True,0.0,0.0,inf,inf,True,False
r_0095No3,acetaldehyde condensation (No3),False,True,0.0,0.0,inf,inf,True,False
r_0096No1,acetohydroxy acid isomeroreductase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0097No1,acetolactate synthase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0097No2,acetolactate synthase (No2),False,True,0.0,0.0,inf,inf,True,False
r_0100No1,acetyl-CoA C-acyltransferase (palmitoyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0101No1,acetyl-CoA C-acyltransferase (tetracosanoyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0102No1,acetyl-CoA C-acyltransferase (myristoyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0103No1,acetyl-CoA C-acetyltransferase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0104No1,acetyl-CoA C-acetyltransferase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0105No1,acetyl-CoA C-acyltransferase (lauroyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0106No1,acetyl-CoA C-acyltransferase (octanoyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0107No1,acetyl-CoA C-acyltransferase (decanoyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0108No1,acetyl-Coa carboxylase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0109No1,"acetyl-CoA carboxylase, reaction (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0111No1,acetyl-CoA hydrolase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0112No1,acetyl-CoA synthetase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0112No2,acetyl-CoA synthetase (No2),False,True,0.0,0.0,inf,inf,True,False
r_0113No1,acetyl-CoA synthetase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0114No1,acetyl-CoA synthetase nuclear (No1),False,True,0.0,0.0,inf,inf,True,False
r_0115No1,acetylglutamate kinase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0116No1,acid phosphatase (secreted) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0116No2,acid phosphatase (secreted) (No2),False,True,0.0,0.0,inf,inf,True,False
r_0117No1,aconitase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0118No1,acteylornithine transaminase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0119No1,acyl carrier protein synthase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0120No1,acyl-CoA oxidase (decanoyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0121No1,acyl-CoA oxidase (dodecanoyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0122No1,acyl-CoA oxidase (hexacosanoyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0123No1,acyl-CoA oxidase (hexadecanoyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0124No1,acyl-CoA oxidase (octadecanoyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0125No1,acyl-CoA oxidase (tetradecanoyl-CoA) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0126No1,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0127No1,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0127No2,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0128No1,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0129No1,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0130No1,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0131No1,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0132No1,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0132No2,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0133No1,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0134No1,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0135No1,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0137No1,"acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3 (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0138No1,adenine deaminase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0139No1,adenine phosphoribosyltransferase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0140No1,adenosine deaminase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0142No1,adenosine kinase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0143No1,adenosine monophosphate deaminase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0144No1,adenosylhomocysteinase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0145No1,adenosylmethionine decarboxylase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0146No1,adenosylmethionine-8-amino-7-oxononanoate transaminase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0147No1,adenylate cyclase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0148No1,adenylate kinase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0149No1,adenylate kinase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0150No1,adenylate kinase (GTP) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0151No1,adenylosuccinate lyase (AICAR) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0152No1,adenylosuccinate lyase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0153No1,adenylosuccinate synthase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0154No1,adenylyl-sulfate kinase (No1),False,True,0.0,0.0,inf,inf,True,True
r_0155No1,"ADP-ribose 2,3-cyclic phosphodiesterase (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0156No1,alanine glyoxylate aminotransferase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0157No1,alanyl-tRNA synthetase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0158No1,alcohol acetyltransferase (2-methylbutanol) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0158No2,alcohol acetyltransferase (2-methylbutanol) (No2),False,True,0.0,0.0,inf,inf,True,False
r_0159No1,alcohol acetyltransferase (ethanol) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0159No2,alcohol acetyltransferase (ethanol) (No2),False,True,0.0,0.0,inf,inf,True,False
r_0160No1,alcohol acetyltransferase (isoamyl alcohol) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0160No2,alcohol acetyltransferase (isoamyl alcohol) (No2),False,True,0.0,0.0,inf,inf,True,False
r_0161No1,alcohol acetyltransferase (isobutyl alcohol) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0161No2,alcohol acetyltransferase (isobutyl alcohol) (No2),False,True,0.0,0.0,inf,inf,True,False
r_0162No1,alcohol acetyltransferase (phenylethanol alcohol) (No1),False,True,0.0,0.0,inf,inf,True,False
r_0162No2,alcohol acetyltransferase (phenylethanol alcohol) (No2),False,True,0.0,0.0,inf,inf,True,False
r_0163No1,alcohol dehydrogenase (ethanol to acetaldehyde) (No1),False,True,0.0,0.0,inf,inf,True,True
r_0164No1,"alcohol dehydrogenase (glycerol, NADP) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0164No2,"alcohol dehydrogenase (glycerol, NADP) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0165No1,mitochondrial alcohol dehydrogenase (No1),False,True,0.0,0.0,inf,inf,True,False
r_0165No2,mitochondrial alcohol dehydrogenase (No2),False,True,0.0,0.0,inf,inf,True,False
