reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string
r_0226No1,r_0226No1,r_0226No1,True,False,True,True,atp_synthase,-3.0,7.533147399218375,-22.599442197655126,7.413071584879889e-06 prot_P00830 + 3.2222602983963286e-06 prot_P00854 + 3.596311989974026e-06 prot_P00856 + 2.3531803711070347e-06 prot_P05626 + 7.059263776240942e-06 prot_P07251 + 2.471062146974301e-06 prot_P09457 + 3.9535607326477405e-06 prot_P21306 + 2.4041747743604197e-06 prot_P30902 + 2.827994
r_0439No1,r_0439No1,r_0439No1,True,False,False,True,redox,2.532,5.5418445137894015,14.031950308914764,7.173624183775288e-06 prot_P00127 + 2.9487094365216446e-06 prot_P00128 + 2.923173231255733e-06 prot_P00163 + 3.274116340477677e-06 prot_P07143 + 2.795903827582197e-06 prot_P07256 + 3.503977459825009e-06 prot_P07257 + 2.696726042433732e-06 prot_P08067 + 5.42880337705922e-06 prot_P08525 + 1.5984398060
r_0438No1,r_0438No1,r_0438No1,True,False,False,True,redox,0.633,11.088458166249263,7.018994019235783,4.885897092924271e-07 prot_P00401 + 4.4362131184722823e-07 prot_P00410 + 5.197793920817589e-07 prot_P00420 + 6.228795970703263e-07 prot_P00425 + 5.201866826435638e-07 prot_P00427 + 4.4474827602678027e-07 prot_P04037 + 1.5214189055049475e-06 prot_P04039 + 1.122307571518344e-06 prot_P07255 + 7.8635112
r_1245,r_1245,phosphate transport,False,False,False,True,carrier,-1.0,5.876178178627977,-5.876178178627977,s_0794 + s_1322 --> s_0799 + s_1326
r_4041,r_4041,yeast 8 biomass pseudoreaction,False,False,False,False,carrier,56.11513795608944,0.1,5.6115137956089445,0.642498942709614 s_0001 + 0.21466987951807232 s_0004 + 0.5727840199750311 s_0404 + 0.046 s_0423 + 0.20062421972534333 s_0428 + 0.12696629213483146 s_0430 + 0.37141073657927587 s_0432 + 56.11513795608944 s_0434 + 7.553479223014507e-07 s_0509 + 0.0447 s_0526 + 0.008239700374531835 s_0542 + 0.0036 s_0
arm_r_0486,arm_r_0486 r_0486No1 r_0486No2 r_0486No3,glyceraldehyde-3-phosphate dehydrogenase (arm),True,False,False,False,redox,3.0,1.6784982414546321,5.035494724363897,s_0764 + s_1198 + s_1322 --> pmet_r_0486 ; pmet_r_0486 + 1.4570513415003297e-05 prot_P00359 --> s_0075 + s_0794 + s_1203 ; pmet_r_0486 + 1.6825817035106294e-05 prot_P00360 --> s_0075 + s_0794 + s_1203 ; pmet_r_0486 + 1.4577147328747388e-05 prot_P00358 --> s_0075 + s_0794 + s_1203
arm_r_0770,arm_r_0770 r_0770No1 r_0770No2,"NADH dehydrogenase, cytosolic/mitochondrial (arm)",True,False,False,False,redox,-1.0,4.305782629722885,-4.305782629722885,s_0794 + s_1203 + s_1537 --> pmet_r_0770 ; pmet_r_0770 + 6.430772790133023e-07 prot_Q07500 --> s_1198 + s_1535 ; pmet_r_0770 + 6.430771128025181e-07 prot_P40215 --> s_1198 + s_1535
arm_r_0534,arm_r_0534 r_0534No1 r_0534No2 r_0534No3,hexokinase (D-glucose:ATP) (arm),True,False,False,False,carrier,3.0,1.0784200498789007,3.2352601496367024,s_0434 + s_0563 --> pmet_r_0534 ; pmet_r_0534 + 1.0305477605106158e-06 prot_P17709 --> s_0394 + s_0568 + s_0794 ; pmet_r_0534 + 1.0518036963356492e-06 prot_P04806 --> s_0394 + s_0568 + s_0794 ; pmet_r_0534 + 2.4273876265373014e-06 prot_P04807 --> s_0394 + s_0568 + s_0794
arm_r_0891,arm_r_0891 r_0891No1 r_0891No2,phosphoglycerate dehydrogenase (arm),True,False,False,False,redox,2.0,0.9241139598229166,1.848227919645833,s_0260 + s_1198 --> pmet_r_0891 ; pmet_r_0891 + 1.0194348840906712e-07 prot_P40054 --> s_0258 + s_0794 + s_1203 ; pmet_r_0891 + 1.0194348840906712e-07 prot_P40510 --> s_0258 + s_0794 + s_1203
r_0725No1,r_0725No1,methenyltetrahydrofolate cyclohydrolase (No1),True,False,False,False,carrier,1.0,1.7372043921565732,1.7372043921565732,2.1084674669485216e-06 prot_P07245 + s_0304 + s_0803 --> s_0120 + s_0794
NGAM,NGAM,NGAM,False,False,False,False,carrier,1.0,1.6838341960517724,1.6838341960517724,s_0434 + s_0803 --> s_0394 + s_0794 + s_1322
arm_r_0471,arm_r_0471 r_0471No1 r_0471No2,glutamate dehydrogenase (NADP) (arm),True,False,False,False,redox,-1.0,1.4545772794234124,-1.4545772794234124,s_0180 + s_0419 + s_0794 + s_1212 --> pmet_r_0471 ; pmet_r_0471 + 1.0734737880047261e-08 prot_P39708 --> s_0803 + s_0991 + s_1207 ; pmet_r_0471 + 1.2561669627683132e-08 prot_P07262 --> s_0803 + s_0991 + s_1207
r_0887No1,r_0887No1,phosphofructokinase (s7p) (No1),True,False,False,False,carrier,1.0,0.8556329388276186,0.8556329388276186,4.3982877593535264e-07 prot_P16861 + 4.790489423801316e-07 prot_P16862 + s_0434 + s_1427 --> s_0394 + s_0794 + s_1426
arm_r_0962,arm_r_0962 r_0962No1 r_0962No2,pyruvate kinase (arm),True,False,False,False,carrier,-1.0,0.6883917722684197,-0.6883917722684197,s_0394 + s_0794 + s_1360 --> pmet_r_0962 ; pmet_r_0962 + 1.2781159410952698e-06 prot_P00549 --> s_0434 + s_1399 ; pmet_r_0962 + 1.3859441801225086e-06 prot_P52489 --> s_0434 + s_1399
arm_r_0958,arm_r_0958 r_0958No1 r_0958No2,pyruvate carboxylase (arm),True,False,False,False,carrier,2.0,0.26247073657927594,0.5249414731585519,s_0434 + s_0445 + s_1399 --> pmet_r_0958 ; pmet_r_0958 + 4.942048158520347e-06 prot_P32327 --> s_0394 + s_0794 + s_1271 + s_1322 ; pmet_r_0958 + 4.803235950123343e-06 prot_P11154 --> s_0394 + s_0794 + s_1271 + s_1322
r_2034,r_2034,pyruvate transport,False,False,False,True,carrier,-1.0,0.3562884530586767,-0.3562884530586767,s_0794 + s_1399 --> s_0799 + s_1401
r_1667,r_1667,bicarbonate formation,False,False,False,False,carrier,1.0,0.3096832973248094,0.3096832973248094,s_0456 + s_0803 --> s_0445 + s_0794
arm_r_0510,arm_r_0510 r_0510No1 r_0510No2 r_0510No3 r_0510No4,glycogen (starch) synthase (arm),True,False,False,False,carrier,4.0,0.03916478977133022,0.15665915908532088,s_0803 + s_1543 --> pmet_r_0510 ; pmet_r_0510 + 1.7963529426748388e-06 prot_P23337 + 1.7965020456537116e-06 prot_P47011 --> s_0773 + s_0794 + s_1538 ; pmet_r_0510 + 1.4953007927664717e-06 prot_P23337 + 1.4953014696783983e-06 prot_P36143 --> s_0773 + s_0794 + s_1538 ; pmet_r_0510 + 1.7105484535805569
arm_r_0005,arm_r_0005 r_0005No1 r_0005No2,"1,3-beta-glucan synthase (arm)",True,False,False,False,carrier,2.0,0.06424989427096141,0.12849978854192282,s_1543 --> pmet_r_0005 ; pmet_r_0005 + 2.1260381648628817e-05 prot_P40989 --> s_0001 + s_0794 + s_1538 ; pmet_r_0005 + 2.1472031686759838e-05 prot_P38631 --> s_0001 + s_0794 + s_1538
r_1084No1,r_1084No1,UTP-glucose-1-phosphate uridylyltransferase (No1),True,False,False,False,carrier,-1.0,0.12664918613228426,-0.12664918613228426,1.1390719938672359e-05 prot_P32861 + s_0567 + s_0794 + s_1559 --> s_0633 + s_1543
arm_r_0250,arm_r_0250 r_0250No1 r_0250No2,carbamoyl-phosphate synthase (glutamine-hydrolysing) (arm),True,False,False,False,carrier,4.0,0.031122421972534328,0.12448968789013731,2.0 s_0434 + s_0445 + s_0803 + s_0999 --> pmet_r_0250 ; pmet_r_0250 + 1.1562169456680397e-07 prot_P03965 + 1.3530830310505718e-07 prot_P07258 --> 2.0 s_0394 + s_0455 + 2.0 s_0794 + s_0991 + s_1322 ; pmet_r_0250 + 6.911134228694532e-07 prot_P07259 --> 2.0 s_0394 + s_0455 + 2.0 s_0794 + s_0991 + s_132
r_0714_REVNo1,r_0714_REVNo1,"malate dehydrogenase, cytoplasmic (reversible) (No1)",True,False,False,False,redox,-1.0,0.1040923108614269,-0.1040923108614269,2.5292341203777913e-09 prot_P22133 + s_0794 + s_1203 + s_1271 --> s_0066 + s_1198
arm_r_0916,arm_r_0916 r_0916No1 r_0916No2 r_0916No3,phosphoribosylpyrophosphate synthetase (arm),True,False,False,False,carrier,3.0,0.03278172159800066,0.09834516479400199,s_0434 + s_1408 --> pmet_r_0916 ; pmet_r_0916 + 4.886797407571193e-06 prot_P38063 + 5.29893255845234e-06 prot_Q12265 --> s_0423 + s_0794 + s_1386 ; pmet_r_0916 + 4.88682590850015e-06 prot_P38620 + 5.29893255845234e-06 prot_Q12265 --> s_0423 + s_0794 + s_1386 ; pmet_r_0916 + 4.886665512922225e-06 pro
r_0476No1,r_0476No1,glutamine synthetase (No1),True,False,False,False,carrier,1.0,0.09353732459425353,0.09353732459425353,2.266221872682062e-06 prot_P32288 + s_0419 + s_0434 + s_0991 --> s_0394 + s_0794 + s_0999 + s_1322
r_0722No1,r_0722No1,mannose-1-phosphate guanylyltransferase (No1),True,False,False,False,carrier,-1.0,0.061066258642734204,-0.061066258642734204,1.5702828101054632e-06 prot_P41940 + s_0573 + s_0785 + s_0794 --> s_0633 + s_0743
