reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string
r_1237,r_1237,ornithine transport,False,False,False,True,carrier,-1.0,0.020062421972534335,-0.020062421972534335,s_0794 + s_1268 --> s_0799 + s_1266
r_0816No1,r_0816No1,ornithine carbamoyltransferase (No1),True,False,False,False,carrier,1.0,0.020062421972534335,0.020062421972534335,6.895880712213637e-08 prot_P05150 + s_0455 + s_1266 --> s_0794 + s_0979 + s_1322
r_0208No1,r_0208No1,argininosuccinate synthase (No1),True,False,False,False,carrier,1.0,0.02006242187779512,0.02006242187779512,1.4154301502781134e-09 prot_P22768 + s_0434 + s_0973 + s_0979 --> s_0015 + s_0423 + s_0633 + s_0794
arm_r_0307,arm_r_0307 r_0307No1 r_0307No2,CTP synthase (NH3) (arm),True,False,False,False,carrier,4.0,0.005007550075088843,0.02003020030035537,s_0419 + s_0434 + s_1559 --> pmet_r_0307 ; pmet_r_0307 + 2.118020557047833e-05 prot_P28274 --> s_0394 + s_0539 + 2.0 s_0794 + s_1322 ; pmet_r_0307 + 2.059577314115974e-05 prot_P38627 --> s_0394 + s_0539 + 2.0 s_0794 + s_1322
r_0855No1,r_0855No1,phopshoribosylaminoimidazole synthetase (No1),True,False,False,False,carrier,2.0,0.009898999999998173,0.019797999999996346,0.0003077707724310728 prot_P07244 + s_0302 + s_0434 --> s_0300 + s_0394 + 2.0 s_0794 + s_1322
arm_r_0959,arm_r_0959 r_0959No1 r_0959No2 r_0959No3,pyruvate decarboxylase (arm),True,False,False,False,carrier,-1.0,0.018284318008144073,-0.018284318008144073,s_0794 + s_1399 --> pmet_r_0959 ; pmet_r_0959 + 4.5550158958339185e-06 prot_P26263 --> s_0359 + s_0456 ; pmet_r_0959 + 4.555015894034981e-06 prot_P06169 --> s_0359 + s_0456 ; pmet_r_0959 + 4.5550158940266865e-06 prot_P16467 --> s_0359 + s_0456
r_2116No1,r_2116No1,acetaldehyde dehydrogenase (No1),True,False,False,False,redox,1.0,0.018284318008144073,0.018284318008144073,1.1352980836080476e-05 prot_P47771 + s_0359 + s_0803 + s_1198 --> s_0362 + s_0794 + s_1203
r_0938No1,r_0938No1,prephenate dehydratase (No1),True,False,False,False,carrier,-1.0,0.016716604244694136,-0.016716604244694136,1.6644496903776449e-07 prot_P32452 + s_0794 + s_1377 --> s_0456 + s_0803 + s_0951
arm_r_0080,arm_r_0080 r_0080No1 r_0080No2,"5,10-methylenetetrahydrofolate reductase (NADPH) (arm)",True,False,False,False,redox,-2.0,0.008238573729266988,-0.016477147458533976,s_0306 + 2.0 s_0794 + s_1212 --> pmet_r_0080 ; pmet_r_0080 + 2.1177260415806885e-06 prot_P53128 --> s_0322 + s_1207 ; pmet_r_0080 + 1.853267908480067e-06 prot_P46151 --> s_0322 + s_1207
r_0109No1,r_0109No1,"acetyl-CoA carboxylase, reaction (No1)",True,False,False,False,carrier,1.0,0.01609013877299916,0.01609013877299916,1.2723940844933274e-09 prot_P48445 + 8.005393483798908e-10 prot_Q00955 + s_0373 + s_0434 + s_0445 --> s_0394 + s_0794 + s_1101 + s_1322
