lever,sigma,glucose_cap,label,T_C,mu
sigma,0.5,,sigma=0.5,20.0,0.16413200702178996
sigma,0.5,,sigma=0.5,20.5,0.17530113435509587
sigma,0.5,,sigma=0.5,21.0,0.1868306394871206
sigma,0.5,,sigma=0.5,21.5,0.19860920841504043
sigma,0.5,,sigma=0.5,22.0,0.21055604076101297
sigma,0.5,,sigma=0.5,22.5,0.2226215892622554
sigma,0.5,,sigma=0.5,23.0,0.23476933443938064
sigma,0.5,,sigma=0.5,23.5,0.24692902133806066
sigma,0.5,,sigma=0.5,24.0,0.25904102216050356
sigma,0.5,,sigma=0.5,24.5,0.2710442824604805
sigma,0.5,,sigma=0.5,25.0,0.28287907844231547
sigma,0.5,,sigma=0.5,25.5,0.2945322637024052
sigma,0.5,,sigma=0.5,26.0,0.30589054454942605
sigma,0.5,,sigma=0.5,26.5,0.3170797306985503
sigma,0.5,,sigma=0.5,27.0,0.3279309292867471
sigma,0.5,,sigma=0.5,27.5,0.3382503527072965
sigma,0.5,,sigma=0.5,28.0,0.34793859192879917
sigma,0.5,,sigma=0.5,28.5,0.356876889662326
sigma,0.5,,sigma=0.5,29.0,0.3649245955800647
sigma,0.5,,sigma=0.5,29.5,0.37190757269854763
sigma,0.5,,sigma=0.5,30.0,0.3776020700959021
sigma,0.5,,sigma=0.5,30.5,0.3817930878726676
sigma,0.5,,sigma=0.5,31.0,0.38435556755943945
sigma,0.5,,sigma=0.5,31.5,0.38533682594312335
sigma,0.5,,sigma=0.5,32.0,0.3850439319578504
sigma,0.5,,sigma=0.5,32.5,0.3839133696198168
sigma,0.5,,sigma=0.5,33.0,0.3825711571050742
sigma,0.5,,sigma=0.5,33.5,0.3810806883389249
sigma,0.5,,sigma=0.5,34.0,0.3794573642228275
sigma,0.5,,sigma=0.5,34.5,0.37754959157266005
sigma,0.5,,sigma=0.5,35.0,0.3751874825025709
sigma,0.5,,sigma=0.5,35.5,0.3722223897011256
sigma,0.5,,sigma=0.5,36.0,0.36859822343176135
sigma,0.5,,sigma=0.5,36.5,0.36424997901905426
sigma,0.5,,sigma=0.5,37.0,0.3591020760967099
sigma,0.5,,sigma=0.5,37.5,0.35315404972285597
sigma,0.5,,sigma=0.5,38.0,0.3463956133602124
sigma,0.5,,sigma=0.5,38.5,0.3388325208059278
sigma,0.5,,sigma=0.5,39.0,0.3304600464233327
sigma,0.5,,sigma=0.5,39.5,0.32170620880010703
sigma,0.5,,sigma=0.5,40.0,0.31200654311764014
sigma,0.5,,sigma=0.5,40.5,0.30218203600557786
sigma,0.5,,sigma=0.5,41.0,0.29103866049153215
sigma,0.5,,sigma=0.5,41.5,0.2779497554494431
sigma,0.5,,sigma=0.5,42.0,0.26209524353141384
sigma,0.5,,sigma=0.5,42.5,0.2420092947514254
sigma,0.5,,sigma=0.5,43.0,0.215868576131301
sigma,0.5,,sigma=0.5,43.5,0.18225994802103235
sigma,0.5,,sigma=0.5,44.0,0.14182724373310107
sigma,0.5,,sigma=0.5,44.5,0.09902653323856511
sigma,0.5,,sigma=0.5,45.0,0.06071268841811607
sigma,0.5,,sigma=0.5,45.5,0.031996016852241925
sigma,0.5,,sigma=0.5,46.0,0.013976962775053175
sigma,0.5,,sigma=0.5,46.5,0.004814530581098622
sigma,0.5,,sigma=0.5,47.0,0.0012873907701177168
sigma,0.5,,sigma=0.5,47.5,0.0002798428324343997
sigma,0.5,,sigma=0.5,48.0,5.25344427666109e-05
sigma,0.5,,sigma=0.5,48.5,9.636689221094395e-06
sigma,0.5,,sigma=0.5,49.0,1.8371400198278864e-06
sigma,0.5,,sigma=0.5,49.5,1.6495911596874301e-07
sigma,0.5,,sigma=0.5,50.0,0.0
sigma,0.4,,sigma=0.4,20.0,0.1304274789193955
