lever,sigma,glucose_cap,label,mu_max,T_opt,T_opt_at_edge,CT_max_rel_1pct,CT_max_rel_10pct,CT_max_abs_0p01
sigma,0.5,,sigma=0.5,0.38533682594312335,31.567531601320034,False,46.6362523706425,45.38616950737008,46.21702549557077
sigma,0.4,,sigma=0.4,0.3043365206841142,31.11857861673572,False,46.59442751419959,45.348093384055424,46.02596297326528
sigma,0.3,,sigma=0.3,0.22431747380878833,30.915096260292046,False,46.50354923771013,45.26967688788717,45.81818304741223
sigma,0.2,,sigma=0.2,0.14527762622899032,30.413124902543863,False,46.388087779686,45.0367284343395,45.3387490066831
sigma,0.1,,sigma=0.1,0.06787427831982723,29.528736257432264,False,44.66394869661395,43.246754798211555,42.65014613480413
glucose_cap,0.5,10.0,glucose_cap=10.0,0.3362302045682114,31.04114145215904,False,46.70586492683129,45.47167144285022,46.21702550545814
glucose_cap,0.5,4.0,glucose_cap=4.0,0.286478315845281,31.096029871834954,False,46.569108778149186,45.359941761793436,45.98583710042719
glucose_cap,0.5,2.0,glucose_cap=2.0,0.19691723464409042,26.083605929695,False,45.91107824696811,45.2964373577947,45.5484308258106
glucose_cap,0.5,1.0,glucose_cap=1.0,0.09681578315757501,21.001199366122837,False,45.898129150178015,45.377210849505964,45.36927957405873
