temp_C,growth,mu_pred,mu_measured
22.0,0.018186010406771626,0.20762834657061574,0.3161
24.0,0.029291766058180266,0.3344219440525928,0.4344
26.0,0.04178012245052307,0.47700059275727114,0.4929
28.0,0.05346935841152052,0.6104557421259295,0.622
30.0,0.06286594423452825,0.7177358730728206,0.6739
32.0,0.06286594423452704,0.7177358730728067,0.7124
34.0,0.06286594423452706,0.717735873072807,0.6502
36.0,0.06286594423452704,0.7177358730728067,0.561
38.0,0.06286594423452704,0.7177358730728067,0.1953
40.0,0.06286594423452706,0.717735873072807,0.0
42.0,0.06286594423452706,0.717735873072807,0.0
44.0,0.05949954136416525,0.6793018984830016,0.0
