rxn_id,mw_kDa,kcat_s,source,group
R02558__cyto,91.113333,7.2445,dlkcat,Cyanoamino acid metabolism
R02017__cyto,81.05,13.7,default_13.7,Purine metabolism
R00602__cyto,54.68,7211.3392,dlkcat,
R04964__cyto,152.045,13.7,default_13.7,Fatty acid biosynthesis
R01736__cyto,28.49,86.7628,dlkcat,Pyruvate metabolism
R01626__cyto,262.47,1.4672,dlkcat,Fatty acid biosynthesis
R05733__cyto,40.4,3.1305,dlkcat,
R04969__cyto,40.94,13.7,default_13.7,Fatty acid biosynthesis
R01209__mito,62.94,1.0557,dlkcat,
R00316__cyto,71.985,21.296,dlkcat,Pyruvate metabolism
R00328__cyto,86.975,13.7,default_13.7,Purine metabolism
R03601__cyto,46.99,19.6672,dlkcat,
R08120__cyto,30.31,3.4791,dlkcat,Microbial metabolism in diverse environments
R00390__cyto,77.28,13.7,default_13.7,Fatty acid biosynthesis
R01600__cyto,53.883333,9.6714,dlkcat,Biosynthesis of antibiotics
R01710__cyto,31.865,1.4882,dlkcat,Microbial metabolism in diverse environments
R03217__cyto,66.69,10.7464,dlkcat,Biosynthesis of antibiotics
R07134__cyto,29.92,0.6836,dlkcat,Pentose and glucuronate interconversions
R12188__cyto,44.88,13.7,default_13.7,
R02670__cyto,54.68,57.0615,dlkcat,Non enzymatic
R04533__cyto,152.045,13.7,default_13.7,Fatty acid biosynthesis
R02024__cyto,81.05,13.7,default_13.7,Pyrimidine metabolism
R04859__cyto,46.99,19.6672,dlkcat,
R00988__cyto,28.39,0.1166,dlkcat,Tryptophan metabolism
R10065__cyto,62.22,64.538,dlkcat,
R11216__mito,38.81,13.7,default_13.7,
R04371__cyto,71.13,1.0611,dlkcat,2-Oxocarboxylic acid metabolism
R07091__cyto,32.685,37.6148,dlkcat,Metabolism of xenobiotics by cytochrome P450
R01431__cyto,32.45,2.5114,dlkcat,Pentose and glucuronate interconversions
R01321__cyto,32.89,121.4378,dlkcat,Glycerophospholipid metabolism
R07406__cyto,45.33,52.5762,dlkcat,Spontaneous
R09882__mito,70.08,4.3007,dlkcat,
R00227__mito,42.965,5.0214,dlkcat,Pyruvate metabolism
R10928__cyto,57.286,13.7,default_13.7,Inositol phosphate metabolism
R03648__cyto,58.805,3.9436,dlkcat,Aminoacyl-tRNA biosynthesis
R05616__cyto,43.28,0.6569,dlkcat,Ubiquinone and other terpenoid-quinone biosynthesis
R01799__mito,47.62,143.3832,dlkcat,Glycerophospholipid metabolism
R09376__cyto,45.33,94.5527,dlkcat,Riboflavin metabolism
R11101__cyto,45.613333,42.4392,dlkcat,Spontaneous
R00772__cyto,48.43,22.7094,dlkcat,
R02059__cyto,44.25,5.1976,dlkcat,Biosynthesis of antibiotics
R01698__mito,51.85,32.7193,dlkcat,
R04751__cyto,79.676667,18.5369,dlkcat,Fatty acid metabolism
R00937__mito,23.08,39.9863,dlkcat,One carbon pool by folate
R11312__cyto,53.52,0.6111,dlkcat,
R02404__mito,48.28,1.0448,dlkcat,C5-Branched dibasic acid metabolism
R05510__cyto,30.31,9.2402,dlkcat,Chlorocyclohexane and chlorobenzene degradation
R09477__cyto,35.73,2.5114,dlkcat,Pentose and glucuronate interconversions
R04430__mito,114.783333,13.7,default_13.7,Fatty acid biosynthesis
R05168__cyto,48.49,5.1976,dlkcat,Galactose metabolism
R04920__cyto,32.89,56.6937,dlkcat,Phosphonate and phosphinate metabolism
R02235__mito,23.08,82.5707,dlkcat,One carbon pool by folate
R05506__cyto,84.805,7.987,dlkcat,Degradation of aromatic compounds
R04144__cyto,83.99,15.0442,dlkcat,Biosynthesis of antibiotics
R03758__cyto,45.33,64.466,dlkcat,"Glycine, serine and threonine metabolism"
R00708__cyto,65.19,8.1925,dlkcat,Arginine and proline metabolism
R01279__pero,79.676667,16.1747,dlkcat,Fatty acid metabolism
R10170__cyto,85.6,7.2188,dlkcat,2-Oxocarboxylic acid metabolism
R05234__cyto,47.4375,60.5299,dlkcat,Microbial metabolism in diverse environments
R03158__cyto,52.57,0.2831,dlkcat,Propanoate metabolism
R00159__cyto,86.975,13.7,default_13.7,Pyrimidine metabolism
R00662__cyto,70.08,13.7,default_13.7,Pyrimidine metabolism
R12404__cyto,38.67,0.3494,dlkcat,Biosynthesis of antibiotics
R10115__cyto,45.01,13.7,default_13.7,Biotin metabolism
R02668__cyto,50.14,1.5581,dlkcat,Tryptophan metabolism
R10548__cyto,77.7,2.8142,dlkcat,
R12399__cyto,45.33,2.0505,dlkcat,Steroid biosynthesis
R03492__cyto,64.61,13.7,default_13.7,
R00332__cyto,20.52,0.5767,dlkcat,Purine metabolism
R12024__mito,49.903333,17.1158,dlkcat,
R01752__cyto,55.16,16.3327,dlkcat,Glycerolipid metabolism
R04582__cyto,75.24,0.6444,dlkcat,
R04967__mito,114.783333,13.7,default_13.7,Fatty acid biosynthesis
R02617__cyto,87.733636,85.1891,dlkcat,
R01086__cyto,52.03,6.1219,dlkcat,Biosynthesis of antibiotics
R10056__cyto,60.591111,56.459,dlkcat,
R02396__cyto,84.85,9.1454,dlkcat,
R00756__cyto,105.13,11.8962,dlkcat,Microbial metabolism in diverse environments
R04863__cyto,255.24,3.1278,dlkcat,Lysine biosynthesis
R10827__cyto,23.4,13.7,default_13.7,Fatty acid elongation
