descriptor,V_A,V_K,V_S,V_AK,V_AS,V_KS,V_AKS,V,S_A,S_E,S_AE,phi_A,phi_E,S_kin,S_stab,phi_kin,phi_stab,n_valid,phi_A3
Topt_C,17.45029947916667,2.217599826388886,0.4052300347222233,3.6300130208333337,2.4291015625,1.4375824652777789,10.972877604166666,38.54270399305556,0.45275234146288185,0.10534840334815311,0.44189925518896495,0.6737019690573643,0.3262980309426356,0.05753617667272235,0.010513793603978479,0.2181741955368543,0.15557283987514303,480.0,0.6262529645880026
rmax,0.013322450845635995,9.339216947268895e-11,9.013066352247942e-11,2.3751971939088092e-09,1.3087738152683617e-09,1.0929968520024952e-09,8.982178997848546e-09,0.013322464788305685,0.9999989534466848,9.581708079410189e-08,9.507362344949806e-07,0.9999994288148021,5.711851980415923e-07,7.010126951483301e-09,6.765314448539218e-09,3.619111729692962e-07,3.2164285897522625e-07,480.0,0.9999993164459682
CTmin_C,1.0376608811524022,5.43563516245183,0.0005534854462237679,0.12890784036915495,0.0020835013385149324,0.004426172726649851,0.016015881278693325,6.625282924763468,0.15662136891904102,0.8211898091610844,0.0221888219198747,0.16771577987897834,0.8322842201210218,0.8204381947425876,8.354140532700771e-05,0.8313065054937652,0.001380612673538088,480.0,0.16731288183269694
CTmax_C,0.03517956424316879,0.0009102751110902765,0.49879964214811046,1.3892770118511698e-05,0.004190506122587321,0.0001404456203044678,0.00018701706293225285,0.539421343078312,0.06521722711676518,0.926641797350866,0.008140975532368857,0.0692877148829496,0.9307122851170504,0.0016875029562152953,0.9246939309105087,0.001946128644610895,0.9288239397079171,480.0,0.06922993164747207
niche_width_C,1.4481673528625447,5.35386166156314,0.47413337241351416,0.1287188116194534,0.0061739309427449405,0.004426138228721674,0.015925517378214554,7.431406785008333,0.19487122623727035,0.7848340618321885,0.020294711930541123,0.2050185822025409,0.7949814177974591,0.7204371684192681,0.06380129444266218,0.7301097624241923,0.06522882232336877,480.0,0.20466141525243886
B80_C,16.67793243504601,3.25616912404336,0.49320609058781845,0.03999208784733136,0.007057692259452634,0.00016701735733178706,0.0005508618694223575,20.475075309010723,0.8145480386929929,0.18312715217894227,0.0023248091280649967,0.8157104432570254,0.18428955674297476,0.15903087411895264,0.024088120954103013,0.1600205248489089,0.024273515897674357,480.0,0.8157059592534168
Ea_eV,0.036955951536962614,0.005914681662826752,3.090028538202342e-06,0.0009257097488943149,2.8974760861401733e-05,1.7705811424377113e-05,0.00017122149772522783,0.044017335047232896,0.8395772142340501,0.13484409032078506,0.0255786954451647,0.8523665619566324,0.14763343804336743,0.13437164372809007,7.02002639388909e-05,0.14638467477976577,0.0018970741224238908,480.0,0.8517182510978103
skewness,0.02046794770952489,0.0013249809522500814,0.0002381291446866123,5.199994268728432e-05,1.4485409110112775e-05,1.6883285263951787e-06,8.703922360738535e-06,0.022107935409146115,0.9258190478092877,0.07077994378505953,0.003401008405652823,0.9275195520121141,0.07248044798788594,0.059932369428849205,0.010771206821424746,0.06127783396499551,0.01126823090207624,480.0,0.9274539351329282
