descriptor,IQR_allocation,range_allocation,IQR_kinetic,range_kinetic,IQR_stability,range_stability,IQR_envelope,range_envelope
Topt_C,7.0,25.0,2.0,12.0,7.0,12.0,3.0,14.0
rmax,0.12543714547312002,0.4383254004582996,2.864375403532904e-14,0.0003574936395801531,1.2656542480726785e-14,0.0003574650740878482,8.01581023779363e-14,0.0003574936395327466
CTmin_C,1.8133725207840161,4.748148191529285,3.481244020239716,10.646015484659259,0.0011225695607208763,0.014439327706741167,3.424240322264417,12.45744671260934
CTmax_C,0.09328221129226222,0.7881346245589143,0.02075478872328773,0.08220263854599352,1.2886382544546109,2.219374966014712,1.3601848210376417,2.2134980723820306
niche_width_C,1.9242426298795152,5.531828598303427,3.4928491448054757,10.61309225923889,1.2875781258212555,2.2170201791898947,2.389536579409814,12.887762089334043
B80_C,5.677365595548746,17.73422940607259,2.7672061474629324,7.043270667464405,1.0922516506920417,2.4615882905866897,1.790996750679831,9.135215013483847
Ea_eV,0.2181535828858474,0.9862353296709852,0.11454857726281598,0.2515791709379642,1.992551580121127e-05,0.0004904553829425673,0.10070894878106573,0.30852731764079877
skewness,0.20898327498903424,0.5311434222765103,0.06346369638898564,0.15594402424444054,0.029385643397834837,0.06100319918133168,0.067110994714419,0.18216582324708447
