panel,species,group,strain,config,Topt_cut_C,model_E_growth,model_E_resp,model_diff,measured_E_growth,measured_E_resp,measured_diff,measured_diff_lo,measured_diff_hi,sign_agrees,within_measured_CI
"(a) rising limb, organism's window, both sides",C. auris (clade I),Clade1,cauris_iRV973,before (B3),35.49579831932773,1.3059423076597831,1.3060444762741983,0.00010216861441514347,0.7299733022386915,0.38257905242027246,-0.34739424981841904,,,False,
"(b) full window, both sides (K5's)",C. auris (clade I),Clade1,cauris_iRV973,before (B3),35.49579831932773,0.6623968604635506,0.6653956037122271,0.0029987432486764387,0.18896040901352307,0.5298571275370837,0.3408967185235606,,,True,
(c) manuscript convention vs Bayesian,C. auris (clade I),Clade1,cauris_iRV973,before (B3),35.49579831932773,1.3059423076597831,0.6653956037122271,-0.6405467039475561,0.9010557487773184,0.5184327086421238,-0.3834802866828615,-0.5647627396643043,-0.2121845984635103,True,False
"(a) rising limb, organism's window, both sides",C. auris (clade I),Clade1,cauris_iRV973,repaired (B5),35.49579831932773,1.2001399145649811,0.2835127756976199,-0.9166271388673612,0.7299733022386915,0.38257905242027246,-0.34739424981841904,,,True,
"(b) full window, both sides (K5's)",C. auris (clade I),Clade1,cauris_iRV973,repaired (B5),35.49579831932773,0.5602785411979659,0.2312589497632771,-0.32901959143468884,0.18896040901352307,0.5298571275370837,0.3408967185235606,,,False,
(c) manuscript convention vs Bayesian,C. auris (clade I),Clade1,cauris_iRV973,repaired (B5),35.49579831932773,1.2001399145649811,0.2312589497632771,-0.968880964801704,0.9010557487773184,0.5184327086421238,-0.3834802866828615,-0.5647627396643043,-0.2121845984635103,True,False
"(a) rising limb, organism's window, both sides",C. auris (clade I),Clade1,cauris_iRV973,repaired + complex III,35.49579831932773,1.2499462526835352,0.6990978082619292,-0.550848444421606,0.7299733022386915,0.38257905242027246,-0.34739424981841904,,,True,
"(b) full window, both sides (K5's)",C. auris (clade I),Clade1,cauris_iRV973,repaired + complex III,35.49579831932773,0.6033824496082756,0.3706165580246189,-0.23276589158365668,0.18896040901352307,0.5298571275370837,0.3408967185235606,,,False,
(c) manuscript convention vs Bayesian,C. auris (clade I),Clade1,cauris_iRV973,repaired + complex III,35.49579831932773,1.2499462526835352,0.3706165580246189,-0.8793296946589163,0.9010557487773184,0.5184327086421238,-0.3834802866828615,-0.5647627396643043,-0.2121845984635103,True,False
"(a) rising limb, organism's window, both sides",C. haemulonii,Hae,chaemulonii_draft,before (B3),31.983193277310924,1.8260925062338198,1.82609250623382,2.220446049250313e-16,0.6227680741052589,0.19639711709601915,-0.42637095700923977,,,False,
"(b) full window, both sides (K5's)",C. haemulonii,Hae,chaemulonii_draft,before (B3),31.983193277310924,0.8658059529403328,0.8684696951070418,0.002663742166708949,0.17241869890954867,0.3283257326500121,0.1559070337404634,,,True,
(c) manuscript convention vs Bayesian,C. haemulonii,Hae,chaemulonii_draft,before (B3),31.983193277310924,1.8260925062338198,0.8684696951070418,-0.957622811126778,0.7968397242072742,0.4331457299378385,-0.3629447313524185,-0.5687072359302922,-0.1541669243637256,True,False
"(a) rising limb, organism's window, both sides",C. haemulonii,Hae,chaemulonii_draft,repaired (B5),31.983193277310924,1.7590054163450848,0.5846720016609416,-1.1743334146841433,0.6227680741052589,0.19639711709601915,-0.42637095700923977,,,True,
"(b) full window, both sides (K5's)",C. haemulonii,Hae,chaemulonii_draft,repaired (B5),31.983193277310924,0.7310040698390393,0.3709333129185442,-0.3600707569204951,0.17241869890954867,0.3283257326500121,0.1559070337404634,,,False,
(c) manuscript convention vs Bayesian,C. haemulonii,Hae,chaemulonii_draft,repaired (B5),31.983193277310924,1.7590054163450848,0.3709333129185442,-1.3880721034265406,0.7968397242072742,0.4331457299378385,-0.3629447313524185,-0.5687072359302922,-0.1541669243637256,True,False
"(a) rising limb, organism's window, both sides",C. haemulonii,Hae,chaemulonii_draft,repaired + complex III,31.983193277310924,1.7956174740461461,0.7245575549549419,-1.0710599190912042,0.6227680741052589,0.19639711709601915,-0.42637095700923977,,,True,
"(b) full window, both sides (K5's)",C. haemulonii,Hae,chaemulonii_draft,repaired + complex III,31.983193277310924,0.8094515945156197,0.4114844807933385,-0.39796711372228116,0.17241869890954867,0.3283257326500121,0.1559070337404634,,,False,
(c) manuscript convention vs Bayesian,C. haemulonii,Hae,chaemulonii_draft,repaired + complex III,31.983193277310924,1.7956174740461461,0.4114844807933385,-1.3841329932528077,0.7968397242072742,0.4331457299378385,-0.3629447313524185,-0.5687072359302922,-0.1541669243637256,True,False
"(a) rising limb, organism's window, both sides",C. duobushaemulonii,Duo,cduobushaemulonii_draft,before (B3),33.46218487394958,1.0256215785294711,1.025621578529472,8.881784197001252e-16,0.6357743513324059,0.2979955050583234,-0.3377788462740825,,,False,
"(b) full window, both sides (K5's)",C. duobushaemulonii,Duo,cduobushaemulonii_draft,before (B3),33.46218487394958,0.371640685125088,0.3716406851250874,-6.106226635438361e-16,-0.00257805603914612,0.47921838753515006,0.4817964435742962,,,False,
(c) manuscript convention vs Bayesian,C. duobushaemulonii,Duo,cduobushaemulonii_draft,before (B3),33.46218487394958,1.0256215785294711,0.3716406851250874,-0.6539808934043837,0.6221481875736383,0.4746319505844048,-0.1493777701040215,-0.3580919929830098,0.0574235843314122,True,False
"(a) rising limb, organism's window, both sides",C. duobushaemulonii,Duo,cduobushaemulonii_draft,repaired (B5),33.46218487394958,0.9342087291928274,0.13121900113497176,-0.8029897280578556,0.6357743513324059,0.2979955050583234,-0.3377788462740825,,,True,
"(b) full window, both sides (K5's)",C. duobushaemulonii,Duo,cduobushaemulonii_draft,repaired (B5),33.46218487394958,0.2563389210364814,0.1770465801384854,-0.07929234089799603,-0.00257805603914612,0.47921838753515006,0.4817964435742962,,,False,
(c) manuscript convention vs Bayesian,C. duobushaemulonii,Duo,cduobushaemulonii_draft,repaired (B5),33.46218487394958,0.9342087291928274,0.1770465801384854,-0.757162149054342,0.6221481875736383,0.4746319505844048,-0.1493777701040215,-0.3580919929830098,0.0574235843314122,True,False
"(a) rising limb, organism's window, both sides",C. duobushaemulonii,Duo,cduobushaemulonii_draft,repaired + complex III,33.46218487394958,0.9720081588221726,0.6024882474551775,-0.36951991136699514,0.6357743513324059,0.2979955050583234,-0.3377788462740825,,,True,
"(b) full window, both sides (K5's)",C. duobushaemulonii,Duo,cduobushaemulonii_draft,repaired + complex III,33.46218487394958,0.31642901296037645,0.2545427161266178,-0.06188629683375868,-0.00257805603914612,0.47921838753515006,0.4817964435742962,,,False,
(c) manuscript convention vs Bayesian,C. duobushaemulonii,Duo,cduobushaemulonii_draft,repaired + complex III,33.46218487394958,0.9720081588221726,0.2545427161266178,-0.7174654426955549,0.6221481875736383,0.4746319505844048,-0.1493777701040215,-0.3580919929830098,0.0574235843314122,True,False
