group,model,n_isolates,Topt_measured_C,Topt_bayes_C,OLS_full_E_growth,OLS_full_r2_growth,n_full,OLS_full_E_resp,OLS_rise_E_growth,OLS_rise_r2_growth,n_rise,OLS_rise_E_resp,OLS_riseBayesCut_E_growth,OLS_riseBayesCut_E_resp,published_OLS_E_growth_mean,published_OLS_E_resp_mean,bayes_E_growth,bayes_E_growth_lo,bayes_E_growth_hi,bayes_E_resp,bayes_E_resp_minus_growth,bayes_diff_lo,bayes_diff_hi
Clade1,cauris_iRV973 (C. auris clade I),3,34.0,35.49579831932773,0.19372069800846803,0.178056244892984,176,0.5176111952900183,0.731748894431347,0.8779443800028554,104,0.3583769090290094,0.731748894431347,0.3583769090290094,0.19327520031247766,0.5182544181918124,0.9010557487773184,0.7475745018185542,1.0653946184822014,0.5184327086421238,-0.3834802866828615,-0.5647627396643043,-0.2121845984635103
Clade2,,3,34.0,34.75630252100841,0.32100817535264375,0.23413869906120566,159,0.4158306035502782,0.931534900453348,0.7600865068669596,104,0.20609525967924186,0.931534900453348,0.20609525967924186,0.3216367051791034,0.42067448263813706,1.147996579412466,0.9785264720674746,1.3299175520914863,0.41448603716534,-0.7334607730050082,-0.9321124181981956,-0.5433150284175841
Clade3,,3,36.0,35.680672268907564,0.22483945612196082,0.2319623214933425,176,0.40356857807322444,0.6604323978728291,0.8977656954216515,119,0.18370047701421202,0.7411619986257905,0.13773206441616695,0.22770101766712955,0.4011991148514878,0.9421766362374844,0.7843848176769941,1.111096462623571,0.4015315379035091,-0.540740514600227,-0.724850422692057,-0.3623613222287267
Clade4,,3,36.0,36.42016806722689,0.3503388576511596,0.5056438084487674,175,0.29065483656960533,0.7233599519121857,0.8960553845416832,120,0.07636908660901547,0.7233599519121857,0.07636908660901547,0.3535750519696815,0.301541096121384,1.0111947743193532,0.8495851871491897,1.1831970995735062,0.3009507968864769,-0.7103864790170935,-0.9007928948912586,-0.5287166431678232
para,cparapsilosis_iDC1003,3,32.0,33.27731092436975,0.2623373004505948,0.273577933745382,137,0.33939791773677086,0.6827630595850884,0.7405868638491818,89,0.2284909845019765,0.6827630595850884,0.2284909845019765,0.26443504875586005,0.3443470300907909,0.8277012725138999,0.6544645507060719,1.0166443650714423,0.3644124136401635,-0.4641029749458416,-0.675613372382897,-0.2696779207485192
Hae,chaemulonii_draft,3,42.0,31.983193277310924,0.1573784779279854,0.06494009832685865,144,0.3280992392943399,0.20474584118682754,0.09305908334309831,139,0.2737170550255871,0.6009284811004706,0.12567037238149373,-0.0323540905177521,0.4505589946800294,0.7968397242072742,0.6056812120790607,0.9848561808139012,0.4331457299378385,-0.3629447313524185,-0.5687072359302922,-0.1541669243637256
Duo,cduobushaemulonii_draft,2,32.0,33.46218487394958,0.007625535908251767,0.00014778739400467256,88,0.4657965002980408,0.62746455563803,0.8274339540261967,60,0.23025272521681836,0.62746455563803,0.23025272521681836,0.0064715119265998,0.46948906639462956,0.6221481875736383,0.4539350238461768,0.8007009786521456,0.4746319505844048,-0.1493777701040215,-0.3580919929830098,0.0574235843314122
