strain,species,config,T_C,mu,qO2
chaemulonii_draft,C. haemulonii,repaired + complex III,22.0,0.006512250427458071,1.0227781897419745
chaemulonii_draft,C. haemulonii,repaired + complex III,24.0,0.011729896541062006,1.1247575061313682
chaemulonii_draft,C. haemulonii,repaired + complex III,26.0,0.0195038767320578,1.3687248313955687
chaemulonii_draft,C. haemulonii,repaired + complex III,28.0,0.029788339523122844,1.7352026273202223
chaemulonii_draft,C. haemulonii,repaired + complex III,30.0,0.04187478659519884,2.109204012615807
chaemulonii_draft,C. haemulonii,repaired + complex III,32.0,0.05386603232671579,2.37827199836164
chaemulonii_draft,C. haemulonii,repaired + complex III,34.0,0.06397401191074781,2.608553472097242
chaemulonii_draft,C. haemulonii,repaired + complex III,36.0,0.07109865805610341,2.788479720614784
chaemulonii_draft,C. haemulonii,repaired + complex III,38.0,0.0742277575946686,2.897471345239446
chaemulonii_draft,C. haemulonii,repaired + complex III,40.0,0.07357884350365827,2.9442845271966847
chaemulonii_draft,C. haemulonii,repaired + complex III,42.0,0.06983844262690175,2.9398398796096976
chaemulonii_draft,C. haemulonii,repaired + complex III,44.0,0.0638273576810067,2.8968311556751956
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),22.0,0.018186010406773902,0.07096509244195454
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),24.0,0.02929176605817995,0.1143017539092894
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),26.0,0.041780122450523226,0.1630335728188733
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),28.0,0.05346935841152359,0.20864707968452603
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),30.0,0.06286594423452783,0.24531425223381065
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),32.0,0.06930298708833195,0.27043275436569475
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),34.0,0.07275991507140771,0.2839223108102885
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),36.0,0.07379667744647866,0.2879679445772118
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),38.0,0.07280076604618332,0.2840817186813173
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),40.0,0.06978492627821026,0.27231336800200545
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),42.0,0.06520918549581348,0.2544580022373264
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),44.0,0.059499541364165236,0.23217794110516599
cduobushaemulonii_draft,C. duobushaemulonii,repaired (B5),22.0,0.01400111560688756,3.182421643002703
cduobushaemulonii_draft,C. duobushaemulonii,repaired (B5),24.0,0.022493995520535964,1.8899672927095899
cduobushaemulonii_draft,C. duobushaemulonii,repaired (B5),26.0,0.03137407603809462,2.1016437115166524
cduobushaemulonii_draft,C. duobushaemulonii,repaired (B5),28.0,0.03882062103662694,2.4970884420003543
cduobushaemulonii_draft,C. duobushaemulonii,repaired (B5),30.0,0.04443773423865013,2.823660771432104
cduobushaemulonii_draft,C. duobushaemulonii,repaired (B5),32.0,0.04786153817739421,3.078805423509089
cduobushaemulonii_draft,C. duobushaemulonii,repaired (B5),34.0,0.04918715337755903,3.2683401372659926
cduobushaemulonii_draft,C. duobushaemulonii,repaired (B5),36.0,0.04878442503846301,3.399128731618281
cduobushaemulonii_draft,C. duobushaemulonii,repaired (B5),38.0,0.046750978285885134,3.483702943411334
cduobushaemulonii_draft,C. duobushaemulonii,repaired (B5),40.0,0.04320496920915897,3.522995156451854
