species,config,window,model_mean,measured_mean,fold,model_44_over_30,measured_44_over_30,model_Tcut_over_30,measured_Tcut_over_30,T_cut
C. auris (clade I),before (B3),"organism growing (<=40 C, mu>0)",0.10363328254273001,0.8481664661351426,0.12218507413404105,1.0061203799756995,4.132581520720645,1.0061203799756995,1.5730462127189713,40
C. auris (clade I),repaired (B5),"organism growing (<=40 C, mu>0)",2.9888108105382587,0.8481664661351426,3.523849303023537,1.2002309726908724,4.132581520720645,1.0247394044455347,1.5730462127189713,40
C. auris (clade I),repaired + complex III,"organism growing (<=40 C, mu>0)",1.3353599647018697,0.8481664661351426,1.5744078763060885,0.9014711556280591,4.132581520720645,0.9680428828829877,1.5730462127189713,40
C. haemulonii,before (B3),"organism growing (<=40 C, mu>0)",0.10356387125749647,0.8161736118633272,0.12688951192756623,1.0059729062912248,4.097176292283279,1.0059729062912266,1.7324535362758036,40
C. haemulonii,repaired (B5),"organism growing (<=40 C, mu>0)",3.626224159485646,0.8161736118633272,4.442956874343149,1.0898682193611764,4.097176292283279,0.8841892811294104,1.7324535362758036,40
C. haemulonii,repaired + complex III,"organism growing (<=40 C, mu>0)",1.6931652265897548,0.8161736118633272,2.074516012254124,0.9010529952808417,4.097176292283279,0.7944395141912005,1.7324535362758036,40
C. duobushaemulonii,before (B3),"organism growing (<=40 C, mu>0)",0.1040581426486985,0.8265625250386264,0.12589264513756623,0.999999999999998,,1.000000000000026,7.184435903548229,38
C. duobushaemulonii,repaired (B5),"organism growing (<=40 C, mu>0)",2.3144831942111783,0.8265625250386264,2.800130811765292,1.6743063833807055,,1.1727077611018777,7.184435903548229,38
C. duobushaemulonii,repaired + complex III,"organism growing (<=40 C, mu>0)",1.3468948719549132,0.8265625250386264,1.629513595347153,1.1846020535861108,,1.0469352136361634,7.184435903548229,38
C. parapsilosis,before (B3),"organism growing (<=40 C, mu>0)",2.5524758634721847,0.5973755234495465,4.272816282684142,0.6216420424551082,,0.5709397813538831,2.6886649192874637,40
C. parapsilosis,repaired (B5),"organism growing (<=40 C, mu>0)",2.5524758634721385,0.5973755234495465,4.272816282684064,0.6216420424551103,,0.5709397813538818,2.6886649192874637,40
