temperature_c,doublings_d
0,0.004940711
6.232876712,0.014822134
12.46575342,0.375494071
18.63013699,1.714426877
24.8630137,2.168972332
31.16438356,1.679841897
37.53424658,1.590909091
40.68493151,1.437747036
43.90410959,0.009881423
