temperature_c,DCIP_Fv_perc
24.90078875,99.78494624
29.80124817,99.78494624
34.86834955,90.96774194
39.94302557,77.20430108
44.93421594,67.95698925
50.0082333,54.62365591
55.01325561,36.34408602
60.08793163,22.58064516
65.14844638,18.06451613
70.06273774,9.032258065
