rxn_id,enzyme_id,flux,C_i,Ea_i_eV,Ea_kcat_eV,Ea_fN_eV,contrib,base,backbone
rxn01268_LSQBKT_c0_RSQBKT_,,0.00793349028017628,1.0908982917001708e-05,0.4281849160751616,0.42818493525916873,-1.9184007200917562e-08,4.671062144059754e-06,rxn01268,
rxn14345_LSQBKT_c0_RSQBKT_,,0.0007671909511502113,4.079736792839128e-06,1.119981273935073,1.1200280364289819,-4.676249390869174e-05,4.569419589230681e-06,rxn14345,
rxn01106_LSQBKT_c0_RSQBKT_,,0.19458599157855072,3.124311070967778e-05,0.1435248911266141,0.1435249479167644,-5.679015035956999e-08,4.484165837364207e-06,rxn01106,
rxn05289_LSQBKT_c0_RSQBKT_,,0.007939972055422786,2.409669950242943e-05,-0.18365885124598846,-0.18365667601402896,-2.1752319595273605e-06,-4.425519733525095e-06,rxn05289,
rxn00300_LSQBKT_c0_RSQBKT_,,0.0015343736895108524,1.551614668970913e-05,-0.27903156665808226,-0.2790319996790006,4.3302091833242527e-07,-4.329501438142245e-06,rxn00300,
DKFPs2,,0.04147315775295478,0.00011815690799110712,0.03504911048376329,0.035050270962542526,-1.1604787792382692e-06,4.141431641184511e-06,DKFPs2,
rxn00178_LSQBKT_c0_RSQBKT_,,0.00613752760920169,3.570860573898216e-05,0.10967161370014444,0.10967162281165194,-9.11150746588793e-09,3.916220739735641e-06,rxn00178,
rxn00799_LSQBKT_c0_RSQBKT_,,0.048886764313338334,3.076771610821538e-05,0.12438932376547666,0.12439016423000121,-8.404645245850849e-07,3.827201259682965e-06,rxn00799,
rxn00527_LSQBKT_c0_RSQBKT_,,0.015333054392049293,8.784536476014182e-06,0.4180518038667046,0.41805180393018715,-6.348268138221047e-11,3.672391320488258e-06,rxn00527,
MfnD,,0.00038359547557510564,4.108612916553511e-06,0.8847386461004927,0.8847381442757638,5.018247290715887e-07,3.6350465673389872e-06,MfnD,
rxn02159_LSQBKT_c0_RSQBKT_,,0.009819201797536583,2.5542508952369758e-05,-0.141961966375885,-0.14196197567118787,9.295302928074069e-09,-3.626065034477414e-06,rxn02159,
rxn01454_LSQBKT_c0_RSQBKT_,,0.00613752760920169,6.402695362783817e-06,0.5477747123772115,0.547774838159816,-1.2578260462101486e-07,3.5072354161355094e-06,rxn01454,
rxn02789_LSQBKT_c0_RSQBKT_,,0.04650329840069287,0.00010826038688849238,0.028945123058841466,0.029338589509340034,-0.00039346645049856887,3.1762070510438158e-06,rxn02789,
rxn01486_LSQBKT_c0_RSQBKT_,,0.0015343819023004226,5.752643850165384e-06,0.5519555888175731,0.5519555511054703,3.771210262052305e-08,3.1752037066315293e-06,rxn01486,
rxn05177_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,6.413986741726774e-06,0.48538261132476024,0.4853830354083672,-4.2408360693989526e-07,3.113240353768364e-06,rxn05177,
rxn01213_LSQBKT_c0_RSQBKT_,,0.0015343819023004226,5.667719815694028e-06,0.5372536099379891,0.5372538305565866,-2.2061859757638611e-07,3.0450041815030875e-06,rxn01213,
Hdr_formate,,0.01056391028342136,6.288326037662273e-06,0.44521775221246046,0.4453478361274565,-0.00013008391499611904,2.8004923937368356e-06,Hdr_formate,
rxn00248_LSQBKT_c0_RSQBKT_,,0.048886764313338334,1.1406594835339234e-05,0.23471000783887752,0.23471025595713563,-2.481182581299097e-07,2.677244793401813e-06,rxn00248,
rxn10612_LSQBKT_c0_RSQBKT_,,0.0003835954755751057,2.7089779197631003e-06,0.9435997038955003,0.9435999335323553,-2.2963685507675282e-07,2.5561913850290797e-06,rxn10612,
rxn01362_LSQBKT_c0_RSQBKT_,,0.02602465342471477,1.7647764205541705e-05,-0.13301187994050243,-0.13297593289105372,-3.594704944866956e-05,-2.346727908673254e-06,rxn01362,
rxn00100_LSQBKT_c0_RSQBKT_,,0.0007671827383606857,5.384258316976087e-06,0.3836302773720957,0.38416181773769154,-0.0005315403655958647,2.0684264622188174e-06,rxn00100,
rxn00127_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,1.6519662193736906e-06,1.1935151427727997,1.1935154567026258,-3.1392982634848323e-07,1.9716472167731006e-06,rxn00127,
rxn05555_LSQBKT_c0_RSQBKT_,,0.0007671827383606411,5.0573051635360855e-06,0.38317829626770006,0.3831785090642452,-2.1279654526039478e-07,1.937850652446666e-06,rxn05555,
rxn11752_LSQBKT_c0_RSQBKT_,,0.00038359547557510564,2.4403267628869685e-06,0.7351678282777422,0.7351678470979706,-1.8820228225761064e-08,1.7940497724871723e-06,rxn11752,
rxn09177_LSQBKT_c0_RSQBKT_,,0.0007671827383606857,2.048263336718037e-06,0.873705167772736,0.8737662161396178,-6.104836688179583e-05,1.7897033053816271e-06,rxn09177,
rxn01974_LSQBKT_c0_RSQBKT_,,0.03536015928214015,9.27612293977198e-05,-0.01892032867078804,-0.018700587916959128,-0.00021974075382889412,-1.7346895256372728e-06,rxn01974,
rxn00917_LSQBKT_c0_RSQBKT_,,0.020006291220432956,4.265996933483507e-06,0.38860484185071115,0.3886101895546337,-5.347703922529269e-06,1.6578098769605117e-06,rxn00917,
rxn00364_LSQBKT_c0_RSQBKT_,,0.0011507782139357913,2.625524564425774e-06,0.6198391717044336,0.6198417202198325,-2.548515399067892e-06,1.6274096624930983e-06,rxn00364,
ADTHOR,,0.04147315775295478,2.983049498528345e-05,0.05351001158726518,0.053510713542210236,-7.019549450751788e-07,1.5962510719798417e-06,ADTHOR,
rxn00438_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,1.900826251954868e-06,0.7904375547748442,0.7904373929460101,1.6182883439186742e-07,1.5024841470385417e-06,rxn00438,
F1Pp,,0.00038359547557510564,3.947299864748288e-06,0.3748456201643178,0.37485223039489507,-6.610230577210319e-06,1.4796541583383636e-06,F1Pp,
rxn03057_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,1.8874280693914613e-06,0.7636728686883325,0.7636736965304933,-8.278421607888856e-07,1.4413791706875897e-06,rxn03057,
rxn00611_LSQBKT_c0_RSQBKT_,,0.0007671909511502113,2.450928271446884e-06,0.544409495254883,0.5444095997153364,-1.0446045343607113e-07,1.3343088791893995e-06,rxn00611,
F1PPc,,0.00038359547557510564,1.4082540689130951e-06,0.9101270406811023,0.9101294185813619,-2.377900259523716e-06,1.2816934569547124e-06,F1PPc,
rxn01790_LSQBKT_c0_RSQBKT_,,0.0007671827383606857,6.79060611075144e-06,0.17074277770746787,0.17076778288320313,-2.5005175735223173e-05,1.1596167499661543e-06,rxn01790,
rxn02508_LSQBKT_c0_RSQBKT_,,0.005847389834488075,1.2112808223108118e-05,-0.09320566778798606,-0.09319666150064694,-9.006287339118089e-06,-1.12887328779126e-06,rxn02508,
rxn00250_LSQBKT_c0_RSQBKT_,,0.4326316945496527,3.6990926433055904e-06,0.2996389024004066,0.29963890323336595,-8.329593050986917e-10,1.1083920625986997e-06,rxn00250,
rxn05596_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,1.3333188664255147e-06,0.8036030538583191,0.8036030270921201,2.6766199060403766e-08,1.0714590771385777e-06,rxn05596,
rxn02569_LSQBKT_c0_RSQBKT_,,0.00038359547557510564,2.1820552253970504e-06,0.47920919807884027,0.4792112008592802,-2.002780440009456e-06,1.0456653049037879e-06,rxn02569,
rxn04934_LSQBKT_c0_RSQBKT_,,0.0003835954755748716,1.498025248292123e-06,0.6876153816053154,0.6876154071024367,-2.5497121203367193e-08,1.030065240954117e-06,rxn04934,
MetS,,0.01851723980699311,2.5337563713812017e-06,0.40604268936630833,0.4060453472412879,-2.6578749795709497e-06,1.0288199856423057e-06,MetS,
rxn02341_LSQBKT_c0_RSQBKT_,,0.0007671827383606857,2.365942264326293e-06,0.4187633778387225,0.4187569506672953,6.4271714273027955e-06,9.907547680641544e-07,rxn02341,
rxn02835_LSQBKT_c0_RSQBKT_,,0.009819201797536583,7.81856976050932e-05,-0.011120457834754785,-0.010102212181463618,-0.0010182456532911656,-7.898485067624033e-07,rxn02835,
rxn10468_LSQBKT_c0_RSQBKT_,,0.0003835954755751057,6.905105154331181e-07,1.1067200491580231,1.1067201015097423,-5.235171919366409e-08,7.64201867733685e-07,rxn10468,
Mot,,0.00038359547557510564,1.0424685559229374e-06,0.7237560671488962,0.7237583762317404,-2.3090828444477273e-06,7.544953493074325e-07,Mot,
rxn01512_LSQBKT_c0_RSQBKT_,,0.002655907142316092,1.0192449106938284e-06,0.737640271568759,0.7377706486935156,-0.00013037712475658415,7.519689789401501e-07,rxn01512,
rxn00139_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,1.3089056061232895e-06,0.5544496383408757,0.5544809924631272,-3.1354122251466564e-05,7.257632795237927e-07,rxn00139,
rxn00830_LSQBKT_c0_RSQBKT_,,0.0015343819023004226,4.957705057595518e-06,0.13665687877365357,0.13665698190445671,-1.0313080310974557e-07,6.775050103434643e-07,rxn00830,
rxn03114_LSQBKT_c0_RSQBKT_,,0.0007671909511502113,2.1014519679951604e-06,0.3206654169129198,0.3207111783229823,-4.57614100625419e-05,6.73959136844878e-07,rxn03114,
rxn10434_LSQBKT_c0_RSQBKT_,,0.0003835954755751057,1.802743165857379e-06,-0.3584274295137825,-0.3584272293468324,-2.001669500929914e-07,-6.461522381621975e-07,rxn10434,
MfnC,,0.00038359547557510564,1.5032051714491956e-06,0.42760505717916375,0.42760710261851786,-2.0454393542258713e-06,6.427812080045629e-07,MfnC,
ASDGGR,,0.00038359547557510564,1.331783872071668e-06,0.47509236246991976,0.47509268244970154,-3.1997978182400454e-07,6.327207722257789e-07,ASDGGR,
rxn10435_LSQBKT_c0_RSQBKT_,,0.0003835954755751057,1.5307390688334976e-06,0.41264507957162266,0.41264507095604336,8.615579337952429e-09,6.316519316739864e-07,rxn10435,
rxn02504_LSQBKT_c0_RSQBKT_,,0.0003835954755751059,2.2629884965930103e-06,0.26682772300938973,0.2677487832080752,-0.0009210601986854699,6.0591241637665e-07,rxn02504,
HcyS,,0.016215675166332044,9.67867889500873e-05,-0.0062084384893354065,-0.006208433377373778,-5.111961644205021e-09,-6.008943310065536e-07,HcyS,
rxn03080_LSQBKT_c0_RSQBKT_,,0.0015343654767212822,2.006376798036058e-06,0.2963508576775474,0.2965142477216246,-0.0001633900440772362,5.949193069157837e-07,rxn03080,
rxn02475_LSQBKT_c0_RSQBKT_,,0.0015343736895108524,5.17462938054436e-06,0.11059711560573465,0.11059712929429369,-1.3688559028393781e-08,5.722991546501155e-07,rxn02475,
rxn00105_LSQBKT_c0_RSQBKT_,,0.0007671827383606307,1.3945129606618423e-06,0.3912047249845639,0.3913619600753906,-0.000157235090826725,5.457593256351546e-07,rxn00105,
rxn00529_LSQBKT_c0_RSQBKT_,,0.00038359547557510564,1.1323092796722278e-06,0.47913701536635156,0.4791380574377636,-1.0420714119965058e-06,5.425324686809046e-07,rxn00529,
rxn11998_LSQBKT_c0_RSQBKT_,,0.0007671909511502113,1.8334823659316157e-06,0.2729981138645587,0.2729986941997485,-5.803351897360748e-07,5.005382917375965e-07,rxn11998,
rxn10610_LSQBKT_c0_RSQBKT_,,0.0003835954755751057,9.801481848370486e-07,0.4720717669750563,0.4720718001551366,-3.318008024710667e-08,4.627003180348151e-07,rxn10610,
rxn10525_LSQBKT_c0_RSQBKT_,,0.0007671909511502113,1.9618311197788785e-06,-0.21279002879944928,-0.2127832196587553,-6.809140693949587e-06,-4.1744474209329095e-07,rxn10525,
rxn05104_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,7.892108078166871e-07,0.5286298063363888,0.5286749717757502,-4.516543936116097e-05,4.1723600154760404e-07,rxn05104,
rxn04036_LSQBKT_c0_RSQBKT_,,0.0003835954755748716,9.82673997729222e-07,0.41075974368028223,0.4107641002560654,-4.356575783108685e-06,4.0364720052227474e-07,rxn04036,
rxn00838_LSQBKT_c0_RSQBKT_,,0.014776657154933912,0.00022280532284701948,0.001632823504633961,0.0016406807156045344,-7.857210970575285e-06,3.6555239652914725e-07,rxn00838,
rxn12510_LSQBKT_c0_RSQBKT_,,0.0007671827383606857,2.061708070932866e-06,0.17528417061860221,0.17528448316766654,-3.1254906431071844e-07,3.613854336560742e-07,rxn12510,
rxn10472_LSQBKT_c0_RSQBKT_,,0.0003835954755751057,2.811196053720266e-07,1.2440569394825587,1.2440569616278079,-2.214524864715711e-08,3.4972880211313183e-07,rxn10472,
rxn01219_LSQBKT_c0_RSQBKT_,,0.002655907142316092,6.583629552636694e-06,-0.053138680583139794,-0.052940985586400834,-0.0001976949967389691,-3.485438372523418e-07,rxn01219,
rxn09249_LSQBKT_c0_RSQBKT_,,0.00038359547557510564,1.9149031027509977e-06,0.1777188515428422,0.17771885243404467,-8.912024136716912e-10,3.4031438194329884e-07,rxn09249,
rxn10526_LSQBKT_c0_RSQBKT_,,0.0007671909511502113,1.7354156445215096e-06,0.18044905614153908,0.18044990701610447,-8.508745653141036e-07,3.131555916881994e-07,rxn10526,
rxn10433_LSQBKT_c0_RSQBKT_,,0.0003835954755751057,1.3935205100956694e-06,0.21751457286613357,0.21751455915183343,1.3714300185179555e-08,3.031109994224976e-07,rxn10433,
rxn05513_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,1.441443731042824e-06,0.19905364006400308,0.19905363627104944,3.792953786312572e-09,2.8692461614418274e-07,rxn05513,
CDPDGGR,,0.00038359547557510564,4.326230707007994e-07,0.65176029507862,0.6517602521464267,4.293219323575061e-08,2.819665216443144e-07,CDPDGGR,
rxn02287_LSQBKT_c0_RSQBKT_,,0.0007671868447554262,1.6758732512833774e-06,0.16697838611462987,0.1669880820188311,-9.695904201220235e-06,2.798508599384738e-07,rxn02287,
rxn02474_LSQBKT_c0_RSQBKT_,,0.0015343736895108524,5.197988639515927e-06,0.050684362149817246,0.05068442383471177,-6.168489447118279e-08,2.6345705929324204e-07,rxn02474,
rxn01466_LSQBKT_c0_RSQBKT_,,0.0015343819023004226,4.72573785659236e-06,-0.05004707903200679,-0.05004674618377009,-3.328482366748593e-07,-2.3650780303991157e-07,rxn01466,
rxn00048_LSQBKT_c0_RSQBKT_,,0.0007671827383606411,1.1184387083140734e-06,0.19761893360148045,0.19789029418437856,-0.0002713605828981711,2.2132816501546835e-07,rxn00048,
rxn04026_LSQBKT_c0_RSQBKT_,,0.0003835954755748716,2.6420600152121665e-07,0.752288870109067,0.7523111665551656,-2.229644609866046e-05,1.9876512521530235e-07,rxn04026,
rxn00646_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,3.773114931604482e-07,0.5000360103136448,0.5000361038153641,-9.350171929728205e-08,1.8866936896470792e-07,rxn00646,
rxn11571_LSQBKT_c0_RSQBKT_,,0.00038359547557510564,1.229587021089884e-06,0.12925381683954743,0.12925444519241283,-6.283528654335044e-07,1.5892958822676459e-07,rxn11571,
rxn10446_LSQBKT_c0_RSQBKT_,,0.0003835954755751059,2.8875077884293887e-07,0.5450639009893178,0.5450642599418446,-3.5895252686650986e-07,1.573877295776577e-07,rxn10446,
rxn03538_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,2.2710249236723712e-07,0.6804818168751235,0.6804942456271598,-1.2428752036224652e-05,1.5454193922349083e-07,rxn03538,
rxn01673_LSQBKT_c0_RSQBKT_,,0.002655907142316092,5.853270534927901e-07,0.24299428093860442,0.24308507794787068,-9.079700926634337e-05,1.4228427242329237e-07,rxn01673,
rxn05234_LSQBKT_c0_RSQBKT_,,0.0013140788853953005,1.9216543800659736e-06,0.06929137534476192,0.06929137534478834,-2.6427809923396703e-14,1.331540749321079e-07,rxn05234,
rxn10469_LSQBKT_c0_RSQBKT_,,0.0003835954755751057,3.6145036963475263e-07,0.32862114810699694,0.3286211561337973,-8.026800393096639e-09,1.1878023835436078e-07,rxn10469,
rxn10527_LSQBKT_c0_RSQBKT_,,0.00038359547557510564,1.0270982175875076e-06,0.11133105603029127,0.11133326496414886,-2.208933857559026e-06,1.1435019800287501e-07,rxn10527,
rxn00060_LSQBKT_c0_RSQBKT_,,0.0007671868447554262,5.58911616987956e-07,-0.171820934002547,-0.1718210967808889,1.6277834192886292e-07,-9.60328070344507e-08,rxn00060,
rxn10490_LSQBKT_c0_RSQBKT_,,0.0003835954755751059,8.31416324675871e-07,0.11031270432514509,0.11031956860392547,-6.864278780378723e-06,9.172149026850333e-08,rxn10490,
rxn07307_LSQBKT_c0_RSQBKT_,,0.0003835954755748716,4.233711559109565e-06,-0.01804334572421157,-0.018024647758223634,-1.869796598794737e-05,-7.631115956286972e-08,rxn07307,
rxn05108_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,6.17374529277015e-07,0.11921869959964995,0.11921871730832292,-1.7708672936272932e-08,7.360259947923539e-08,rxn05108,
rxn01019_LSQBKT_c0_RSQBKT_,,0.030560886493456493,2.6975246480986925e-07,0.26923523020836665,0.2693261798963098,-9.09496879430301e-05,7.265140086485583e-08,rxn01019,
rxn00077_LSQBKT_c0_RSQBKT_,,0.00038359136918031535,2.015194866533676e-06,0.03553582097298173,0.03553562321625553,1.9775672618717395e-07,7.161120548447306e-08,rxn00077,
rxn05616_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,1.2264461113353775e-06,-0.0481480326387177,-0.04814508753413482,-2.9451045828747795e-06,-5.9047355386141016e-08,rxn05616,
Dsr_DASH_LP,,0.0003835954755748716,1.3241461371826801e-06,-0.03460690305251487,-0.03460250036064036,-4.402691874531852e-06,-4.581876718940423e-08,Dsr_DASH_LP,
rxn10611_LSQBKT_c0_RSQBKT_,,0.0003835954755751057,1.6434447136504104e-07,0.2786480861276456,0.2786484336675155,-3.4753986987755456e-07,4.5794329527784544e-08,rxn10611,
ADTHs,,0.04147315775295478,0.00010321784504885301,0.00041659638579557526,0.00041945122068155283,-2.8548348859546646e-06,4.329485110186077e-08,ADTHs,
H4MPTdUMPm,,0.002655907142316092,9.920205767954826e-08,-0.3765997122994766,-0.37659560610119186,-4.106198284658854e-06,-3.735905903831487e-08,H4MPTdUMPm,
rxn02774_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,7.511426036721502e-07,0.021853165012849163,0.021867276631523436,-1.4111618674272376e-05,1.6425443104221682e-08,rxn02774,
rxn01053_LSQBKT_c0_RSQBKT_,,0.0007671909511502113,9.36239419324636e-08,0.1377770181082974,0.13777702114189166,-3.033594288330937e-09,1.2899227827016275e-08,rxn01053,
rxn00409_LSQBKT_c0_RSQBKT_,,0.0011507782139357913,1.5707164457978706e-07,-0.06605285591022697,-0.065674115234245,-0.00037874067598197344,-1.031554128616531e-08,rxn00409,
rxn01917_LSQBKT_c0_RSQBKT_,,0.05416598801934606,1.952045780573286e-06,-0.0043082972087350475,-0.004302700504027745,-5.596704707319077e-06,-8.399068363957911e-09,rxn01917,
rxn02503_LSQBKT_c0_RSQBKT_,,0.0003835954755751059,8.688642250120893e-07,0.008259349278011611,0.008263361843332841,-4.0125653212279e-06,7.179739484001859e-09,rxn02503,
rxn10474_LSQBKT_c0_RSQBKT_,,0.00038359136918032056,1.3238965479445142e-09,1.5061528949769594,1.5061530468232904,-1.5184633109008167e-07,1.9939908193654664e-09,rxn10474,
