temp_C,growth,mu_pred,mu_measured
22.0,0.018186010406773534,0.20762834657069748,0.3161
24.0,0.029291766058179954,0.3344219440526858,0.4344
26.0,0.04178012245052276,0.47700059275740536,0.4929
28.0,0.05346935841152425,0.6104557421261483,0.622
30.0,0.06286594423452976,0.7177358730730451,0.6739
32.0,0.06286594423452975,0.717735873073045,0.7124
34.0,0.06286594423452975,0.717735873073045,0.6502
36.0,0.06286594423452975,0.717735873073045,0.561
38.0,0.06286594423452975,0.717735873073045,0.1953
40.0,0.06286594423452975,0.717735873073045,0.0
42.0,0.06286594423452975,0.717735873073045,0.0
44.0,0.05949954136416537,0.6793018984831991,0.0
