temp_C,growth
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0006996389972541632
16.0,0.002987692122986593
17.0,0.005517137410642355
18.0,0.008289334710013665
19.0,0.011301364837794646
20.0,0.014545569860870152
21.0,0.018009289718414565
22.0,0.021674737956513007
23.0,0.02551903063011577
24.0,0.02951437470207223
25.0,0.033628414664610605
26.0,0.036508766467081254
27.0,0.03953102918216442
28.0,0.042644974605235426
29.0,0.045798962586608274
30.0,0.048940788043896906
31.0,0.05201855889579707
32.0,0.054981573910686615
33.0,0.05778117166321321
34.0,0.060371525101780475
35.0,0.06271036017562588
36.0,0.06475958101035978
37.0,0.06648578764690163
38.0,0.06786067463799882
39.0,0.06886129882718535
40.0,0.0694702008478871
41.0,0.06967535454466138
42.0,0.0694698966288014
43.0,0.06885154604106838
44.0,0.06782154097631236
45.0,0.06638276807840542
46.0,0.06453647182090474
47.0,0.062276405567064354
48.0,0.059578353727908366
49.0,0.05638145010564595
50.0,0.05255587347161386
