line,end,step_sd,T_C,growth,o2_fva_min,o2_fva_max,width
axis:dCp_scale,from,0.9,25.0,0.12670933454781644,1.4896309579227602,1.5020325741709202,0.012401616248159941
axis:dCp_scale,to,0.9500000000000001,25.0,0.11431487223114696,0.3603847998424221,0.37207312245216506,0.011688322609742952
random1,from,0.9500000000000001,20.0,0.011546412868671037,1.157562622316456,1.1590217711342907,0.001459148817834821
random1,to,1.0,20.0,0.008058239688858231,0.5425498758343515,0.5439217633040967,0.0013718874697451477
PC2,from,-1.0,20.0,0.07194823543301825,0.6697372310619396,0.676833905042095,0.0070966739801553436
PC2,to,-0.9500000000000001,20.0,0.07391140265556626,1.2046643230399883,1.2245231340003948,0.019858810960406537
