line,step_from,step_to,jump_logL,T_C,growth_from,growth_to,d_growth,o2_from,o2_to,d_o2,n_vars,n_basis_changes,n_vars_added,n_vars_removed,changed_examples
axis:dCp_scale,0.9,0.9500000000000001,71.77513243065864,15.0,,,,,,,0,-1,0,0,
axis:dCp_scale,0.9,0.9500000000000001,71.77513243065864,20.0,,,,,,,0,-1,0,0,
axis:dCp_scale,0.9,0.9500000000000001,71.77513243065864,25.0,0.1267093345478165,0.11431487223114703,-0.012394462316669463,1.4962772852709998,0.3610812600866068,-1.1351960251843929,0,1108,0,0,23PDE4ppNo1;2AGPEAT120No1;2AGPEAT140No1_reverse_63ac5;2AGPEAT160No1;2AGPEAT161No1;2AGPEAT180No1_reverse_873b0;2AGPGAT120No1;2AGPGAT180No1;2AGPGAT180No1_reverse_7d066;2DDARAANo1;2DDARAANo1_reverse_5a851;2DGULRGxNo1
axis:dCp_scale,0.9,0.9500000000000001,71.77513243065864,27.0,0.28058922674303544,0.25784858715420955,-0.022740639588825884,7.15971240938675,7.343978459840397,0.18426605045364663,0,1144,0,0,23CAMPtex;23CAMPtex_REV;23CCMPtex;23CCMPtex_REV;23CGMPtex;23CGMPtex_REV;23CUMPtex;23CUMPtex_REV;23DAPPAt2pp;23DAPPAt2pp_reverse_59b55;23PDE9ppNo1;2AGPE180tipp
axis:dCp_scale,0.9,0.9500000000000001,71.77513243065864,30.0,0.7275345611803872,0.6918475050397861,-0.03568705614060108,16.32650388683732,15.343973321640417,-0.9825305651969014,0,1095,0,0,12PPDStex;12PPDStex_REV;12PPDStpp;12PPDStpp_REV;14GLUCANabcppNo1;14GLUCANtexi;14GLUCANtexi_reverse_2d4f8;23CAMPtex;23CAMPtex_REV;23CCMPtex;23CCMPtex_REV;23CGMPtex
axis:dCp_scale,0.9,0.9500000000000001,71.77513243065864,35.0,1.4130915555654597,1.4036780390364436,-0.00941351652901612,27.5249659333667,27.055476123959064,-0.4694898094076372,0,1005,0,0,23CCMPtex;23CCMPtex_REV;23CGMPtex;23CGMPtex_REV;26DAHtex;26DAHtex_REV;2AGPE160tipp;2AGPE160tipp_reverse_2f53f;2AGPEAT120No1;2AGPEAT140No1;2AGPEAT141No1;2AGPEAT160No1
axis:dCp_scale,0.9,0.9500000000000001,71.77513243065864,37.0,1.531412132264594,1.5266444622418973,-0.004767670022696624,31.30622414251057,31.0740484727102,-0.23217566980036963,0,934,0,0,12PPDStex;12PPDStex_REV;12PPDStpp;12PPDStpp_REV;23CAMPtex;23CAMPtex_REV;23CGMPtex;23CGMPtex_REV;2AGPE141tipp;2AGPE141tipp_reverse_ae862;2AGPE160tipp;2AGPE160tipp_reverse_2f53f
axis:dCp_scale,0.9,0.9500000000000001,71.77513243065864,40.0,1.6340951019964438,1.632484343955012,-0.0016107580414317368,36.95449924925506,36.87987238393385,-0.07462686532120699,0,919,0,0,14GLUCANabcppNo1;23DAPPAtex;23DAPPAtex_REV;2AGPE180tipp;2AGPE180tipp_reverse_242d6;2AGPEAT120No1_reverse_9df56;2AGPEAT140No1;2AGPEAT140No1_reverse_63ac5;2AGPEAT141No1;2AGPEAT161No1;2AGPEAT180No1;2AGPGAT120No1_reverse_3556e
axis:dCp_scale,0.9,0.9500000000000001,71.77513243065864,43.0,1.6077821064738698,1.607132081202615,-0.0006500252712546839,36.943621010482026,36.910885707764315,-0.03273530271771108,0,970,0,0,23CAMPtex;23CAMPtex_REV;23CGMPtex;23CGMPtex_REV;23DAPPAtex;23DAPPAtex_REV;2AGPE160tipp;2AGPE160tipp_reverse_2f53f;2AGPEAT140No1;2AGPEAT141No1;2AGPEAT160No1;2AGPEAT160No1_reverse_5fc36
axis:dCp_scale,0.9,0.9500000000000001,71.77513243065864,45.0,1.3940371199323367,1.392993557983972,-0.0010435619483646352,44.77367946333387,44.73183121227704,-0.041848251056833874,0,1136,0,0,12PPDRtpp;12PPDRtpp_REV;12PPDStex;12PPDStex_REV;12PPDStpp;12PPDStpp_REV;23CAMPtex;23CAMPtex_REV;23CGMPtex;23CGMPtex_REV;26DAHtex;26DAHtex_REV
