strain,role,growth_scale,thermal_limit_C,peak_mu,peak_T_C,peak_mu_model,pool_binds,mu_pool_free_model,pool_binding_ratio,mu_all_caps_free_model,all_caps_ratio,fit_r2,descr_Topt_C,descr_rmax,descr_CTmax_C,descr_CTmin_C,descr_Ea_eV,median_enzyme_Tm_C,dTm,mu_22C,mu_24C,mu_26C,mu_28C,mu_30C,mu_32C,mu_34C,mu_36C,mu_38C,mu_40C,mu_42C,mu_44C,model_mu_22C,model_mu_24C,model_mu_26C,model_mu_28C,model_mu_30C,model_mu_32C,model_mu_34C,model_mu_36C,model_mu_38C,model_mu_40C,model_mu_42C,model_mu_44C
cauris_iRV973,calibrate_on,1.9237855931470094,44.62060546875,0.7988,38.0,0.4152229868263486,True,2.0449914850918147,4.925044012428582,2.0449914850918147,4.925044012428582,0.6736972940256297,38.0,0.7987999999999931,44.77230020301062,19.26530627493197,1.3109097161816576,53.68015200000002,-9.165624999999999,0.09779595442344807,0.17203482097036055,0.2764877720946981,0.40342659108807344,0.5345529049043132,0.6504320291656605,0.7367013515728422,0.7846964229589174,0.7988,0.7802023086342144,0.7004736526110165,0.26015128417900796,0.050835163113717545,0.0894251529812835,0.14372067920646384,0.20970454947015757,0.27786511491120436,0.33810006244077145,0.38294358487616864,0.40789182835872995,0.4152229868263486,0.40555574977455083,0.36411212096933954,0.1352288348066073
chaemulonii_draft,predict,1.9237855931470094,44.23974609375,0.6822803090520799,38.0,0.3546550673227452,True,2.044991485088931,5.766142016597822,2.044991485088931,5.766142016597822,-1.4323128462937937,39.0,0.6873763870229258,44.420361563927855,20.559168491316274,1.3264780951663422,53.53632600000003,-9.165624999999999,0.05400532584853636,0.09651209134096753,0.16165403871014897,0.25122010256686134,0.359261450840128,0.4713029604935067,0.5695985037094526,0.643710014302484,0.6822803090520799,0.6822025144838132,0.6248839705814527,0.10921249164390866,0.028072424515973308,0.05016780023967691,0.08402913468423916,0.13058633117004734,0.18674713654156908,0.244987259584645,0.29608211317233096,0.33460590233939536,0.3546550673227452,0.3546146290490915,0.3248199658046307,0.05676957558729519
cduobushaemulonii_draft,predict,1.9237855931470094,44.879150390625,0.5681232386944026,36.0,0.29531525795712127,True,2.0449914850918103,6.924774220059815,2.0449914850918103,6.924774220059815,-0.12138398856075594,36.5,0.5681811392292698,45.06899214987572,17.165234293285557,1.2664186157930224,53.52176400000002,-9.165624999999999,0.13868823026583785,0.22269808869813462,0.31798582589054614,0.40817236607142915,0.4807693110484149,0.5309207375229339,0.5586277757921742,0.5681232386944026,0.5612907054538939,0.5350630907975588,0.47585944687876813,0.26908765026738846,0.07209131348102353,0.1157603474583858,0.16529171807050055,0.21217144339028116,0.24990794855779758,0.2759770836283431,0.2903794361399429,0.29531525795712127,0.2917636494697473,0.27813031384764664,0.24735575969270943,0.13987403337770274
cparapsilosis_iDC1003,predict,1.9237855931470094,44.49365234375,0.772836856674067,38.0,0.4017271256355694,True,2.8367217903016635,7.061315030230192,2.8367217903016635,7.061315030230192,-0.2847393465139365,37.5,0.7748138377497569,44.62047474773052,17.333947902139467,1.176024763761932,54.206860000000006,-9.165624999999999,0.16803238573232057,0.2657909831158645,0.37963373309130705,0.49304657392984547,0.59229448758629,0.680347795327454,0.7390495538241343,0.7692716840219235,0.772836856674067,0.7325273948787047,0.5941485157050077,0.18027796968800172,0.08734465333917286,0.13816039794802312,0.1973368209241479,0.2562897734998104,0.3078796772863808,0.3536505303662829,0.3841642002397814,0.39987391877881595,0.4017271256355694,0.3807739269324736,0.30884341676198673,0.09371001130801455
