medium,c_max,Topt_C,CTmax_C,CTmin_C,niche_width_C,Ea_eV,rmax,o2_at_Topt,co2_at_Topt,acetate_at_Topt,RQ_at_Topt
glucose_minimal,inf,38.0,40.97884049242691,15.894949937569125,25.08389055485779,0.9748273100869873,1.1949310684875596,48.13622737030675,0.9234065233157007,-0.0,0.019183192654713778
glucose_minimal,230.0,38.0,40.980650761461675,15.870525947073823,25.110124814387852,0.9741931476147051,1.186913482880629,29.562707082888245,6.441285415359186,5.524074639267541,0.21788550680758154
glucose_minimal,180.0,38.0,40.98438114443608,15.820195948294028,25.16418519614205,0.9692654186708318,1.170391814405064,27.40186876139035,18.45244188976999,17.547998558470056,0.673400856359467
glucose_minimal,150.0,38.0,40.986619374220716,15.78999794902628,25.196621425194436,0.9640572006971247,1.1604788133197672,26.10536576849194,25.65913577441762,24.762352909992128,0.982906579511983
glucose_minimal,120.0,38.0,40.99461365750575,15.682139782521137,25.312473874984615,0.992943169250147,1.1250725563640116,24.356366653678688,26.75712776094051,23.53134416182506,1.0985681132739566
glucose_minimal,100.0,38.0,41.01944033584737,15.518771039027946,25.500669296819424,0.9774608226182836,1.071444019016466,23.986281345969317,26.272606005577053,14.875429034031738,1.0953180122683723
glucose_minimal,80.0,38.0,41.0805833197521,15.205125142029539,25.875458177722564,0.9656250567349134,0.977804050010754,26.716162869234626,28.80209489310073,5.5328083329907605,1.078077530597337
glucose_minimal,60.0,37.5,41.179093192047965,14.662851182990241,26.516242009057724,0.9890185246834682,0.8269370036311777,24.295700422385032,26.059790454099534,-0.0,1.0726091448711288
glucose_minimal,50.0,36.5,41.25961427307333,14.166254000747509,27.093360272325825,1.090430592410784,0.7036196356210747,19.621846800029683,21.122709172272874,-0.0,1.076489353297821
glucose_minimal,40.0,35.5,41.35152166991927,13.526513295397036,27.825008374522234,1.1953318844047052,0.5628322023877103,15.700219259914926,16.90077369541587,-0.0,1.0764673674695835
NLDM,inf,39.0,46.07946112837528,14.429645471228605,31.649815657146675,0.949051344520582,1.9110213262074156,36.582140967274256,38.20784480003154,24.98749644594266,1.0444398219943334
NLDM,230.0,39.0,46.07946112833877,14.429645471365708,31.64981565697306,0.949051344525413,1.9110213263275238,36.58214096902919,38.20784480455602,24.987496450922894,1.0444398220679092
NLDM,180.0,39.0,46.08291723295598,14.409685338988236,31.673231893967742,0.9485401964358517,1.900091397887035,35.332342436768634,43.087604790035094,29.459813262252656,1.2194947127308473
NLDM,150.0,39.0,46.10660704684337,14.27286893047145,31.833738116371922,0.964285139037674,1.8251723779981224,34.81497719959479,38.58436366442762,18.25106381922691,1.108269106230427
NLDM,120.0,39.5,46.15204792335889,14.010433034846947,32.141614888511945,0.9521712708744904,1.6814656377247545,38.9435431952417,43.17916340081231,3.9028583030528825,1.1087630928787222
NLDM,100.0,39.5,46.2018564649864,13.688255367633179,32.51360109735322,0.9806311745306135,1.5239461595823103,36.70197895652413,37.45224634310522,-0.0,1.020442150748052
NLDM,80.0,39.0,46.28547213061561,13.099728200055036,33.18574393056058,1.0749959699717777,1.259511675371329,29.09378295828959,28.305505739978976,-0.0,0.972905647249767
NLDM,60.0,32.5,46.38194784643101,12.28286646603956,34.09908138039145,1.2300803706089187,0.9544072914248907,22.453950049225362,20.83011967360388,-0.0,0.9276817498898149
NLDM,50.0,30.5,46.4311311835573,11.787589030326123,34.643542153231174,1.3068936681486043,0.7987607014149998,19.113140106989807,17.218019639033606,-0.0,0.900847246588061
NLDM,40.0,29.5,46.48151029229286,11.19540661348743,35.28610367880543,1.3736312293232538,0.6394833073139635,15.348146080843524,13.754931627963876,-0.0,0.896194990294744
