config,quantity,blanket (his medium),recipe (canonical),abs_change,rel_change,parsa,blanket_vs_parsa_rel,recipe_vs_parsa_rel
configA,temp_C,39.0,39.0,0.0,0.0,39.0,0.0,0.0
configA,growth,2.095421869557443,1.8874892335630309,-0.20793263599441203,0.09923187259581662,2.0961734730232173,0.0003585597639924355,0.09955485180299056
configA,o2_uptake,89.90887550475102,35.3949396212072,-54.51393588354382,0.606324298657958,89.9381663088539,0.00032567713246770387,0.6064525098314932
configA,co2_release,183.08194471693,38.29493564598168,-144.78700907094833,0.7908317190687977,183.13789259861952,0.00030549593476069677,0.7908956191283031
configA,ac_release,-0.0,25.142219723616407,25.142219723616407,,-0.0,,
configA,glc__D_uptake,2.440290591692946,4.375,1.9347094083070542,0.7928192711528073,2.439897710609146,0.00016102358803467243,0.793107957344546
configA,RQ,2.0363055781657007,1.0819325037931955,-0.9543730743725052,0.4686787113907541,2.0362644705220174,2.0187772403021726e-05,0.4686679851975068
configB,temp_C,34.5,32.5,-2.0,0.057971014492753624,34.5,0.0,0.057971014492753624
configB,growth,0.96575499830329,0.9544072914248908,-0.011347706878399255,0.01175008868536611,0.965754998303288,2.0692633720107333e-15,0.011750088685364065
configB,o2_uptake,22.693653915313114,22.45395004922536,-0.23970386608775485,0.010562594590640541,22.693653915313067,2.0351626933572796e-15,0.010562594590638527
configB,co2_release,20.36439783304411,20.83011967360388,0.4657218405597696,0.022869413786646333,20.364397833044077,1.5701138512095627e-15,0.022869413786647936
configB,ac_release,-0.0,-0.0,0.0,,-0.0,,
configB,glc__D_uptake,0.0,1.0276819795200058,1.0276819795200058,,0.0,,
configB,RQ,0.8973609057862083,0.9276817498898148,0.03032084410360647,0.03378890690255929,0.8973609057862088,4.948836159304051e-16,0.03378890690255878
configC,temp_C,38.5,39.0,0.5,0.012987012987012988,38.5,0.0,0.012987012987012988
configC,growth,2.264885569278664,1.9110213263275304,-0.3538642429511334,0.15623934725489663,2.2657676470456143,0.0003893063651520691,0.15656782864767516
configC,o2_uptake,31.390686664233915,36.58214096902926,5.1914543047953465,0.165381992446518,31.40398988452969,0.0004236156088665818,0.1648883184442256
configC,co2_release,231.49887123594996,38.207844804556224,-193.29102643139373,0.8349545092787353,231.58613131613885,0.00037679320299955564,0.8350166972978248
configC,ac_release,31.60259695485194,24.987496450923047,-6.615100503928893,0.20932142106483684,31.621120587957897,0.0005857993885583965,0.20978460009292327
configC,glc__D_uptake,0.6873859756193667,4.375,3.6876140243806335,5.36469197099624,0.6862828941489403,0.0016073276484536339,5.374922116375113
configC,RQ,7.374762894235007,1.0444398220679127,-6.3303230721670944,0.8583764878889365,7.374417459936305,4.6842248974759764e-05,0.8583698539251216
