grid,crit_frac,species,CTmax_uncorrected_C,observed_limit_C,required_offset_C
0.25 C,0.01,C. auris,53.39170156359665,44.0,10.184447151526442
0.25 C,0.01,C. haemulonii,52.06840779422505,38.0,15.741582583794507
0.25 C,0.01,C. duobushaemulonii,51.9250860514864,38.0,15.912790401339505
0.25 C,0.01,C. parapsilosis,53.68851460903877,38.0,16.339569271163167
0.25 C,0.02,C. auris,53.27275556491992,44.0,10.017195534173318
0.25 C,0.02,C. haemulonii,51.98383416232052,38.0,15.644013220404455
0.25 C,0.02,C. duobushaemulonii,51.85017210297274,38.0,15.851948534604938
0.25 C,0.02,C. parapsilosis,53.50977497193529,38.0,16.150746497399812
0.25 C,0.05,C. auris,53.02110163264943,44.0,9.778205225400177
0.25 C,0.05,C. haemulonii,51.82503364905151,38.0,15.472510221213712
0.25 C,0.05,C. duobushaemulonii,51.647778705706976,38.0,15.738388376922005
0.25 C,0.05,C. parapsilosis,53.238040810975725,38.0,15.880748411545847
0.25 C,0.1,C. auris,52.684521375956905,44.0,9.565440487041995
0.25 C,0.1,C. haemulonii,51.5770898462746,38.0,15.3024288550982
0.25 C,0.1,C. duobushaemulonii,51.349276039154866,38.0,15.611055721897854
0.25 C,0.1,C. parapsilosis,52.95727607197096,38.0,15.658104694510536
0.5 C,0.01,C. auris,53.42555134517579,44.0,10.224525606776158
0.5 C,0.01,C. haemulonii,52.136815588450055,38.0,15.777754531335527
0.5 C,0.01,C. duobushaemulonii,51.92864204168142,38.0,15.961958872648866
0.5 C,0.01,C. parapsilosis,53.695279325045455,38.0,16.352959630739957
0.5 C,0.02,C. auris,53.280495518295076,44.0,10.029952395002889
0.5 C,0.02,C. haemulonii,51.98460896206136,38.0,15.660790941204723
0.5 C,0.02,C. duobushaemulonii,51.85728408336284,38.0,15.91385340820726
0.5 C,0.02,C. parapsilosis,53.54709037509695,38.0,16.185988176218117
0.5 C,0.05,C. auris,53.02380840709262,44.0,9.807328273324721
0.5 C,0.05,C. haemulonii,51.83262389580173,38.0,15.506161110454462
0.5 C,0.05,C. duobushaemulonii,51.647049657127255,38.0,15.764854417256894
0.5 C,0.05,C. parapsilosis,53.25087216483654,38.0,15.909477318659306
0.5 C,0.1,C. auris,52.68473651439829,44.0,9.580434077937062
0.5 C,0.1,C. haemulonii,51.57577377107822,38.0,15.309419650246006
0.5 C,0.1,C. duobushaemulonii,51.34866067325798,38.0,15.617324023575327
0.5 C,0.1,C. parapsilosis,52.95796676961798,38.0,15.665096469805812
1.0 C,0.01,C. auris,53.51788397681311,44.0,10.344456386845977
1.0 C,0.01,C. haemulonii,52.27393012271696,38.0,15.849682626006965
1.0 C,0.01,C. duobushaemulonii,51.93503764634362,38.0,16.138464841074835
1.0 C,0.01,C. parapsilosis,53.848943367059974,38.0,16.427039908089366
1.0 C,0.02,C. auris,53.287050069122245,44.0,10.168142250978736
1.0 C,0.02,C. haemulonii,51.9843817433415,38.0,15.706025089313538
1.0 C,0.02,C. duobushaemulonii,51.87007529268725,38.0,16.066077415381685
1.0 C,0.02,C. parapsilosis,53.65497699133084,38.0,16.29368297882637
1.0 C,0.05,C. auris,53.06208535746608,44.0,9.86570254359647
1.0 C,0.05,C. haemulonii,51.82949465696351,38.0,15.593593120217648
1.0 C,0.05,C. duobushaemulonii,51.67518823171811,38.0,15.82274844511607
1.0 C,0.05,C. parapsilosis,53.26279395673403,38.0,15.987495346356747
1.0 C,0.1,C. auris,52.68714417137247,44.0,9.618067629669563
1.0 C,0.1,C. haemulonii,51.57134951300019,38.0,15.418756403770495
1.0 C,0.1,C. duobushaemulonii,51.35037646343622,38.0,15.634723065810352
1.0 C,0.1,C. parapsilosis,52.99993171472722,38.0,15.689126483037642
