temp_C,growth,mu_pred,mu_measured
22.0,0.0070869705269949275,0.06385131711113887,0.2984
24.0,0.01270289851710867,0.11444901574755793,0.4086
26.0,0.02125491128052723,0.19149989056290573,0.4879
28.0,0.0329157659943997,0.29656042796549376,0.5949
30.0,0.04693973692686452,0.4229118797960547,0.6167
32.0,0.06142444454327533,0.5534144204450765,0.6033
34.0,0.07310655046864913,0.6586664244044109,0.5387
36.0,0.08116786292562558,0.7312962478334405,0.4686
38.0,0.08458776784056092,0.7621084873343251,0.153
40.0,0.0837749937824814,0.7547856553958455,0.0
42.0,0.07991609986375886,0.7200182666556136,0.0
44.0,0.07407502570531703,0.6673920737090354,0.0
