descriptor,V_A,V_E,V_AE,V,S_A,S_E,S_AE,T_A,T_E,phi_A,phi_E,n_valid,n_alloc,n_env
Topt_C,0.03395061728395038,11.867283950617287,0.16975308641975306,12.07098765432099,0.0028125799028381284,0.9831245205829711,0.014062899514190739,0.01687547941702887,0.9971874200971618,0.009844029659933497,0.9901559703400664,144.0,12.0,12.0
rmax,0.0059608999899219695,3.985844688348864e-05,5.355122461214769e-06,0.006006113559266673,0.9924720755113021,0.0066363125655511624,0.0008916119231466233,0.9933636874344487,0.0075279244886977854,0.9929178814728754,0.007082118527124474,144.0,12.0,12.0
CTmin_C,0.05041373214292697,11.110559184454765,0.018813040432325307,11.179785957030017,0.004509364699529517,0.993807862436604,0.0016827728638664488,0.006192137563395966,0.9954906353004704,0.005350751131462741,0.9946492488685372,144.0,12.0,12.0
CTmax_C,0.02828362442137962,25.76179505759327,0.016368836604969975,25.80644751861962,0.0010959906202111969,0.9982697168607135,0.0006342925190753082,0.001730283139286505,0.9989040093797888,0.001413136879748851,0.9985868631202511,144.0,12.0,12.0
niche_width_C,0.1532869365227808,31.24375635935488,0.027987083078686383,31.425030378956347,0.004877861204087453,0.9942315403544413,0.0008905984414712874,0.005768459645558741,0.9951221387959126,0.005323160424823097,0.9946768395751769,144.0,12.0,12.0
B80_C,0.2767191555460135,5.2020781840813415,0.03353849443295485,5.51233583406031,0.050199981255892756,0.9437157569279597,0.0060842618161475225,0.05628424307204028,0.9498000187441072,0.053242112163966515,0.9467578878360335,144.0,12.0,12.0
Ea_eV,0.0003463854685280256,0.07997212820596615,0.0028587140080813173,0.08317722768257549,0.0041644267088332965,0.9614666229458768,0.03436895034528999,0.03853337705412329,0.9958355732911668,0.021348901881478293,0.9786510981185218,108.0,12.0,9.0
skewness,1.4955264395807396e-05,0.0032533055565703048,0.00011605881723330454,0.0033843196381994167,0.004418986973631175,0.9612879114164239,0.03429310160994489,0.03871208858357607,0.9955810130263688,0.021565537778603622,0.9784344622213963,144.0,12.0,12.0
