rxn_id,enzyme_id,group,u_sub_29C,u_opt_39C,u_supra_43.95C
UAGAATNo1,P0A6A8,default,0.0006894768757518782,0.00027572712690188817,0.00036832843360064667
DHDPSNo1,P0A6L2,default,2.0455851578683e-05,1.4015123822439375e-05,9.314602235223156e-06
G1PACTNo1,P0ACC7,default,7.337794998578913e-06,1.5272670618371238e-05,0.001783900151750108
GF6PTANo1,P17169,default,0.0006546669609339983,0.0007077457080982148,0.054444213359647
NADS1No1,P18843,default,3.481122899130315e-05,4.730617331530322e-05,0.03266365187404955
ASPKNo3,P08660,default,5.28255169356279e-05,4.392052736852113e-05,3.268121884495022e-05
METATNo1,P0A817,default,0.00011500940221603322,6.850008863364805e-05,4.261289029205563e-05
TMPKNo1,P0AGG0,default,0.0003465525453174062,0.00024442183798737674,0.00016467065880378966
PPBNGSNo1,P0ACB2,default,7.653637975024511e-05,5.174806175658137e-05,3.417615868318024e-05
PPNCL2No1,P0ABQ0,default,2.045418511245066e-05,2.0497868989655242e-05,0.004588546071455071
NNATrNo1,P0A752,default,0.0008185898605888432,0.0001215584879712496,4.076880302426423e-05
GAPDNo1,P0A9B2,default,0.08441766717977427,0.05034613749591737,4.795964831649839e-05
PPM2No1,P0A6K6,default,0.02886177403354938,0.02200020868824813,0.0
MOAT2No1,P0AC75,default,0.0001500627861562539,0.00011818097510366278,8.400303622399698e-05
AHCYSNSNo1,P0AF12,default,9.439593973473229e-06,7.755988487199176e-06,5.7123391403663735e-06
TMKNo1,P75948,default,3.5176777502860076e-07,2.3628645611111253e-07,1.5883768691645826e-07
CHRPLNo1,P26602,default,0.0,5.168917777020428e-06,3.5466631470466674e-06
CHRPLNo2,P28305,default,7.876447480116047e-06,0.0,0.0
ACACT7rNo2,P21151,default,0.017836561593722197,0.014956213064402807,0.011004596647805497
ADK3No1,P69441,default,0.0,0.0020110911968280044,0.0072257665668014615
ACACT2rNo2,P21151,default,0.022828766651228006,0.019142248702993896,0.014084629912755059
ACACT3rNo2,P21151,default,0.022828766651228006,0.019142248702993896,0.014084629912755059
ACACT4rNo2,P21151,default,0.022828766651228006,0.019142248702993896,0.014084629912755059
THMabcppNo1,P31548,default,7.408282048980343e-08,4.357506552192358e-08,2.7803697198667453e-08
GTPCINo1,P0A6T5,default,0.011106445858678007,0.008901739569645462,0.006592663420652453
