rank,gene,enzyme_name,enzyme_id,rxn_id,EC,control_coeff,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
26,,Dephospho-CoA kinase,P0A6I9,DPCOAKNo1,,0.0012095777513358,4.810428189350624e-06,0.0,-0.0,1.195433773304444e-05,5.3290705182007495e-14,-0.0012095777513358,6.217248937900874e-14
27,hemA,Glutamyl-tRNA reductase,P0A6X1,GLUTRRNo1,,0.0007850170956871,4.9975589233651775e-05,0.0,-0.0,6.821759473751854e-06,9.769962616701376e-14,-0.0007850170956871,1.0214051826551436e-13
28,luxS,S-ribosylhomocysteine cleavage enzyme,P45578,RHCCENo1,,0.0007037673043459,8.199123180954649e-06,0.0,-0.0,5.8822175219575e-06,1.3322676295501873e-13,-0.0007037673043459,1.3322676295501873e-13
29,apt,Adenine phosphoribosyltransferase,P69503,ADPTNo1,,0.0007018567950005,7.038295348578146e-06,0.0,-0.0,2.863133445885069e-07,-1.8651746813702625e-13,-0.0007018567950005,-1.8207657603852562e-13
30,pyrG,CTP synthase (glutamine),P0A7E5,CTPS2No1,,0.0006689080771504,0.0001150956469865,0.0,-0.0,0.0001457746161968,5.151434834260724e-13,-0.0006689080771504,5.284661597215743e-13
31,ribC,Riboflavin synthase,P0AFU8,RBFSbNo1,,0.0006198660656071,1.1754916068795305e-05,0.0,-0.0,8.336064119873754e-06,-1.4299672557172011e-11,-0.0006198660656071,-6.339373470609641e-11
32,fadE,Acyl-CoA dehydrogenase (decanoyl-CoA),Q47146,ACOAD4f_REVNo1,,0.0005948119614913,3.9958810700761974e-05,0.0,-0.0,3.809544612209947e-06,-7.105427357600999e-14,-0.0005948119614913,-6.217248937900874e-14
33,fadE,Acyl-CoA dehydrogenase (hexanoyl-CoA),Q47146,ACOAD2f_REVNo1,,0.0005948119614807,3.9958810700761974e-05,0.0,-0.0,3.80954460510452e-06,-1.7763568394002498e-14,-0.0005948119614807,-2.6645352591003748e-14
34,fadE,Acyl-CoA dehydrogenase (dodecanoyl-CoA),Q47146,ACOAD5f_REVNo1,,0.0005948119614735,3.9958810700761974e-05,0.0,-0.0,3.809544615762661e-06,8.881784197001249e-15,-0.0005948119614735,4.4408920985006246e-15
35,fadE,Acyl-CoA dehydrogenase (octanoyl-CoA),Q47146,ACOAD3f_REVNo1,,0.0005948119613332,3.9958810700761974e-05,0.0,-0.0,3.8095447543184946e-06,2.0428103653102873e-13,-0.0005948119613332,1.953992523340275e-13
36,glmM,Phosphoglucosamine mutase,P31120,PGAMT_REVNo1,,0.0005846060026879,1.5264947090193402e-05,0.0,-0.0,6.329210446409661e-06,3.5527136788004997e-14,-0.0005846060026879,3.5527136788004997e-14
37,coaBC,Phosphopantothenoylcysteine decarboxylase,P0ABQ0,PPCDCNo1,,0.0005260180902944,0.000424962204472,0.0,-0.0,0.0005260180902944,-1.3322676295501873e-13,0.0004969620307075,-1.3766765505351936e-13
38,lpxC,UDP-3-O-acetylglucosamine deacetylase,P0A725,UHGADANo1,,0.0004732281839139,1.0378932024398109e-05,0.0,-0.0,5.369168466273777e-06,5.3290705182007495e-14,-0.0004732281839139,5.3290705182007495e-14
39,fadE,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),Q47146,ACOAD6f_REVNo1,,0.000464738126821,3.1220599831996935e-05,0.0,-0.0,2.9764771731777273e-06,-1.2434497875801748e-13,-0.000464738126821,-1.2434497875801748e-13
40,lpxK,Tetraacyldisaccharide 4'kinase,P27300,TDSKNo1,,0.0004274922420997,4.643269934222498e-06,0.0,-0.0,4.852018850698414e-06,1.953992523340275e-13,-0.0004274922420997,2.0428103653102873e-13
41,ribB,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",P0A7J0,DB4PSNo1,,0.0004234540083238,3.4587733654416905e-06,0.0,-0.0,4.6487286695651164e-06,-2.0428103653102873e-13,-0.0004234540083238,-2.220446049250313e-13
42,folP,Dihydropteroate synthase,P0AC13,DHPS2No1,,0.0003481976186545,2.0275272643492197e-06,0.0,-0.0,3.866107707750643e-06,-1.4122036873231986e-11,-0.0003481976186545,-6.322498080635339e-11
43,,CDP-diacylglycerol synthetase (n-C16:1),P0ABG1,DASYN161No1,,0.0002929404656288,6.8243265362705615e-06,0.0,-0.0,3.2480081380015235e-06,-2.0428103653102873e-13,-0.0002929404656288,-1.998401444325281e-13
44,,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1),P60782,APG3PAT161No1,,0.0002882631050944,2.789325105047021e-06,0.0,-0.0,3.2632822239975212e-06,1.2434497875801748e-13,-0.0002882631050944,1.1990408665951688e-13
45,hemL,Glutamate-1-semialdehyde aminotransferase,P23893,G1SATNo1,,0.0002528441389291,3.4845631058715553e-06,0.0,-0.0,2.9658023912304543e-06,-8.881784197001249e-15,-0.0002528441389291,-1.7763568394002498e-14
46,,CDP-diacylglycerol synthetase (n-C16:0),P0ABG1,DASYN160No1,,0.0002485401933434,5.789980237529842e-06,0.0,-0.0,2.755716657532048e-06,1.953992523340275e-13,-0.0002485401933434,1.8651746813702625e-13
47,,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:0),P60782,APG3PAT160No1,,0.0002445717781043,2.3665539959777513e-06,0.0,-0.0,2.768675788189512e-06,-1.5099033134902126e-13,-0.0002445717781043,-1.5099033134902126e-13
48,fadE,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),Q47146,ACOAD7f_REVNo1,,0.0002133152193835,1.4330288558269217e-05,0.0,-0.0,1.366210984343752e-06,-7.105427357600999e-14,-0.0002133152193835,-7.105427357600999e-14
49,thiL,Thiamine-phosphate kinase,P0AGG0,TMPKNo1,,0.0002101505641896,1.3613001340432682e-06,0.0,-0.0,2.344866501857723e-06,5.3290705182007495e-14,-0.0002101505641896,6.217248937900874e-14
50,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,P0A749,UAGCVTNo1,,0.0002037197614566,1.1762675232378095e-05,0.0,-0.0,2.218140810583691e-06,4.618527782440649e-13,-0.0002037197614566,4.618527782440649e-13
51,coaBC,Phosphopantothenate-cysteine ligase,P0ABQ0,PPNCL2No1,,0.0001596120812195,0.0001289520520666,0.0,-0.0,0.0001596120812195,1.1546319456101625e-13,0.0001507952076273,1.0658141036401503e-13
52,fadB,3-cis-2-trans-enoyl-CoA isomerase,P21177,CTECOAI7_REVNo1,,0.0001534045941493,2.6491968366568615e-05,0.0,-0.0,7.59149151008387e-06,1.408650973644398e-11,-0.0001534045941493,6.319389456166387e-11
53,gmk,Guanylate kinase (GMP:ATP),P60546,GK1No1,,0.0001311063541606,0.0001992849868301,0.0,-0.0,0.0001311063541606,9.769962616701376e-14,5.0308100297158376e-05,1.0214051826551436e-13
54,accA;accB;accC;accD,Acetyl-CoA carboxylase,P0A9Q5,ACCOACNo1,,0.0001163568639199,1.5452909962134968e-06,0.0,-0.0,1.3198414983150997e-06,1.6875389974302374e-13,-0.0001163568639199,1.77635683940025e-13
55,glmU,UDP-N-acetylglucosamine diphosphorylase,P0ACC7,UAGDPNo1,,0.0001131051120957,0.000132095630264,0.0,-0.0,0.0001131051120957,-1.3322676295501873e-13,9.055713629457784e-05,-1.287858708565181e-13
56,gltX,Glutamyl-tRNA synthetase,P04805,GLUTRSNo1,,0.0001127810476049,1.6741319883632691e-06,0.0,-0.0,1.2770654862492847e-06,-1.7763568394002498e-14,-0.0001127810476049,-2.6645352591003748e-14
57,kdsA,3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase,P0A715,KDOPSNo1,,0.0001101984567135,7.6691406757755e-05,0.0,-0.0,0.0001101984567135,-2.6645352591003748e-14,9.75209301063984e-05,-3.996802888650562e-14
58,surE,Inorganic diphosphatase,P0A840,PPANo1,,8.011869118185189e-05,2.6949722496888606e-06,0.0,-0.0,8.090872150035011e-07,1.5987211554602254e-13,-8.011869118185189e-05,1.5099033134902126e-13
59,waaA,3-deoxy-D-manno-octulosonic acid transferase,P0AC75,MOATNo1,,7.251482162828893e-05,1.4476544257103096e-06,0.0,-0.0,8.103003068526959e-07,7.993605777301127e-14,-7.251482162828893e-05,7.993605777301127e-14
60,waaA,3-deoxy-D-manno-octulosonic acid transferase,P0AC75,MOAT2No1,,7.251482152881294e-05,1.4476544257103096e-06,0.0,-0.0,8.103004098813926e-07,-1.465494392505206e-11,-7.251482152881294e-05,-6.375788785817345e-11
61,murI,Glutamate racemase,P22634,GLUR_REVNo1,,7.011348110275151e-05,3.3624273482278975e-06,0.0,-0.0,8.706187060170123e-07,-1.7763568394002498e-14,-7.011348110275151e-05,-1.3322676295501874e-14
62,,Undecaprenyl-diphosphatase,P75806,UDCPDPNo1,,6.683662638629073e-05,1.491809774350029e-06,0.0,-0.0,1.1330386193719733e-06,-3.5527136788004997e-14,-6.683662638629073e-05,-6.172840016915868e-13
63,ispE,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,P62615,CDPMEKNo1,,6.59337031052587e-05,4.995446638107687e-06,0.0,-0.0,4.729736744479851e-07,-9.769962616701376e-14,-6.59337031052587e-05,-1.0658141036401503e-13
64,metE,Methionine synthase,P25665,METSNo2,,5.9751624426951366e-05,4.5686020659784406e-05,0.0,-0.0,5.975160478755015e-05,7.105427357600999e-14,5.9751624426951366e-05,6.217248937900874e-14
65,dxs,1-deoxy-D-xylulose 5-phosphate synthase,P77488,DXPSNo1,,5.418394634304491e-05,4.206755650039409e-06,0.0,-0.0,9.977448165443548e-07,5.3290705182007495e-14,-5.418394634304491e-05,6.217248937900874e-14
66,sufE,SUF Cysteine desulfuration,P77444,SCYSDSNo1,,5.353496607263253e-05,1.6335157489466248e-06,0.0,-0.0,5.618423024600361e-07,-1.7763568394002498e-14,-5.353496607263253e-05,-1.7763568394002498e-14
67,,Acyl-CoA dehydrogenase (butanoyl-CoA),P0A9U8,ACOAD1frNo1,,3.972655431283556e-05,2.904642344009645e-06,0.0,-0.0,2.2980508163072957e-07,-0.0,-3.972655431283556e-05,4.4408920985006246e-15
68,cmk,Cytidylate kinase (CMP),P0A6I0,CYTK1No1,,3.836913679400311e-05,1.5131358685804722e-06,0.0,-0.0,3.9944923813095556e-07,5.3290705182007495e-14,-3.836913679400311e-05,6.661338147750938e-14
69,dadX,Alanine racemase,P29012,ALARNo1,,2.754788878611691e-05,2.464756801074647e-05,0.0,-0.0,1.3481799214787316e-06,-1.4672707493446062e-11,-2.754788878611691e-05,-6.376232875027195e-11
70,murF,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",P11880,UGMDDSNo1,,2.229026847189175e-05,1.134473920318608e-06,0.0,-0.0,2.251911119799388e-07,-0.0,-2.229026847189175e-05,4.4408920985006246e-15
71,tesB,Fatty-acid-CoA thioesterase (hexadecenoate),P0AGG2,FACOAE161No1,,2.102324522823551e-05,4.925336944357813e-06,0.0,-0.0,-2.7550877490511994e-07,-1.4210854715201999e-13,-2.102324522823551e-05,-1.3766765505351936e-13
72,pabA;pabB,4-amino-4-deoxychorismate synthase,P00903,ADCSNo1,,1.9322868395121873e-05,1.1335774356523789e-06,0.0,-0.0,2.2391481024897083e-07,-3.5527136788004997e-14,-1.9322868395121873e-05,-2.6645352591003748e-14
73,tesB,Fatty-acid-CoA thioesterase (hexadecanoate),P0AGG2,FACOAE160No1,,1.7836804222071123e-05,4.178815802473602e-06,0.0,-0.0,-2.3375051227958465e-07,-0.0,-1.7836804222071123e-05,-4.4408920985006246e-15
74,gpsA,Glycerol-3-phosphate dehydrogenase (NADP),P0A6S7,G3PD2_REVNo1,,1.2554446119139584e-05,2.9519728307766083e-06,0.0,-0.0,-1.1043343128847027e-06,4.361028213837728e-13,-1.2554446119139584e-05,3.924925392453955e-13
75,tesB,Fatty-acid-CoA thioesterase (dodecanoate),P0AGG2,FACOAE120No1,,1.0876386983937891e-05,2.5481254976314413e-06,0.0,-0.0,-1.4253457791824078e-07,1.4344081478157018e-11,-1.0876386983937891e-05,6.344258451917992e-11
76,ddlB,D-alanine-D-alanine ligase,P07862,ALAALArNo2,,7.200623688419228e-06,1.4901100908517883e-06,0.0,-0.0,6.876728342319893e-07,1.414868222582299e-11,7.200623688419228e-06,6.324274437474739e-11
77,glmU,Glucosamine-1-phosphate N-acetyltransferase,P0ACC7,G1PACTNo1,,5.260944003993018e-06,9.752217628533336e-06,0.0,-0.0,5.260944003993018e-06,-2.6695631729359905e-12,5.051262281341451e-06,-2.6695631729359905e-12
78,nuoA;nuoB;nuoC;nuoE;nuoF;nuoG;nuoI;nuoJ;nuoL,NADH dehydrogenase (menaquinone-8 & 3 protons) (periplasm),P0AFC3,NADH17ppNo1,,1.22378156319769e-06,6.025292613398104e-06,0.0,-0.0,1.0665744198945505e-07,-1.4113155089034983e-11,1.22378156319769e-06,-6.321165813005789e-11
79,nadC,Nicotinate-nucleotide diphosphorylase (carboxylating),P30011,NNDPRNo1,,7.935729957608828e-07,1.3234519583456693e-05,0.0,-0.0,7.93572993984526e-07,-1.3322676295501873e-13,7.935729957608828e-07,-1.287858708565181e-13
80,nadA,Quinolinate synthase,P11458,QULNSNo1,,4.7606789621568175e-08,1.246114801948842e-06,0.0,-0.0,4.7606789621568175e-08,-5.3290705182007495e-14,4.7606786068854496e-08,-4.884981308350687e-14
