reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string,strain,T_C,kcat_scale
L_Aspartate_c00049_CytoMito__mito,L_Aspartate_c00049_CytoMito__mito,L-Aspartate (Cyto) <=> L-Aspartate (Mito),False,True,False,True,carrier,1.0,32.52276074423275,32.52276074423275,C00049__mito + C00080__mito <=> C00049__cyto + C00080__cyto,cauris_iRV973,40.0,1.0
T_ATP_synthase__mito,T_ATP_synthase__mito,Orthophosphate (mito) + ADP (mito) + 3 H+ (cyto) <=> ATP (mito) + H2O (mito) + 3 H+ (mito),True,True,True,True,atp_synthase,-3.0,10.346665778190456,-31.039997334571368,C00008__mito + C00009__mito + 3.0 C00080__cyto <=> C00001__mito + C00002__mito + 3.0 C00080__mito,cauris_iRV973,40.0,1.0
T_Pyruvate_c00022_CytoMito__mito,T_Pyruvate_c00022_CytoMito__mito,Pyruvate (Cyto) + H+ (Cyto) <=> Pyruvate (Mito) + H+ (Mito),False,True,False,True,carrier,-1.0,1.4905125687868186,-1.4905125687868186,C00022__cyto + C00080__cyto <=> C00022__mito + C00080__mito,cauris_iRV973,40.0,1.0
R00711__cyto,R00711__cyto,Acetaldehyde + NADP+ + H2O <=> Acetate + NADPH + H+,False,True,False,False,redox,1.0,1.4901095131828563,1.4901095131828563,C00001__cyto + C00006__cyto + C00084__cyto <=> C00005__cyto + C00033__cyto + C00080__cyto,cauris_iRV973,40.0,1.0
R11231__cyto,R11231__cyto,"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate + NAD+ + 2 H2O <=> L-2-Aminoadipate + NADH + ",False,True,False,False,redox,1.0,0.9484414824028026,0.9484414824028026,2.0 C00001__cyto + C00003__cyto + C00450__cyto <=> C00004__cyto + C00080__cyto + C00956__cyto,cauris_iRV973,40.0,1.0
R11232__cyto,R11232__cyto,"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate + NADP+ + 2 H2O <=> L-2-Aminoadipate + NADPH ",False,True,False,False,redox,1.0,-0.9484414824028026,-0.9484414824028026,2.0 C00001__cyto + C00006__cyto + C00450__cyto <=> C00005__cyto + C00080__cyto + C00956__cyto,cauris_iRV973,40.0,1.0
R10092__cyto,R10092__cyto,HCO3- + H+ <=> CO2 + H2O,True,True,False,False,redox,-1.0,-0.8635031337700482,0.8635031337700482,C00080__cyto + C00288__cyto <=> C00001__cyto + C00011__cyto,cauris_iRV973,40.0,1.0
R00742__cyto,R00742__cyto,ATP + Acetyl-CoA + H+ + HCO3- => Orthophosphate + ADP + Malonyl-CoA,True,False,False,False,redox,-1.0,0.8575522394071535,-0.8575522394071535,C00002__cyto + C00024__cyto + C00080__cyto + C00288__cyto --> C00008__cyto + C00009__cyto + C00083__cyto,cauris_iRV973,40.0,1.0
R00248__cyto,R00248__cyto,L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+,True,True,False,False,redox,1.0,0.699941865711688,0.699941865711688,C00001__cyto + C00006__cyto + C00025__cyto <=> C00005__cyto + C00014__cyto + C00026__cyto + C00080__cyto,cauris_iRV973,40.0,1.0
R02082__cyto,R02082__cyto,(S)-3-Hydroxy-3-methylglutaryl-CoA + 2 NADPH + 2 H+ => (R)-Mevalonate + CoA + 2 NADP+,True,False,False,False,redox,-2.0,0.1692566148158438,-0.3385132296316876,2.0 C00005__cyto + 2.0 C00080__cyto + C00356__cyto --> 2.0 C00006__cyto + C00010__cyto + C00418__cyto,cauris_iRV973,40.0,1.0
R00100__cyto,R00100__cyto,NADH + 2 Ferricytochrome b5 <=> NAD+ + H+ + 2 Ferrocytochrome b5,True,True,False,False,redox,1.0,0.2593283061344882,0.2593283061344882,C00004__cyto + 2.0 C00996__cyto <=> C00003__cyto + C00080__cyto + 2.0 C00999__cyto,cauris_iRV973,40.0,1.0
R00835__cyto,R00835__cyto,"D-Glucose 6-phosphate + NADP+ => D-Glucono-1,5-lactone 6-phosphate + NADPH + H+",True,False,False,False,redox,1.0,0.2030345711212793,0.2030345711212793,C00006__cyto + C00092__cyto --> C00005__cyto + C00080__cyto + C01236__cyto,cauris_iRV973,40.0,1.0
R01528__cyto,R01528__cyto,6-Phospho-D-gluconate + NADP+ => D-Ribulose 5-phosphate + CO2 + NADPH + H+,True,False,False,False,redox,1.0,0.2030345711212793,0.2030345711212793,C00006__cyto + C00345__cyto --> C00005__cyto + C00011__cyto + C00080__cyto + C00199__cyto,cauris_iRV973,40.0,1.0
R07509__cyto,R07509__cyto,14-Demethyllanosterol + 6 Ferrocytochrome b5 + 3 Oxygen + 6 H+ <=> 4alpha-Methylzymosterol,True,True,False,False,redox,-6.0,0.027594707895444607,-0.16556824737266765,3.0 C00007__cyto + 6.0 C00080__cyto + 6.0 C00999__cyto + C05108__cyto <=> 4.0 C00001__cyto + 6.0 C00996__cyto + C15808__cyto,cauris_iRV973,40.0,1.0
R05640__cyto,R05640__cyto,"Lanosterol + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen => 4,4-Dimethyl-5alpha-c",True,False,False,False,redox,-6.0,0.027594707895444607,-0.16556824737266765,3.0 C00007__cyto + 6.0 C00080__cyto + C01724__cyto + 3.0 C03024__cyto --> 4.0 C00001__cyto + C00058__cyto + 3.0 C03161__cyto + C11455__cyto,cauris_iRV973,40.0,1.0
R12403__cyto,R12403__cyto,4alpha-Methylzymosterol + 6 Ferrocytochrome b5 + 3 Oxygen + 6 H+ <=> 4alpha-Carboxy-5alpha,True,True,False,False,redox,-6.0,0.027594707895444607,-0.16556824737266765,3.0 C00007__cyto + 6.0 C00080__cyto + 6.0 C00999__cyto + C05103__cyto <=> 4.0 C00001__cyto + 6.0 C00996__cyto + C22112__cyto,cauris_iRV973,40.0,1.0
R02222__cyto,R02222__cyto,Stearoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> Oleoyl-CoA + 2 Ferricytochrome b5 ,True,True,False,False,redox,-2.0,0.06256415401661966,-0.12512830803323932,C00007__cyto + 2.0 C00080__cyto + C00412__cyto + 2.0 C00999__cyto <=> 2.0 C00001__cyto + C00510__cyto + 2.0 C00996__cyto,cauris_iRV973,40.0,1.0
R04955__cyto,R04955__cyto,Hexanoyl-[acp] + NAD+ => trans-Hex-2-enoyl-[acp] + NADH + H+,True,False,False,False,redox,-1.0,0.11184085820159122,-0.11184085820159122,C00004__cyto + C00080__cyto + C05748__cyto --> C00003__cyto + C05749__cyto,cauris_iRV973,40.0,1.0
R04566__cyto,R04566__cyto,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxotetradecanoyl-[acp] + ,True,True,False,False,redox,1.0,-0.11184085820159122,-0.11184085820159122,C00006__cyto + C04688__cyto <=> C00005__cyto + C00080__cyto + C05759__cyto,cauris_iRV973,40.0,1.0
R04964__cyto,R04964__cyto,(R)-3-Hydroxydodecanoyl-[acp] + NADP+ <=> 3-Oxododecanoyl-[acp] + NADPH + H+,True,True,False,False,redox,1.0,-0.11184085820159122,-0.11184085820159122,C00006__cyto + C05757__cyto <=> C00005__cyto + C00080__cyto + C05756__cyto,cauris_iRV973,40.0,1.0
