reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string,strain,T_C,kcat_scale
R05640__cyto,R05640__cyto,"Lanosterol + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen => 4,4-Dimethyl-5alpha-c",True,False,False,False,redox,-6.0,0.011670156463681237,-0.07002093878208743,3.0 C00007__cyto + 6.0 C00080__cyto + C01724__cyto + 3.0 C03024__cyto --> 4.0 C00001__cyto + C00058__cyto + 3.0 C03161__cyto + C11455__cyto,cduobushaemulonii_draft,40.0,1.0
R12403__cyto,R12403__cyto,4alpha-Methylzymosterol + 6 Ferrocytochrome b5 + 3 Oxygen + 6 H+ <=> 4alpha-Carboxy-5alpha,True,True,False,False,redox,-6.0,0.011670156463681237,-0.07002093878208743,3.0 C00007__cyto + 6.0 C00080__cyto + 6.0 C00999__cyto + C05103__cyto <=> 4.0 C00001__cyto + 6.0 C00996__cyto + C22112__cyto,cduobushaemulonii_draft,40.0,1.0
R02222__cyto,R02222__cyto,Stearoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> Oleoyl-CoA + 2 Ferricytochrome b5 ,True,True,False,False,redox,-2.0,0.0264591844624068,-0.0529183689248136,C00007__cyto + 2.0 C00080__cyto + C00412__cyto + 2.0 C00999__cyto <=> 2.0 C00001__cyto + C00510__cyto + 2.0 C00996__cyto,cduobushaemulonii_draft,40.0,1.0
R04955__cyto,R04955__cyto,Hexanoyl-[acp] + NAD+ => trans-Hex-2-enoyl-[acp] + NADH + H+,True,False,False,False,redox,-1.0,0.04729893569413073,-0.04729893569413073,C00004__cyto + C00080__cyto + C05748__cyto --> C00003__cyto + C05749__cyto,cduobushaemulonii_draft,40.0,1.0
R04566__cyto,R04566__cyto,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxotetradecanoyl-[acp] + ,True,True,False,False,redox,1.0,-0.04729893569413073,-0.04729893569413073,C00006__cyto + C04688__cyto <=> C00005__cyto + C00080__cyto + C05759__cyto,cduobushaemulonii_draft,40.0,1.0
R04964__cyto,R04964__cyto,(R)-3-Hydroxydodecanoyl-[acp] + NADP+ <=> 3-Oxododecanoyl-[acp] + NADPH + H+,True,True,False,False,redox,1.0,-0.04729893569413073,-0.04729893569413073,C00006__cyto + C05757__cyto <=> C00005__cyto + C00080__cyto + C05756__cyto,cduobushaemulonii_draft,40.0,1.0
R04533__cyto,R04533__cyto,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ <=> Acetoacetyl-[acp] + NADPH + H+,True,True,False,False,redox,1.0,-0.04729893569413073,-0.04729893569413073,C00006__cyto + C04618__cyto <=> C00005__cyto + C00080__cyto + C05744__cyto,cduobushaemulonii_draft,40.0,1.0
R04536__cyto,R04536__cyto,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxooctanoyl-[acp] + NADPH + H+,True,True,False,False,redox,1.0,-0.04729893569413073,-0.04729893569413073,C00006__cyto + C04620__cyto <=> C00005__cyto + C00080__cyto + C05750__cyto,cduobushaemulonii_draft,40.0,1.0
R04953__cyto,R04953__cyto,(R)-3-Hydroxyhexanoyl-[acp] + NADP+ <=> 3-Oxohexanoyl-[acp] + NADPH + H+,True,True,False,False,redox,1.0,-0.04729893569413073,-0.04729893569413073,C00006__cyto + C05747__cyto <=> C00005__cyto + C00080__cyto + C05746__cyto,cduobushaemulonii_draft,40.0,1.0
R04958__cyto,R04958__cyto,Octanoyl-[acp] + NAD+ => trans-Oct-2-enoyl-[acp] + NADH + H+,True,False,False,False,redox,-1.0,0.04729893569413073,-0.04729893569413073,C00004__cyto + C00080__cyto + C05751__cyto --> C00003__cyto + C05752__cyto,cduobushaemulonii_draft,40.0,1.0
R04724__cyto,R04724__cyto,Dodecanoyl-[acyl-carrier protein] + NAD+ => trans-Dodec-2-enoyl-[acp] + NADH + H+,True,False,False,False,redox,-1.0,0.04729893569413073,-0.04729893569413073,C00004__cyto + C00080__cyto + C05758__cyto --> C00003__cyto + C05223__cyto,cduobushaemulonii_draft,40.0,1.0
R04429__cyto,R04429__cyto,Butyryl-[acp] + NAD+ => But-2-enoyl-[acyl-carrier protein] + NADH + H+,True,False,False,False,redox,-1.0,0.04729893569413073,-0.04729893569413073,C00004__cyto + C00080__cyto + C04246__cyto --> C00003__cyto + C05745__cyto,cduobushaemulonii_draft,40.0,1.0
R04961__cyto,R04961__cyto,Decanoyl-[acp] + NAD+ => trans-Dec-2-enoyl-[acp] + NADH + H+,True,False,False,False,redox,-1.0,0.04729893569413073,-0.04729893569413073,C00004__cyto + C00080__cyto + C05754__cyto --> C00003__cyto + C05755__cyto,cduobushaemulonii_draft,40.0,1.0
R04966__cyto,R04966__cyto,Tetradecanoyl-[acp] + NAD+ => trans-Tetradec-2-enoyl-[acp] + NADH + H+,True,False,False,False,redox,-1.0,0.04729893569413073,-0.04729893569413073,C00004__cyto + C00080__cyto + C05760__cyto --> C00003__cyto + C05761__cyto,cduobushaemulonii_draft,40.0,1.0
R04534__cyto,R04534__cyto,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxodecanoyl-[acp] + NADPH,True,True,False,False,redox,1.0,-0.04729893569413073,-0.04729893569413073,C00006__cyto + C04619__cyto <=> C00005__cyto + C00080__cyto + C05753__cyto,cduobushaemulonii_draft,40.0,1.0
