strain,species,config,T_C,mu,qO2,qCO2,qO2_over_mu
cauris_iRV973,C. auris (clade I),before (B3),22.0,0.012833520255356593,0.04978137108857121,0.2248302678784155,3.879011377863601
cauris_iRV973,C. auris (clade I),before (B3),24.0,0.02264361067072981,0.0878348234276745,0.3966931092589194,3.8790113778635975
cauris_iRV973,C. auris (clade I),before (B3),26.0,0.036355196706482566,0.14102222166891523,0.6369061996749736,3.8790113778636024
cauris_iRV973,C. auris (clade I),before (B3),28.0,0.05287406648115911,0.2050991054743328,1.0203878933839836,3.879011377863604
cauris_iRV973,C. auris (clade I),before (B3),30.0,0.06996629002188895,0.27140003506181154,1.357043908562899,3.8790113778635975
cauris_iRV973,C. auris (clade I),before (B3),32.0,0.08497329930905925,0.32966100398876347,1.6480462658493116,3.8795834299635974
cauris_iRV973,C. auris (clade I),before (B3),34.0,0.0960040025908404,0.3724555376616067,1.8619853443722172,3.879583429963598
cauris_iRV973,C. auris (clade I),before (B3),36.0,0.1023335279160254,0.39938242182068145,1.9925071373849865,3.902752401426183
cauris_iRV973,C. auris (clade I),before (B3),38.0,0.10414187970394363,0.4064399711036027,2.0277170428549387,3.902752401426183
cauris_iRV973,C. auris (clade I),before (B3),40.0,0.1021604559175162,0.39870696466288014,2.6890791672341443,3.902752401426184
cauris_iRV973,C. auris (clade I),before (B3),42.0,0.09714783517697055,0.379143947030277,2.557136392648932,3.9027524014261847
cauris_iRV973,C. auris (clade I),before (B3),44.0,0.08987122906367988,0.35074515504739934,2.3656007369817615,3.9027524014261843
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",22.0,0.010114828946619428,3.1549560248109043,0.4367607889955638,311.9139277056536
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",24.0,0.017832386748891753,3.4061530598631173,0.9294738780016689,191.0093756840936
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",26.0,0.027959012521127546,2.558531809412975,3.757045895920248,91.51009204919492
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",28.0,0.03913372242974788,3.1990873062564136,4.800217075578621,81.74758514218408
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",30.0,0.05008269541260929,3.795941591179254,5.785401617094787,75.79347636755892
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",32.0,0.05915696493568253,4.3003912409299145,6.613574419293405,72.69458880463942
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",34.0,0.06532263033865102,4.683129591160053,7.224273411211515,71.69229969585399
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",36.0,0.06825673306299902,4.937291629618928,7.601338138711633,72.3341333236964
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",38.0,0.0681306389724109,5.071645674324843,7.759465746815906,74.4400133452231
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",40.0,0.06537954957756921,5.077935589028096,7.688985498752687,77.66856183374905
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",42.0,0.06050601285909574,5.027082601439618,7.50903257642081,83.08401700747511
cauris_iRV973,C. auris (clade I),"after (B5, repaired)",44.0,0.053970387973900594,4.9096688081947555,7.208631269988582,90.9696778642579
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),22.0,0.0118983557565889,1.156945360823117,0.20899847899540164,97.23573445704382
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),24.0,0.020951009256727642,1.3558620499411156,0.36801127463766303,64.71583460857526
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),26.0,0.03324840367833482,1.7115291237132264,0.6431835481816759,51.47703150718437
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),28.0,0.04748414877355721,2.1864779911079695,0.923187765106296,46.04648177510485
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),30.0,0.061716409879201545,2.639910665865274,1.199891668659176,42.77485795159522
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),32.0,0.07377750091315073,2.9110343538959627,2.481342212861582,39.456939010753004
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),34.0,0.08220234218724462,3.189995499666175,2.764671485265941,38.806625392739335
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),36.0,0.08649042882261054,3.371594309175723,2.90889062223581,38.98228226028071
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),38.0,0.08687739862940806,3.4626119230652956,2.9219053899668195,39.8563029935521
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),40.0,0.08395335383435878,3.476331812122008,2.8281078040949934,41.40789680637253
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),42.0,0.07842027773244821,3.428435915056589,2.64171696930668,43.71874232266324
cauris_iRV973,C. auris (clade I),B5 + complex III direction (sensitivity),44.0,0.07139195308443509,2.7528951734594513,5.058618829384512,38.560300629450616
chaemulonii_draft,C. haemulonii,before (B3),22.0,0.007086970526994921,0.02749043930879728,0.20199906292883418,3.8790113778635984
chaemulonii_draft,C. haemulonii,before (B3),24.0,0.012702898517108692,0.0492746878797113,0.3620691785244497,3.879011377863603
chaemulonii_draft,C. haemulonii,before (B3),26.0,0.02125491128052721,0.08244804269264648,0.6058261629490032,3.8790113778636024
chaemulonii_draft,C. haemulonii,before (B3),28.0,0.032915765994399646,0.12768063080337208,0.9381940931074915,3.8790113778636024
chaemulonii_draft,C. haemulonii,before (B3),30.0,0.04693973692686446,0.18207977361323152,1.337917638747847,3.879011377863602
chaemulonii_draft,C. haemulonii,before (B3),32.0,0.061424444543275426,0.23826611926231747,1.7507735063104626,3.879011377863606
chaemulonii_draft,C. haemulonii,before (B3),34.0,0.07412718030269487,0.28754017580309976,2.0930849935814875,3.8790113778635975
chaemulonii_draft,C. haemulonii,before (B3),36.0,0.08367603695300518,0.324580299395242,2.371660131249641,3.8790113778635984
chaemulonii_draft,C. haemulonii,before (B3),38.0,0.0886509631033352,0.34593204617067475,2.512666259602437,3.9021803493261786
chaemulonii_draft,C. haemulonii,before (B3),40.0,0.08916893816193112,0.3479532782657692,2.5273474137319503,3.902180349326183
chaemulonii_draft,C. haemulonii,before (B3),42.0,0.08597634489313585,0.3354952035488847,2.4368585898509822,3.9021803493261764
chaemulonii_draft,C. haemulonii,before (B3),44.0,0.08002427346940041,0.3122691474013984,2.2681568801613645,3.9021803493261764
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",22.0,0.0056745453677404635,2.0027198353059537,2.724665622460781,352.93044737845014
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",24.0,0.010347256889292118,2.120339050731318,2.9262643537327446,204.91798680726245
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",26.0,0.017084292843251764,2.4815396723254834,3.472682175275506,145.25270054157863
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",28.0,0.02558234339491956,3.035482227637797,4.292830355036994,118.65536244191838
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",30.0,0.03525625975560497,3.576191828513946,5.10661970002503,101.4342375879906
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",32.0,0.04456674044072309,4.068946047255524,5.852980544322076,91.30005934958402
