strain,species,config,T_C,mu,qO2,qCO2,qO2_over_mu
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",34.0,0.05203646167340442,4.477149107501346,6.472061619203813,86.0386921693716
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",36.0,0.05675646396896649,4.782987263844245,6.9052625184403285,84.27211509264399
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",38.0,0.05792761378920816,4.943854954166931,7.062844690527125,85.34539282348214
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",40.0,0.055924073938399516,5.015666088762134,7.112050177492453,89.68706561483523
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",42.0,0.05141240686968116,5.0231449909684125,7.0713793507770095,97.70297281940039
chaemulonii_draft,C. haemulonii,"after (B5, repaired)",44.0,0.04507793627398707,4.983363686943395,6.964050646363607,110.54995190228182
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),22.0,0.006512250427458071,1.0227781897419745,2.1630990602238813,157.05449308729914
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),24.0,0.011729896541062006,1.1247575061313682,2.4612084308316926,95.88810116048427
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),26.0,0.0195038767320578,1.3687248313955687,3.0894427367541843,70.17706531880641
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),28.0,0.029788339523122844,1.7352026273202223,4.008005514375713,58.251069213619374
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),30.0,0.04187478659519884,2.109204012615807,4.947434039403619,50.36930774132323
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),32.0,0.05386603232671579,2.37827199836164,5.281818566003233,44.15160901283043
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),34.0,0.06397401191074781,2.608553472097242,5.573676107748487,40.77520534020155
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),36.0,0.07109865805610341,2.788479720614784,5.786579027296353,39.21986429637555
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),38.0,0.0742277575946686,2.897471345239446,5.900064079351545,39.03487642805414
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),40.0,0.07357884350365827,2.9442845271966847,5.922806773997958,40.015368372163906
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),42.0,0.06983844262690175,2.9398398796096976,5.871044330154726,42.094865936733704
chaemulonii_draft,C. haemulonii,B5 + complex III direction (sensitivity),44.0,0.0638273576810067,2.8968311556751956,5.763947897671592,45.385415610541784
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),22.0,0.018186010406773902,0.07096509244195454,0.31217407634170363,3.9021803493261804
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),24.0,0.02929176605817995,0.1143017539092894,0.5028112163745161,3.9021803493261804
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),26.0,0.041780122450523226,0.1630335728188733,0.7171815501973564,3.90218034932618
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),28.0,0.05346935841152359,0.20864707968452603,0.9178344893327228,3.9021803493261835
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),30.0,0.06286594423452783,0.24531425223381065,1.8263304283711634,3.9021803493261906
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),32.0,0.06930298708833195,0.27043275436569475,2.0133341769949666,3.9021803493261777
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),34.0,0.07275991507140771,0.2839223108102885,2.1137620452319545,3.9021803493261746
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),36.0,0.07379667744647866,0.2879679445772118,2.117321306868548,3.9021803493261835
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),38.0,0.07280076604618332,0.2840817186813173,2.088747331717319,3.9021803493262923
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),40.0,0.06978492627821026,0.27231336800200545,1.9836230721464383,3.9021803493261404
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),42.0,0.06520918549581348,0.2544580022373264,1.8535585227917775,3.9021803493261387
cduobushaemulonii_draft,C. duobushaemulonii,before (B3),44.0,0.059499541364165236,0.23217794110516599,1.6857488166927341,3.902180349326183
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",22.0,0.01400111560688756,3.182421643002703,0.3489621827026296,227.29771915012086
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",24.0,0.022493995520535964,1.8899672927095899,2.1539126470203978,84.02096866179858
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",26.0,0.03137407603809462,2.1016437115166524,2.4697882507333024,66.98663281636796
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",28.0,0.03882062103662694,2.4970884420003543,2.952611008665911,64.32376338452627
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",30.0,0.04443773423865013,2.823660771432104,3.3450947468982175,63.54196089899199
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",32.0,0.04786153817739421,3.078805423509089,3.6404144378151253,64.32733967090216
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",34.0,0.04918715337755903,3.2683401372659926,3.84550396811709,66.44702758418072
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",36.0,0.04878442503846301,3.399128731618281,3.9645679844847153,69.67651517750414
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",38.0,0.046750978285885134,3.483702943411334,4.025573391036855,74.51615070187995
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",40.0,0.04320496920915897,3.522995156451854,4.023765340593268,81.54143425948834
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",42.0,0.03847702872921876,3.5252997158551715,3.971270378828372,91.62089257630548
cduobushaemulonii_draft,C. duobushaemulonii,"after (B5, repaired)",44.0,0.032893100845691095,3.4994545914016815,3.8807043519960445,106.38871074570947
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),22.0,0.016705181772066226,1.2640092852998555,0.2867547402190308,75.66570077157041
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),24.0,0.02678436525988462,1.4863523194030221,0.4597701364059963,55.493281434193854
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),26.0,0.03771538577257537,1.8195131125571096,0.6474078400966535,48.243258693648656
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),28.0,0.04742679941616069,2.197567735559305,0.8141102402574515,46.33599067641244
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),30.0,0.05487126910487793,2.5052022782555357,0.9418991503563643,45.65599300186095
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),32.0,0.059630033537575275,2.6343963177221115,1.8935835124262659,44.17901787799721
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),34.0,0.0618274136310451,2.781214033662274,5.061503007081949,44.98350926110479
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),36.0,0.06208502503306634,2.8696568245406247,5.080601189321564,46.22140078082037
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),38.0,0.060486032056821466,2.8911637887687736,5.132097326934994,47.79886678717447
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),40.0,0.05714723430258646,2.7310927464163153,5.1048200398839665,47.79046229876268
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),42.0,0.05257208186392545,2.717248152743201,5.060052854256361,51.68614322286817
cduobushaemulonii_draft,C. duobushaemulonii,B5 + complex III direction (sensitivity),44.0,0.04703405810102891,2.5437986087913402,5.312515321339251,54.08418306851759
cparapsilosis_iDC1003,C. parapsilosis,before (B3),22.0,0.019558096318991868,3.8679736406393235,3.955471895722346,197.7684114830405
cparapsilosis_iDC1003,C. parapsilosis,before (B3),24.0,0.031621970717158845,4.39813315005984,4.560561884276103,139.08472654657498
cparapsilosis_iDC1003,C. parapsilosis,before (B3),26.0,0.0449886847584092,5.222900117375192,5.404863437280948,116.09363877655788
cparapsilosis_iDC1003,C. parapsilosis,before (B3),28.0,0.057109938347548066,6.1758877841876965,6.288852605831392,108.14033358964132
cparapsilosis_iDC1003,C. parapsilosis,before (B3),30.0,0.06664646140641556,6.95946057337136,7.00687351361785,104.42355717780727
cparapsilosis_iDC1003,C. parapsilosis,before (B3),32.0,0.07510605302165489,4.338980592756849,5.370307841525097,57.771383506277665
cparapsilosis_iDC1003,C. parapsilosis,before (B3),34.0,0.08206446174028936,4.774237379424347,5.8520069789552895,58.176673290485326
cparapsilosis_iDC1003,C. parapsilosis,before (B3),36.0,0.08556286643100887,4.941655175187172,6.168064878799876,57.75467070369518
cparapsilosis_iDC1003,C. parapsilosis,before (B3),38.0,0.08570176864579265,5.0003117561834145,6.221766558541162,58.345490824697166
cparapsilosis_iDC1003,C. parapsilosis,before (B3),40.0,0.08301797244476566,4.949495230274469,6.110961247612757,59.619562903292
cparapsilosis_iDC1003,C. parapsilosis,before (B3),42.0,0.07779749475609773,4.734599809336256,5.7465313227417765,60.857998373593645
cparapsilosis_iDC1003,C. parapsilosis,before (B3),44.0,0.07071634168374562,4.590485792123461,5.5025135965117755,64.91407336443989
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",22.0,0.019558096318994116,3.8679736406394043,3.9554718957224217,197.7684114830219
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",24.0,0.0316219707171582,4.398133150059814,4.560561884276074,139.084726546577
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",26.0,0.04498868475840894,5.222900117375186,5.404863437280954,116.09363877655841
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",28.0,0.05710993834754942,6.175887784187733,6.288852605831414,108.14033358963938
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",30.0,0.06664646140641563,6.9594605733713575,7.006873513617843,104.42355717780711
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",32.0,0.0751060530216534,4.338980592756817,5.370307841525044,57.77138350627839
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",34.0,0.0820644617402886,4.774237379424333,5.8520069789552664,58.176673290485695
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",36.0,0.08556286643100984,4.941655175187186,6.168064878799907,57.7546707036947
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",38.0,0.08570176864579221,5.000311756183406,6.221766558541146,58.345490824697364
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",40.0,0.08301797244476597,4.949495230274469,6.110961247612763,59.61956290329178
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",42.0,0.07779749475609801,4.734599809336256,5.746531322741785,60.857998373593425
cparapsilosis_iDC1003,C. parapsilosis,"after (B5, repaired)",44.0,0.07071634168374545,4.590485792123459,5.50251359651177,64.91407336444001
