strain,T_C,fix,status,growth,atp_synthase_draw,redox_translocated,redox_in_compartment,carrier_translocated,chain_supplies_fraction,chain_supplies_fraction_incl_chemistry,n_ion_reactions,n_uncosted,n_uncosted_reversible,n_changed
cauris_iRV973,30.0,none,optimal,0.06996629002188899,21.942529177933658,0.0014372473464834376,2.9035693975152963,24.011286598876776,6.55005325424744e-05,0.13239160450943724,77,13,10,
cauris_iRV973,40.0,none,optimal,0.10216045591751617,31.039997334571346,0.016300295944581978,4.939496148757495,33.345763685418376,0.0005251384453705231,0.15965840432539186,76,13,10,
cauris_iRV973,30.0,a_cost_transport,optimal,0.06726466097697467,21.545872936344786,0.0013817504897173914,3.0244699744176877,23.07198912696742,6.41306339176714e-05,0.14043764826085225,80,12,7,78.0
cauris_iRV973,40.0,a_cost_transport,optimal,0.09690892121995248,30.268536740201156,0.015462382987315459,4.685582487344064,31.45355215717419,0.000510840121543738,0.15531126960913463,79,12,7,78.0
cauris_iRV973,30.0,b_direction,optimal,0.05008269541267819,10.805328557804197,21.611050273647887,8.529116450040018,1.4182951228116212,2.0000363855700813,2.7893799399481503,81,14,6,5.0
cauris_iRV973,40.0,b_direction,optimal,0.06537954957756001,14.473285408224307,28.947084057505684,11.41415178552021,1.8794499369499345,2.000035461268302,2.7886713143990796,80,15,6,5.0
cauris_iRV973,30.0,ab_both,optimal,0.06726466097696673,21.54587293634365,0.0013817504897148778,2.7914530138136504,22.749225977259314,6.413063391755813e-05,0.12962272508311334,78,10,7,
cauris_iRV973,40.0,ab_both,optimal,0.09690892121995243,30.26853674020115,0.01546238298731558,4.685582487344062,30.99046311630118,0.0005108401215437421,0.15531126960913463,75,8,6,
chaemulonii_draft,30.0,none,optimal,0.046939736926864546,18.554916332096603,0.0009642359530787721,2.3485978879007394,19.252158071749083,5.196660204879613e-05,0.12662747068223135,74,15,9,
chaemulonii_draft,40.0,none,optimal,0.0891689381619315,29.063203723018155,0.014227423596045282,4.361714053043017,30.381519159064794,0.0004895339045081639,0.15056638347042595,75,15,9,
chaemulonii_draft,30.0,a_cost_transport,optimal,0.045465314205468024,18.338286867661104,0.000933948365395329,1.9431257462627032,19.287167318037216,5.092887749740204e-05,0.10601097630642786,78,13,7,78.0
chaemulonii_draft,40.0,a_cost_transport,optimal,0.08489142592371811,28.43741978229373,0.013544921596976827,4.152250055557047,30.21057459171804,0.0004763062788632615,0.14648990692706285,77,13,7,78.0
chaemulonii_draft,30.0,b_direction,optimal,0.035256259755607734,7.555501404396207,20.637318608682058,6.033848263044935,1.1386807316330227,2.7314293921875428,3.5300326800559176,75,13,7,7.0
