carbon_cap,c_max,A_ETC_level,A_ETC_over_Astar,A_ETC_nm2_per_gDW,strain,growth_scale,peak_mu_model,peak_mu,peak_T_C,Topt_C,rmax,CTmax_C,Ea_eV,mu_40C_model,mu_40C,area_used_40C,binds,plateau_1pct_width_C
no carbon cap,,unconstrained,inf,,cauris_iRV973,11.702874781049518,0.06855343950771702,0.8022723183690651,37.0,37.0,0.8022723183690651,53.02789378033851,1.326053702795388,0.06537954957756281,0.7651286819476365,2.745511734779938e+18,False,2.0
no carbon cap,,unconstrained,inf,,chaemulonii_draft,11.702874781049518,0.05796027419295722,0.6783018311554743,37.5,37.5,0.6783018311554743,51.83127649838225,1.3145245147896631,0.05592407393839966,0.654472434547246,2.685404697626233e+18,False,2.0
no carbon cap,,unconstrained,inf,,cduobushaemulonii_draft,11.702874781049518,0.04920697369163344,0.5758630514675841,34.5,34.5,0.5758630514675841,51.66987485550375,1.3418116053972804,0.04320496920915891,0.5056223445738868,1.9020826648030525e+18,False,3.0
no carbon cap,,unconstrained,inf,,cparapsilosis_iDC1003,11.702874781049518,0.08602350093034475,1.0067222596153214,37.0,37.0,1.0067222596153214,53.290688832309314,1.1474923956851668,0.08301797244476543,0.9715489360977091,1.8164490810133924e+18,False,2.5
no carbon cap,,2xA*,2.0,4.0994794262235213e+18,cauris_iRV973,11.702874781051952,0.06855343950772942,0.8022723183693772,37.0,37.0,0.8022723183693772,53.02789378127934,1.3260537027949344,0.06537954957756886,0.7651286819478664,2.74551173478003e+18,False,2.0
no carbon cap,,2xA*,2.0,4.0994794262235213e+18,chaemulonii_draft,11.702874781051952,0.05796027419295717,0.6783018311556147,37.5,37.5,0.6783018311556147,51.83127649838237,1.3145245147896925,0.05592407393840064,0.6544724345473936,2.685404697626234e+18,False,2.0
no carbon cap,,2xA*,2.0,4.0994794262235213e+18,cduobushaemulonii_draft,11.702874781051952,0.049206973691634744,0.5758630514677191,34.5,34.5,0.5758630514677191,51.66987485550364,1.3418116053971365,0.04320496920915894,0.5056223445739922,1.9020826648030536e+18,False,3.0
no carbon cap,,2xA*,2.0,4.0994794262235213e+18,cparapsilosis_iDC1003,11.702874781051952,0.08602350093034508,1.0067222596155345,37.0,37.0,1.0067222596155345,53.29068883230932,1.147492395685046,0.08301797244476644,0.971548936097923,1.8164490810133952e+18,False,2.5
no carbon cap,,1xA*,1.0,2.0497397131117606e+18,cauris_iRV973,12.745721252817983,0.06267201236833955,0.7988000000000169,36.0,36.0,0.7988000000000169,53.07089525216713,1.3961643331788245,0.05796621812675982,0.7388212583237256,2.0497397131117604e+18,True,2.5
no carbon cap,,1xA*,1.0,2.0497397131117606e+18,chaemulonii_draft,12.745721252817983,0.0544954836344079,0.6945842439416673,37.0,37.0,0.6945842439416673,51.643991393949165,1.378969312251623,0.05163195949159237,0.6580865634166261,2.049739713111761e+18,True,2.0
