,f_metab,f_bio,f_chaperone,f_other
16,0.9320703944277435,0.013882095141427684,0.0,0.05404751043082888
25,0.9339762905580409,0.013042937387332669,0.0,0.05298077205462653
30,0.9165906925873303,0.021706911765778113,0.0,0.06170239564689155
37,0.9159737076821776,0.02037748303154832,0.0,0.06364880928627419
43,0.9326475086863159,0.010461921064125313,0.0,0.056890570249558944
