temp_C,growth,mu_pred,mu_measured
22.0,0.019568602931689306,0.15009715655479067,0.289
24.0,0.03162197071716022,0.24255016599158222,0.3675
26.0,0.044988684758411494,0.3450769420254404,0.4785
28.0,0.05710993834754798,0.43805065629416146,0.5453
30.0,0.06664646140641618,0.5111986985714821,0.578
32.0,0.07510605302164983,0.5760863480114468,0.8002
34.0,0.08206446174028909,0.6294594664941392,0.6742
36.0,0.08556286643100888,0.6562932981370021,0.6231
38.0,0.08570176864578874,0.657358720515411,0.4819
40.0,0.08301797244476651,0.6367731845958464,0.0
42.0,0.07779749475609764,0.5967305275056972,0.0
44.0,0.07071634168374637,0.5424159223701434,0.0
