medium,Topt_C,rmax,o2_at_Topt,co2_at_Topt,glc__D_at_Topt,pyr_at_Topt,lac__D_at_Topt,ac_at_Topt,co2_release_at_Topt,RQ_at_Topt
glucose_minimal,38.0,1.1250725563640116,24.356366653678688,-26.75712776094051,19.999494467398005,0.0,0.0,-23.53134416182506,26.75712776094051,1.0985681132739566
NLDM,39.5,1.6814656377247545,38.9435431952417,-43.17916340081231,4.375,0.0,0.0,-3.9028583030528825,43.17916340081231,1.1087630928787222
NLDM_blanket,39.5,1.7252155861812748,41.97775205769753,-40.35056005802852,0.0,0.0,0.0,-4.42046411490031,40.35056005802852,0.9612367999736511
LB,39.5,1.694776400986405,38.93952076655706,-45.801521776568,10.287310149961751,0.0,0.0,-2.319645303273705,45.801521776568,1.1762220200692435
BHI,39.5,1.6947764009864046,38.939520766557074,-45.801521776567995,10.287310149961778,0.0,0.0,-2.3196453032736994,45.801521776567995,1.1762220200692428
