temp_C,growth,mu_pred,mu_measured
22.0,0.1066949970246142,0.2212987060709116,0.2984
24.0,0.15383696875676242,0.3190770240509867,0.4086
26.0,0.20700814064568854,0.4293606537190098,0.4879
28.0,0.2597951409879126,0.538847463774443,0.5949
30.0,0.30440548742519385,0.6313748757361113,0.6167
32.0,0.3373027064867604,0.6996078033772875,0.6033
34.0,0.3521956981448375,0.7304977220741969,0.5387
36.0,0.34674987438110866,0.7192024056487663,0.4686
38.0,0.3224916586774626,0.6688878464237682,0.153
40.0,0.2836911775917997,0.588410818459606,0.0
42.0,0.235807486758317,0.48909408272826993,0.0
44.0,0.18481868843540653,0.383336967515383,0.0
